,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
77,长期递延收益,17859456.37,17888504.02,17917551.67,17946599.32,17975646.97,18004695.18,18135386.67,18266078.16,17596769.65,17727461.14,17858152.63,17988844.12,15119535.61,15250227.10,15380918.59,15511610.08,15642301.57,15772993.06,15903684.55,16034376.04,0,7925657.45,7295134.78,0,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12785995.46,0,0,7431711.58,0.0
79,非流动负债合计,17859456.37,17888504.02,17917551.67,17946599.32,17975646.97,18004695.18,18135386.67,18266078.16,17596769.65,17727461.14,17858152.63,17988844.12,15119535.61,15250227.10,15380918.59,15511610.08,15642301.57,15772993.06,15903684.55,16034376.04,19867244.79,27506906.78,51876384.11,13513711.58,0.0
80,负债合计,40573383.48,73443034.13,45639964.78,44212698.20,42656380.75,45399980.20,48439667.47,47763874.96,53807262.03,42637834.64,47296532.35,45730873.22,48567474.67,53278957.52,40574960.91,44767317.84,75393841.81,75827842.99,83029204.17,85324584.75,93222231.13,109482350.33,99969118.02,68325295.89,0.0
81,所有者权益,,,,,,,,,,,,,,,,,,,,,,,,,
82,实收资本(或股本),184200000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,122800000.00,61400000.00,61400000.00,61400000.00,61400000.00,46000000.00,46000000.00,46000000.00,46000000.00,46000000.00,46000000.00,0.0
83,资本公积,11043489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,35603489.00,97003489.00,97003489.00,96818530.48,96687209.71,554912.56,554912.56,554912.56,554912.56,554912.56,554912.56,0.0
84,减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,63841550.34,63841550.34,63841550.34,63841550.34,53535275.03,53535275.03,53535275.03,53535275.03,43097399.40,43097399.40,43097399.40,43097399.40,32299635.22,32299635.22,32299635.22,32299635.22,29910661.58,22427731.83,22427731.83,22427731.83,18206187.92,14738429.93,8214366.56,3826281.50,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,399672681.20,407904638.87,426502788.20,396573980.27,373933256.42,349687873.84,383482125.79,352937475.38,327435482.75,304579481.91,326334582.39,295836594.67,275222752.83,250948553.42,265128410.66,235496717.06,213995954.35,191285321.67,174393378.71,174249586.57,136255691.33,132645869.44,73929299.10,34436533.55,0.0
90,归属于母公司股东权益合计,658757720.54,630149678.21,648747827.54,618819019.61,585872020.45,561626637.87,595420889.82,564876239.41,528936371.15,506080370.31,527835470.79,497337483.07,465925877.05,441651677.64,455831534.88,426199841.28,402125146.41,371800263.21,243376023.10,243232230.96,201016791.81,193939211.93,128698578.22,84817727.61,0.0
91,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
92,所有者权益(或股东权益)合计,658757720.54,630149678.21,648747827.54,618819019.61,585872020.45,561626637.87,595420889.82,564876239.41,528936371.15,506080370.31,527835470.79,497337483.07,465925877.05,441651677.64,455831534.88,426199841.28,402125146.41,371800263.21,243376023.10,243232230.96,201016791.81,193939211.93,128698578.22,84817727.61,0.0
93,负债和所有者权益(或股东权益)总计,699331104.02,703592712.34,694387792.32,663031717.81,628528401.20,607026618.07,643860557.29,612640114.37,582743633.18,548718204.95,575132003.14,543068356.29,514493351.72,494930635.16,496406495.79,470967159.12,477518988.22,447628106.20,326405227.27,328556815.71,294239022.94,303421562.26,228667696.24,153143023.50,0.0
