,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),82888938.16,91938959.68,112436368.79,56058403.29,82267688.79,65080187.33,57527091.81,43932197.11,0,13753815.11,0,131950376.52,0,103846318.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,91883021.84,0,55941168.29,82267688.79,64888841.26,57276588.44,43762193.05,12316595.05,13551262.30,2515840.68,131737992.11,104541881.42,103812851.19,79080049.51,70772450.40,309361982.07,302324045.34,234509683.89,214938448.64,269558944.29,200357069.46,144511010.86,130251198.00,506250497.46,481404970.71,444276007.82,393556560.49,305971492.81,230615329.82,166556267.94,95938233.02,124591975.67,204981569.01,311979186.97,289729240.25,391865508.29,362792373.77,337705980.24,293351879.05,233162501.26,172374599.93,95646328.50,58243137.63,24304301.08,18005571.17,7738739.31,9163665.66,10448329.67,8697541.83,5006360.35,6494497.27,43657670.36,38993456.64,44103946.32,54651330.37,117514414.02,96758642.89,281187604.45,252344274.22,203550608.42,176837938.14,129809620.00,85609002.56,78355800.00,54747000.00,41284700.00,14886588.93,15165700.00,62269.89,14019224.83,20164727.22,3113939.05,0.0
31,工程物资,0,55937.84,0,117235.00,0,191346.07,250503.37,170004.06,146222.06,202552.81,239673.28,212384.41,570190.96,33467.66,0,0,0,0,0,1281.04,3037.17,6338.93,12762.93,12085.13,355354.73,16745.60,15158.88,17522.41,16968.97,22271.28,349914.45,366505.74,361379.67,391836.55,477065.27,481757.95,1713047.36,1703802.73,2960386.82,158928.51,28692.92,157192.54,12994.21,16875.45,49546.25,37840.96,65139.20,14572.70,111605.31,124360.35,24806.17,85306.77,221866.09,171430.35,837854.95,104752.04,426620.61,5526813.65,9026361.42,8122798.64,1010455.12,1393112.42,1113740.00,81634.98,602300.00,1170000.00,891700.00,96559.66,184900.00,11849643.92,36172.60,19769.95,20976.50,0.0
32,固定资产及清理(合计),1621688566.90,1627530728.92,1649432995.85,1685006621.48,1704179577.44,1732027157.60,1754404547.37,1789639269.80,0,1858738961.30,0,1793670602.35,0,1709429226.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,1627530728.92,0,1685006621.48,1704179577.44,1731961399.40,1754404547.37,1789639269.80,1835893702.09,1858738961.30,1893490559.53,1793670602.35,1691168362.47,1709425894.83,1778040177.07,1805331782.66,1567374591.31,1587698125.70,1613238886.61,1646710775.71,1466073988.44,1457801093.74,1480600685.27,1513801498.44,1025915282.98,1021919140.91,1033497397.65,1000207317.19,1011726025.00,1017742440.60,1025722292.47,1038150199.91,978426615.76,860642247.33,679610671.04,682402252.63,550677323.23,548317523.47,494077094.32,501964597.25,499889303.47,509919765.10,498469728.40,503716122.62,493655748.53,492538327.85,497569637.03,501889903.56,497255080.20,502035196.23,505900982.58,614276215.23,565872599.96,573669913.80,557882270.09,559778518.64,438696977.58,437513897.11,180512474.24,180770780.14,160190951.95,125332491.36,129430920.00,118540046.33,106258000.00,106386000.00,103305400.00,99461601.30,85975200.00,87071151.29,80401693.02,60493600.99,54464488.10,0.0
34,固定资产清理,0,0,0,0,0,65758.20,0,0,0,0,0,0,37637.23,3332.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523363.70,454130.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19995.73,19995.73,19995.73,0,0,22423.77,3670.00,0,0,73000.00,0,0,525900.00,436809.72,112088.10,473204.80,122596.66,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
