,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),3707932.87,13669695.95,12279597.68,893952.68,907848.42,2771413.73,8691102.67,6096113.31,2165019.39,0,14821394.10,0,12453340.28,0,6876835.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,3707932.87,0,12279597.68,0,907848.42,2771413.73,8691102.67,6096113.31,2165019.39,7656810.68,14821394.10,13452220.09,12453340.28,16740603.06,6876835.02,3085458.93,1105479.92,4550790.26,2612627.42,1308821.20,1005471.08,9703844.45,8137569.62,7504193.36,4746410.10,9461796.14,7269322.48,7131068.03,3225627.65,86232641.99,76237055.78,73838467.51,73192530.60,135469230.88,133106135.31,129490301.94,114554799.05,317676622.36,312716167.38,306613713.86,300381642.65,557907658.58,538767458.83,528172962.16,488971170.07,388514828.34,499077233.67,452167595.56,393402719.67,251092071.52,114304169.08,54195486.58,11815832.98,50627382.21,48263100.73,40453223.61,36615838.26,31468066.75,27075710.00,25783158.35,25251224.35,21205570.91,20229399.61,16828368.65,16800710.65,17895236.00,17039233.90,16636560.40,16198966.40,20799434.41,19988821.76,19919074.67,18968989.06,27650987.79,21560367.40,7389109.42,4761323.96,11023739.89,5586555.79,5685582.09,11530937.16,18661389.31,11203410.99,15243623.85,13193912.49,62734834.14,53500296.37,36052407.99,27291929.75,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),207371328.49,209616270.96,213402615.59,217026132.31,219850680.90,246964936.87,243997465.63,246529947.56,251048982.59,0,238961985.80,0,242925298.67,0,227665556.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,207371328.49,0,213402615.59,0,219850680.90,246964936.87,243997465.63,246529947.56,251048982.59,245114627.70,238961985.80,239096005.87,242925298.67,226084054.41,227665556.66,230879235.35,233916245.59,229942932.41,233382490.07,234580622.99,237763076.59,220627297.21,221710349.05,224429133.44,229089401.04,221266365.33,224877176.29,227965435.17,230834678.53,292399773.78,297918312.03,303434777.66,307783479.29,430178236.73,437089358.18,443693687.58,450654667.27,441084243.87,447291560.05,453596081.17,459958473.07,260543835.72,263094802.48,265776400.47,267988938.87,251042881.62,88912693.88,89500956.42,90287720.52,59053349.30,59816384.83,60869082.97,62085169.16,49387251.59,50575318.03,57349428.90,58888288.63,62021412.98,66349775.17,68412484.18,70398430.72,79951511.02,82276364.14,84683942.61,87203908.50,86997289.50,89717718.98,92392827.90,94987835.75,93819903.90,96723791.15,99561600.96,102455276.86,103485286.60,98539243.58,117824763.21,123538114.81,115934956.39,121356500.71,133338159.09,107000702.63,100170166.37,99059171.68,84913233.90,61118324.64,27756285.00,29617748.52,27848633.29,29603497.39,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643.00,1643.00,2143.00,0,-18000.00,0,0,0,-600.00,0,0,0,-2000.00,0,0,0,537.03,537.03,-1618.72,0,-2433.60,-6500.00,0,0,-25500.00,-22000.00,21100.22,0,-10000.00,-10000.00,0,0,0,0,0,0,-32000.00,-32000.00,0,0,-13800.00,-13800.00,-13800.00,0,0,0,0,0,-1850.00,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,20670444.93,20804836.26,20939227.59,21073618.92,21208010.25,21342391.58,21476792.91,21611184.24,21745575.57,21879966.90,22014358.23,22148749.56,22283140.89,22417532.22,22551923.55,22686678.35,22821614.54,22956550.73,23091486.92,23226423.11,23361359.30,23496295.49,23631231.68,23766167.87,23901104.06,24036040.25,24170976.44,24305912.63,24440848.78,55939298.98,56449700.96,56013587.30,56514813.59,61423110.27,62042583.90,61820021.36,62436790.82,75775956.51,68351003.74,69236017.90,70121032.06,76895920.22,77113635.65,77331351.08,77549066.51,60783761.42,61001476.85,61255529.45,61436907.71,30212488.97,30239040.23,30265591.49,30292142.75,3956135.74,3982687.00,4007741.41,4035789.52,11870448.42,11898496.53,11926544.64,11954592.75,14622710.89,14778298.70,14933886.52,15089474.33,15245062.15,15418030.75,15625760.94,15833491.12,16041221.31,16248951.49,16456681.68,16665093.76,17111032.07,17588293.30,15764272.57,16234565.38,16704858.19,17242173.77,11647237.98,8167426.84,0,4991634.88,0,5097839.92,0,5204044.96,0,5310250.00,0.0
