,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),700856680.59,667799985.70,636091333.57,609910763.04,760683620.37,780709075.52,629782171.10,526720989.83,0,0,385982712.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,667799985.70,0,609910763.04,760683620.37,780709075.52,629782171.10,526720989.83,521938504.64,496072695.04,385982712.79,248329783.00,290812116.91,216055729.02,146011497.08,118590291.67,85847042.97,109212563.34,65378862.55,75699898.40,128465955.42,127146042.58,119967044.33,93954151.99,135984593.70,180779005.50,154952477.73,118395690.18,106043174.04,64597770.77,44752168.85,18847262.52,49334633.43,70177730.76,58416032.71,41575824.55,54328965.49,61685813.34,35000161.56,8448868.62,14606914.16,15192902.56,28691139.44,8188018.73,14978193.13,19182921.03,4712706.52,2533397.14,23900425.20,32896033.25,2806261.53,17090983.37,100000.00,0,0,0,11966497.56,12633697.56,15764052.53,15666052.53,120548163.58,122150873.70,122683774.49,31199338.25,120619164.04,108583281.39,97904726.33,84998499.53,193237230.25,174952750.83,164695760.72,150501292.94,123812756.02,108110532.64,112877245.24,61162920.06,63903433.11,21894314.30,9223649.47,12256424.50,11335229.87,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8296109.60,8296109.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701310.35,1312337.16,1412864.34,2467500.00,0,0,0,0.0
32,固定资产及清理(合计),3545690545.97,3440508947.52,3389812601.14,3317799650.10,3004239168.35,2845280377.30,2772352813.81,2805334199.36,0,0,2275809314.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,3440508947.52,0,3317799650.10,3004239168.35,2845280377.30,2772352813.81,2805334199.36,2585715926.55,2436574199.20,2275809314.77,2029593253.59,1790424454.81,1548806045.85,1501154412.44,1508910131.68,1475821726.77,1426619642.99,1347499508.23,1347985407.28,1286857121.62,1289133484.97,911514175.73,928365842.81,873063494.63,799233569.85,780487038.47,797309424.33,805655399.71,792747812.24,826337592.80,785527915.48,744448070.19,706897085.98,665363563.63,651916386.43,639161049.51,579237855.24,530080250.58,517183941.68,466225836.31,468387376.09,446129921.67,329685285.36,255348073.44,209605253.92,211369157.89,223403314.37,177883391.02,173341715.59,171695976.64,189935131.28,269847326.19,274397760.56,280571142.13,285113064.88,295037289.53,299302702.40,301963964.35,314603927.31,305369315.12,306983420.93,309691598.44,321138477.44,313269316.34,314147131.49,314339290.04,318547260.35,236093103.22,239571620.95,210644776.23,214071870.14,204630532.93,204410257.26,354058012.59,327058050.09,145294423.56,143450350.93,106102074.08,92733927.22,77818417.90,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,32974.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.00,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,631726770.07,615930027.66,574255354.61,564453776.74,529460037.57,522514934.19,474844953.62,476251693.63,357321116.10,361632883.71,356772537.94,353721042.77,352099460.34,344670995.45,344862807.79,327891013.23,271877356.04,273835706.50,253750090.93,238629108.52,244582815.07,229031425.85,199317187.89,156933937.97,163162907.59,164672886.80,161984541.28,161233391.61,184245036.06,184925398.52,137885406.50,186343849.62,165424979.99,139616181.02,140168803.05,141223415.54,141345421.76,142354571.34,143348389.03,146450933.36,147697495.64,148576255.71,149570214.08,110688744.25,85228497.38,84911116.38,76488223.52,77000518.82,76373338.29,76824701.85,76292952.82,76771937.83,92695137.96,93212957.19,93730776.42,94248595.65,99134431.46,99863606.33,100366636.84,74171423.25,73185885.28,73910932.25,74770427.92,81836195.41,76361919.26,77135017.53,77908115.80,78681214.07,67915315.48,68623522.47,14895323.80,15332822.80,16219753.80,21247604.69,21420090.75,21331148.97,0,0,0,0,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,2659616824.29,2668754181.26,2585379728.26,2677228880.00,2776888126.10,2601327084.21,2610907303.15,2642164687.19,2767254925.00,2751520790.70,2622688891.31,1762404151.80,1721881156.69,967905269.48,945245628.15,926572659.92,957217040.50,912089921.50,452149734.97,468694205.15,445676174.53,469231981.51,302212254.12,299751641.26,302029491.21,303397984.23,307276697.04,308158735.21,28152308.91,28080829.30,27944973.66,27974275.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,57404740.49,56694947.56,70536574.31,76895769.78,68366383.44,62388824.73,69963308.77,62742736.77,57792013.91,56241905.55,34038927.55,29926620.04,28344182.78,28241950.89,31200064.80,33129994.60,33079151.71,16728397.62,9000104.98,11047788.04,8027671.78,8458112.28,6935349.90,6757631.26,3651218.74,4118657.54,4568364.13,4928052.03,5744202.69,6214700.04,8632325.57,7308626.90,5198099.78,5635439.98,5895791.20,6337028.20,6257198.26,5060789.91,5137667.27,5353492.92,3195047.61,3429381.49,3638499.36,8700.14,9393.05,10085.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494194.03,653402.64,530949.64,0,0,0,0,0,0.0
