,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),249068232.76,209269986.17,198195027.36,177887192.95,123602089.08,101027275.46,85636274.85,47040591.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,209269986.17,0,177887192.95,123602089.08,101027275.46,85636274.85,47040591.90,13817496.96,2420428.96,3485088.28,2938060.20,0,0,0,0,0,0,156312236.29,155807049.87,118487663.74,90331514.64,85641673.08,78649426.26,54043850.52,42929788.11,30703129.84,11307963.55,4952597.56,3298669.01,674282.16,71034.24,24700.00,0,0,0,0,0,0,0,0,0,0,0,18119900.11,77897308.07,69632781.92,58476313.50,63197863.47,40999338.68,36254894.59,30651557.37,24353351.50,23274455.90,4332901.24,302796.00,1048289.30,0,66492516.04,59391019.54,44559885.78,35129847.79,27123558.52,24060953.85,16164878.24,8536889.71,5770110.00,20704228.52,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),348521357.18,277739034.94,285785351.98,292546355.04,306190648.98,306068308.98,312523752.25,319153245.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,277739034.94,0,292546355.04,306190648.98,306068308.98,312523752.25,319153245.91,325020790.82,325340455.91,331833192.59,337426147.78,309800214.78,304816981.86,306546330.46,315493125.93,326985923.30,312268337.13,95941463.90,89428785.86,81776570.04,78362150.95,79420257.99,81506069.88,75803569.60,77075691.81,77523876.94,80302489.75,82832176.99,86230947.11,87496093.10,88887552.29,90104811.44,88112764.86,87134381.71,87604528.55,94105949.96,95308576.05,95819968.04,97356772.27,96979187.31,99401532.85,99137512.68,96357275.27,94201467.23,86130507.69,84364414.32,82299345.27,115749469.18,115215435.60,114596351.05,115078193.89,113784282.11,119793843.30,112010845.62,122775246.69,109705444.51,110556690.79,43565433.85,44736745.55,52061158.69,52915641.60,32725598.68,33102319.20,33694289.55,34168636.35,34013890.10,9216908.90,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,109199537.83,110695526.80,113087579.11,115631689.13,116626137.52,118201012.27,120632161.30,123351619.64,127063902.44,100109823.95,98530578.34,22558328.98,23905733.00,25435887.57,26999178.12,28600272.49,30434767.24,32057381.23,34165172.10,36045759.31,37647954.00,39547537.89,41455601.72,42972768.46,42639046.72,43353447.04,44961693.39,46640565.65,47990841.63,46608592.63,47871184.58,48919028.67,50553250.19,50974836.44,52355976.04,53674162.89,56499346.37,58018776.51,59604201.66,18086091.03,18325775.44,10898403.41,10780091.69,10782306.21,27554398.26,34025079.48,34444986.12,34865632.78,7258906.58,5499233.25,5672893.26,5846553.27,8919380.10,9215540.10,9511700.10,9807860.10,10104020.10,10201846.77,3634166.76,3756666.75,3879166.74,4001666.73,4124166.72,4246666.71,4491666.69,4736666.67,0,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,355065669.57,355065669.57,355065669.57,355065669.57,355065669.57,355065669.57,355065669.57,355065669.57,315902731.16,0,0,0,0,0,0,0,0,0,11071887.53,11071887.53,11071887.53,11071887.53,11071887.53,11071887.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,2723303.22,3337154.25,4130513.80,4774189.94,8402228.57,6029975.51,4519993.38,7158065.71,8251769.57,12371789.36,9010449.57,8814178.86,6033334.61,2175978.95,853773.60,351752.70,385793.28,79990.77,328254.53,568226.30,980877.58,1251130.90,1746755.51,2116359.00,1118627.55,1504916.52,1974945.15,2390262.07,2964020.64,3008117.43,3451956.55,3918735.67,2744131.32,2028368.83,1228053.77,1358623.43,1203612.11,565630.96,215030.01,290030.01,332750.13,407750.13,482750.13,557750.13,628160.19,703160.19,465839.00,0,0,0,0,0,0,0,0,0,0,33397.94,0,0,0,0,0,0,0,0,0,677244.84,0.0
