,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),29708860.43,22370761.94,6674440.56,4120689.66,2273289.32,478869.13,33491281.14,25023418.67,0,25845083.42,0,23724439.65,0,5347268.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,22370761.94,0,4120689.66,2273289.32,478869.13,33491281.14,25023418.67,4631901.92,25845083.42,25316196.47,23724439.65,9108095.98,5347268.53,3712033.00,2951544.65,3362854.63,1987110.56,25600.28,0,385076.92,300000.00,0,1067914.63,613080.16,505313.14,0,0,0,0,0,0,6565334.56,102792293.79,71140753.19,84289.68,1125855.90,3839514.73,2935283.74,0,89028409.78,75938075.25,38294321.86,563230.15,10219241.80,3845198.51,3775773.95,126653.21,28914668.02,16290769.87,19956384.68,6913550.86,11940146.98,1693643.94,1571643.94,1560703.70,51898314.50,44980944.09,43253307.49,42816798.40,21961091.79,73283042.97,154254000.95,456768751.89,45377848.13,28274673.40,15965180.70,9663831.38,24043586.00,17256059.78,8565240.71,125655.35,44332347.31,2048903.35,22874676.30,5026504.97,777153.00,2954.00,0,7361218.04,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25166032.00,25166032.00,25166032.00,25166032.00,203341627.74,139053543.61,44619742.11,44619742.11,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),454331762.12,467606986.31,499748663.75,490764207.20,476382327.23,479678888.98,321657110.28,326342781.36,0,315562493.63,0,327222396.00,0,339617124.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,467606986.31,0,490764207.20,476382327.23,479678888.98,321657110.28,326342781.36,332081850.24,315562493.63,320784405.47,327222396.00,330206563.14,339617124.84,348597541.28,356520362.16,373424077.92,386186931.45,403068953.30,419965000.85,435473774.70,452454736.13,470376995.84,488191494.47,508322872.93,514635937.72,536072283.29,558674068.49,600802549.81,623207649.75,645629063.89,648446150.11,642630043.44,534303891.90,681522833.81,703255604.82,727716599.54,746080242.09,772544986.70,795628406.64,709121259.14,728452350.17,750718931.79,772160562.24,792489053.05,766802921.33,787644537.86,802181523.70,785236720.54,805418045.61,812385877.22,837735675.79,850084371.51,815468819.47,835012133.30,852092065.18,816044536.91,827805279.08,811347679.72,828609280.02,797217039.83,755595061.81,689572617.69,379086025.24,373728758.54,377536147.78,380306220.83,385706363.47,346773928.39,351326613.84,343215587.14,350424329.59,271532625.21,209817758.80,128081105.80,126254327.98,64902364.56,68674563.75,76462555.73,65765134.84,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,21828510.28,21959942.46,22121983.54,22472303.99,22457254.54,22409623.87,22721616.88,21546670.71,20338698.82,20481457.60,20624216.37,20643932.49,20556490.16,20693406.22,20830322.28,20967238.34,21087841.15,21223581.01,21359320.86,21514905.36,21697974.13,21781327.57,21921949.97,22062572.38,22091425.28,22232047.70,22358463.00,22610239.40,22672649.49,22827479.02,22982308.54,23137138.05,23386805.47,23541635.00,27514397.52,23851293.93,27792696.25,24125111.28,28156950.72,24393153.30,28260411.89,28148404.38,28258765.20,28450327.27,9541357.50,3947630.00,3972615.00,3997600.00,4153756.25,4209972.50,4322405.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,6991610.62,3485057.12,3485057.12,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2064864.17,2013242.57,2013242.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,4255730.59,4683135.36,5160541.16,5637946.97,6115352.79,6885551.40,7070164.40,7187209.86,9749578.51,10294328.32,10702405.58,7795175.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946.63,7786.64,25818.53,36230.45,46642.35,57054.27,67466.21,86959.29,112375.78,159719.09,207062.60,300467.90,407315.41,514162.72,621010.03,727857.34,877204.65,986551.96,1048399.27,1155246.58,1048860.96,1770306.91,1985233.01,2166678.95,2285735.06,2478302.85,2280688.67,2638281.82,2381962.72,2518031.22,1927530.03,1788966.78,782850.00,857850.00,932850.00,1007850.00,1320002.91,1326362.70,1426850.00,1713100.00,1625034.25,792000.00,1188000.00,1584000.00,1980000.00,2376000.00,3168000.00,0,0.0
