,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,5818654.65,91600000.00,87100000.00,87100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451971.15,24795354.90,0.0
31,筹资活动现金流入小计,141794874.35,35155676.00,35902699.20,24055836.35,50502975.00,549869661.95,1173736809.42,953403344.66,468549216.09,359219906.59,727908359.99,721907708.03,75892300.00,601979602.90,348342978.90,171502222.90,0.00,105686000.00,6114227.00,5150000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,20000000.00,20000000.00,0,0,917083360.00,917083360.00,0,0,57800000.00,57800000.00,128892892.09,131284075.39,0.0
32,偿还债务支付的现金,0,27452800.00,27546783.08,27514817.05,27453098.40,247500960.00,707483601.81,490369094.81,0,400000000.00,632765109.17,631851586.58,64471629.52,190000000.00,100000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000.00,0,0,0,0,0,0,0,0,20000000.00,20000000.00,0,0,0,0,0,0,62800000.00,47800000.00,131000000.00,78000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,2607062.65,302557055.38,267940461.45,267450688.30,104334.41,279912305.71,265255421.55,265187086.10,2487713.88,167667543.32,158373111.05,147522885.53,3215992.28,149279531.95,147006384.78,143583732.98,1441059.00,282184537.03,280726200.00,280726200.00,0,98254170.00,98254170.00,98254170.00,0,98254170.00,98254170.00,98254170.00,92555.56,140363100.00,140363100.00,140363100.00,0,199315602.00,199315602.00,199315602.00,0,98308305.00,98308305.00,98254170.00,0,21052620.00,21052620.00,21052620.00,21052620.00,43302049.93,43210392.99,1463210.40,1298325.20,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,9048000.00,678000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,395269.62,9173080.00,6955485.53,6347811.82,74687.98,0,2125256.27,501000.37,465732.84,0,0,0,0,87100000.00,87100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,1658996.81,0,0,0,8851936.83,3300079.50,0,0,460000.00,380000.00,24575000.00,0,0.0
36,筹资活动现金流出小计,3002332.27,339182935.38,302442730.06,301313317.17,27632120.79,527413265.71,974864279.63,756057181.28,2953446.72,567667543.32,791138220.22,779374472.11,67687621.80,426379531.95,334106384.78,143583732.98,1441059.00,282184537.03,280726200.00,280726200.00,0.00,98254170.00,98254170.00,98254170.00,0.00,98254170.00,98254170.00,98254170.00,35092555.56,140363100.00,140363100.00,140363100.00,0.00,199315602.00,199315602.00,199315602.00,0,119967301.81,118308305.00,98254170.00,0,29904556.83,24352699.50,21052620.00,21052620.00,106562049.93,91390392.99,157038210.40,79298325.20,0.0
37,筹资活动产生的现金流量净额,138792542.08,-304027259.38,-266540030.86,-277257480.82,22870854.21,22456396.24,198872529.79,197346163.38,465595769.37,-208447636.73,-63229860.23,-57466764.08,8204678.20,175600070.95,14236594.12,27918489.92,-1441059.00,-176498537.03,-274611973.00,-275576200.00,0.00,-98254170.00,-98254170.00,-98254170.00,0.00,-98254170.00,-98254170.00,-98254170.00,-92555.56,-140363100.00,-140363100.00,-140363100.00,0.00,-199315602.00,-199315602.00,-199315602.00,0,-99967301.81,-98308305.00,-98254170.00,0,887178803.17,892730660.50,-21052620.00,-21052620.00,-48762049.93,-33590392.99,-28145318.31,51985750.19,0.0
38,四、汇率变动对现金及现金等价物的影响,2313307.32,-8435261.24,8670589.02,6519771.43,-1505066.86,5148153.39,3541035.19,-55897.29,-1963769.65,-10194831.91,-9759887.69,-8496150.92,1229175.94,9674256.42,1262886.28,1079957.84,-569246.01,2453146.98,1109795.20,11277.50,150598.34,-293154.30,189804.52,189465.40,158276.16,-553163.08,-367341.23,-284306.83,-89497.67,75668.74,153829.24,101271.58,12581.94,-708442.38,-210437.56,-127816.09,-43815.17,-353565.75,-93529.52,-58551.09,-23111.08,-870.64,12842.55,-772.37,1620.26,-151209.82,-6633.71,206756.02,-55982.34,0.0
39,五、现金及现金等价物净增加额,-35878272.64,856867463.31,726512092.26,452590695.07,349235295.90,548837624.71,279595320.01,339527056.51,490110708.77,-640921649.31,-718937409.26,-469090332.64,-481871362.08,481842227.31,-148076494.28,-23583140.61,102965103.53,-57601884.19,89723502.90,-27209854.67,22930040.67,-285072028.70,-303159651.54,-96733984.28,-47418644.45,-23767179.09,-53120023.16,-287317922.87,-114950577.15,-46259017.33,-199129280.19,-334473988.60,11721514.17,-54889073.88,-74829590.06,-194997197.23,94682449.85,-8532197.38,-105114172.81,-134933265.40,61410693.34,987911135.44,979477358.03,-1361037.78,28536908.25,31667773.89,-24880292.59,-8265366.20,46714539.03,0.0
40,加:期初现金及现金等价物余额,1836265079.28,979360995.97,979360995.97,979360995.97,979360995.97,430523371.26,430523371.26,430523371.26,430523371.26,1071445020.57,1071445020.57,1071445020.57,1071445020.57,589602793.26,589602793.26,589602793.26,589602793.26,647204677.45,647204677.45,647204677.45,646963716.20,932276706.15,932276706.15,932276706.15,932276706.15,956043885.24,956043885.24,956043885.25,956043885.24,1002302902.57,1002302902.57,1002302902.57,1002302902.57,1057191976.45,1057191976.45,1057191976.45,1057191976.45,1065724173.83,1065724173.83,1065724173.83,1065724173.83,77813038.39,78505801.08,76012034.15,77813038.39,44344260.26,45134760.26,52609626.46,5895087.43,0.0
