,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
36,筹资活动现金流出小计,3334090441.48,1967183869.84,1742583573.65,535243036.00,2757279333.98,2253430619.12,1642176612.49,876781879.19,1960528102.86,1476272701.48,1011969700.28,448456023.66,1446846632.24,980028765.79,517559816.29,457390597.89,4070906179.79,3027569207.79,2312755001.77,1662054449.64,1490621303.11,1162301533.13,997847613.99,733076021.95,1287396647.88,798667435.51,643698946.48,347950351.63,858455652.65,699429419.51,403387167.38,372260869.62,629514760.31,563397662.50,557253922.15,330518527.62,997079593.21,822969998.29,618616441.43,597544021.52,1139112512.28,932559891.50,493740258.82,285420733.35,1236039231.44,1030521867.31,580614023.40,385409692.96,1161919752.32,1086676297.42,590499495.32,269762786.44,1068148784.63,167125671.57,17857.06,0.0
37,筹资活动产生的现金流量净额,-343270441.88,127816130.16,-147583573.65,-75243036.00,-34679333.98,169380.88,-58176612.49,252218120.81,365758735.00,197331951.87,561247817.25,193761493.87,5761715.02,29997453.80,-16258298.35,34999402.11,137998801.81,109893773.81,86107979.83,150908531.96,31148696.89,-3531533.13,-32847613.99,-82076021.95,733984051.32,-122047435.51,-164698946.48,-115950351.63,402644347.35,-89429419.51,-73387167.38,-42260869.62,455087234.68,451404332.49,457548072.84,554283467.37,393170406.79,367280001.71,421633558.57,442705978.48,-47112512.28,-40559891.50,-33740258.82,-25420733.35,173960768.56,149478132.69,249385976.60,124590307.04,312670247.68,357913702.58,474090504.68,40237213.56,97940115.37,-39786791.66,49982142.94,0.0
38,四、汇率变动对现金及现金等价物的影响,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11460.41,11460.41,11460.36,0,0,0,0,0,12951.12,12951.12,12951.12,0,-7966.51,0,0,0,-3817.95,0,0,0,0,0,0,0,-0.58,0,0,0,0,0,0,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,201003430.41,273897272.55,-328236070.41,-425900191.03,-391476205.98,54658442.81,110464950.03,43006486.36,-14920650.44,-68427462.46,92676884.92,-68365217.26,-29433091.10,-54246838.76,-116652529.70,-22862208.90,-104544244.07,-151097575.46,-126045580.70,9282225.88,-294306855.47,-319159017.57,-241478016.49,-177535147.73,-199684631.57,-552645129.91,-481649316.94,-312164732.73,254429636.33,-109079466.70,-88856995.69,-40328196.81,439867584.42,391520278.77,367734722.06,487651703.81,-174137689.76,-155222007.05,-111596344.28,-113101467.16,-47221938.03,-104363491.02,-73860469.70,-99622795.96,-77684940.26,-55238718.07,30316454.18,-15650894.13,310670227.51,370487242.70,441560866.71,-4329100.54,-8765100.09,7636291.18,22813763.00,0.0
40,加:期初现金及现金等价物余额,1549462457.08,1549462457.08,1549462457.08,1549462457.08,1940938663.06,160623084.83,160623084.83,160623084.83,175543735.27,175543735.27,175543735.27,175543735.27,204976826.37,204976826.37,204976826.37,204976826.37,309521070.44,309521070.44,309521070.44,309521070.44,603827925.91,603827925.91,603827925.91,603827925.91,803512557.48,803512557.48,752020182.62,752020182.62,497590546.29,497590546.29,497590546.29,497590546.29,57722961.87,57722961.87,57722961.87,57722961.87,231860651.63,231860651.63,231860651.63,231860651.63,279082589.66,279082589.66,278966323.94,279082589.66,356767529.92,356767529.92,356814748.28,356767529.92,46097302.41,46097302.41,46097302.41,46097302.41,54862402.50,47226111.32,24412348.32,0.0
41,六、期末现金及现金等价物余额,1750465887.49,1823359729.63,1221226386.67,1123562266.05,1549462457.08,215281527.64,271088034.86,203629571.19,160623084.83,107116272.81,268220620.19,107178518.01,175543735.27,150729987.61,88324296.67,182114617.47,204976826.37,158423494.98,183475489.74,318803296.32,309521070.44,284668908.34,362349909.42,426292778.18,603827925.91,250867427.57,270370865.68,439855449.89,752020182.62,388511079.59,408733550.60,457262349.48,497590546.29,449243240.64,425457683.93,545374665.68,57722961.87,76638644.58,120264307.35,118759184.47,231860651.63,174719098.64,205105854.24,179459793.70,279082589.66,301528811.85,387131202.46,341116635.79,356767529.92,416584545.11,487658169.12,41768201.87,46097302.41,54862402.50,47226111.32,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,33140687.90,0,19278793.57,0,18548008.20,0,2290196.79,0,4650985.85,0,1836677.83,0,3808610.51,0,3807613.13,0,51166937.86,0,29877580.94,0,102537729.28,0,51101533.00,0,161568755.49,0,100284349.56,0,151367210.71,0,88278768.36,0,133975758.52,0,73232529.18,0,110521068.83,0,57202833.01,0,73391747.24,0,41000193.81,0,101777923.65,0,63758038.23,0,100400281.45,0,58340649.99,27668828.58,84390632.30,41405423.15,46530095.72,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,13995571.16,0,4944762.12,0,13205248.04,0,6237460.16,0,8842382.21,0,6918645.16,0,4385756.76,0,5026506.97,0,-1030308.33,0,2840942.04,0,1268064.86,0,2952912.87,0,975502.27,0,2727973.49,0,625747.51,0,2277392.21,0,11835.43,0,1998046.57,0,1173976.90,0,2022024.74,0,539723.85,0,3764764.70,0,6267044.47,0,1827898.71,0,371216.08,0,1485426.61,2536730.68,-2111735.77,-3090841.79,233979.81,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,227323949.70,0,114282065.94,0,227208729.83,0,115665293.44,0,230172072.68,0,114031593.37,0,195806045.54,0,94823227.29,0,137980235.21,0,66095532.83,0,127529077.79,0,63487636.61,0,123529642.54,0,62207862.81,0,124181559.05,0,61483527.82,0,123064720.35,0,61591961.81,0,119427260.23,0,59230665.26,0,103142061.05,0,50678396.49,0,96106065.17,0,45465769.09,0,73357912.54,0,36026978.71,18374364.88,73174246.85,25451650.15,19257148.11,0.0
48,无形资产摊销,278461.92,0,139190.40,0,409712.97,0,219999.99,0,567686.21,0,256366.98,0,512733.96,0,256366.98,0,512733.96,0,265766.98,0,512733.96,0,256366.98,0,512733.96,0,256366.98,0,462751.32,0,218880.00,0,145920.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
