,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,56583074.88,58902676.13,48402676.12,5066539.19,2000000.00,8345381.24,62286.01,2504550.00,2412413.65,1196843.65,2192022.63,30245465.37,37418600.00,37520062.67,24191182.36,500902981.61,334328560.14,245503340.87,227410602.02,1118360212.61,0,0,0,0,0,0,0,300000.00,3798067.70,3798067.70,11798067.70,76071932.30,83711932.30,83711932.30,74000000.00,31807189.73,51807189.73,51807189.73,0,5870900.00,5870900.00,5870900.00,48500021.69,22686193.84,0,0,6819652.18,0,2163582.71,1186707.53,466885.80,0,1835235.42,1607568.84,816701.93,0,4660037.05,3902204.31,0,0.0
31,筹资活动现金流入小计,1572325774.88,715504449.77,1570944876.12,1481792562.05,1109451006.00,620484087.24,530101786.01,2561984639.71,2123184721.65,319519043.65,3481002.63,387101400.92,329899015.15,263514811.02,213931282.36,2882080031.28,1728263899.14,1306345416.87,641150766.02,2423939142.58,2099391461.92,1487020516.23,330574289.67,1518445754.35,1207606536.60,868227188.51,559206450.00,1173440867.93,742333325.70,442007967.70,191798067.70,1070737087.58,526938355.62,324327487.34,314615555.04,1542154068.01,379708923.37,304009738.12,172273419.48,549071479.59,146667400.00,146667400.00,171683174.69,639120706.54,60675950.00,40675950.00,26819652.18,75000000.00,57163582.71,56186707.53,35466885.80,65000000.00,66835235.42,36607568.84,20816701.93,276089908.81,276221945.86,275464113.12,97164578.92,0.0
32,偿还债务支付的现金,1404456473.07,600819921.22,1434380277.94,1024695201.67,523367430.39,432060969.75,271611107.95,922466296.17,491286400.00,120000000.00,0,885267385.79,654373317.49,371023106.25,241669733.92,2040264597.77,1233244068.96,901521087.03,301366043.84,1407731776.37,1256790080.07,707197092.37,288599699.57,959482642.75,546164818.86,364797656.92,306359422.86,1077841086.43,450333095.40,181190817.40,111191067.86,764300457.28,473382809.98,308536587.76,187123101.40,320055738.47,172400000.00,135600000.00,48103610.06,643093631.22,253506035.23,187098671.22,109049984.22,787767681.48,60645300.00,40645300.00,20000000.00,50000000.00,30000000.00,15000000.00,15000000.00,50000000.00,50000000.00,20000000.00,10000000.00,109887178.92,106265227.26,48785227.26,109677400.00,0.0
33,分配股利、利润或偿付利息所支付的现金,574200339.33,559026654.00,12167474.11,588752030.03,579442382.97,345195767.76,11706356.96,683789893.93,668486815.73,552896294.99,6216943.88,211876785.57,205657237.24,198378719.91,7759758.92,141345440.90,116686983.31,101326568.39,11793797.76,199306946.76,170766875.16,149548551.06,16093217.76,129395777.74,106513900.91,93850688.50,13285530.43,201504474.23,184676559.46,171913563.30,11172398.17,199262966.47,191176051.17,185415398.84,31036746.68,83216267.31,78804648.18,73981553.04,3400337.63,185579958.16,170442413.45,167102074.05,5323401.86,63105738.27,24638022.50,23944417.50,23298752.14,25343550.00,23339313.47,22641088.47,312750.00,23177911.32,22018641.72,21840891.72,149350.00,16802349.51,16286907.46,15970792.96,11546533.25,0.0
34,其中：子公司支付给少数股东的股利、利润,12917800.71,11299967.32,2280000.00,7185700.00,9185700.00,4900000.00,2000000.00,111068231.91,100341313.95,341313.95,233642.11,3000000.00,3000000.00,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,26000000.00,0,0,0,26000000.00,26000000.00,26000000.00,26000000.00,0,0,0,0,13000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,221448230.94,202135525.53,171413189.05,71103205.78,22005664.16,13831663.73,18522703.15,46575643.08,44086972.92,32243321.96,2428242.26,125783394.95,122021956.19,119882063.26,126615438.95,617627777.25,633843876.37,416439640.55,96164524.42,891203113.58,102241162.49,185413035.83,38424168.16,86125762.36,67421888.48,39858509.15,3319204.00,312883044.35,2600000.00,21574700.00,0,1000000.00,0,0,11798067.70,96510000.00,26000000.00,26000000.00,0,5000000.00,0,0,725.00,22686193.84,0,0,914809.33,0,1398220.85,1156356.47,128267.14,0,281651.38,163183.83,-1968.42,5081590.00,924257.79,652152.27,600000.00,0.0
36,筹资活动现金流出小计,2200105043.34,1361982100.75,1617960941.10,1684550437.48,1124815477.52,791088401.24,301840168.06,1652831833.18,1203860188.65,705139616.95,8645186.14,1222927566.31,982052510.92,689283889.42,376044931.79,2799237815.92,1983774928.64,1419287295.97,409324366.02,2498241836.71,1529798117.72,1042158679.26,343117085.49,1175004182.85,720100608.25,498506854.57,322964157.29,1592228605.01,637609654.86,374679080.70,122363466.03,964563423.75,664558861.15,493951986.60,229957915.78,499782005.78,277204648.18,235581553.04,51503947.69,833673589.38,423948448.68,354200745.27,114374111.08,873559613.59,85283322.50,64589717.50,44213561.47,75343550.00,54737534.32,38797444.94,15441017.14,73177911.32,72300293.10,42004075.55,10147381.58,131771118.43,123476392.51,65408172.49,121823933.25,0.0
37,筹资活动产生的现金流量净额,-627779268.46,-646477650.98,-47016064.98,-202757875.43,-15364471.52,-170604314.00,228261617.95,909152806.53,919324533.00,-385620573.30,-5164183.51,-835826165.39,-652153495.77,-425769078.40,-162113649.43,82842215.36,-255511029.50,-112941879.10,231826400.00,-74302694.13,569593344.20,444861836.97,-12542795.82,343441571.50,487505928.35,369720333.94,236242292.71,-418787737.08,104723670.84,67328887.00,69434601.67,106173663.83,-137620505.53,-169624499.26,84657639.26,1042372062.23,102504275.19,68428185.08,120769471.79,-284602109.79,-277281048.68,-207533345.27,57309063.61,-234438907.05,-24607372.50,-23913767.50,-17393909.29,-343550.00,2426048.39,17389262.59,20025868.66,-8177911.32,-5465057.68,-5396506.71,10669320.35,144318790.38,152745553.35,210055940.63,-24659354.33,0.0
38,四、汇率变动对现金及现金等价物的影响,2035955.94,-3329949.74,15494395.98,1453688.59,8338456.64,-2346157.01,-15046595.52,-16781869.06,-2496667.33,12470030.23,21434571.05,-5094573.83,35374083.47,33575792.82,26396797.38,14890278.06,571140.94,5839015.27,31429401.81,1565195.65,6789512.89,-4553664.97,-21034444.12,-24097933.32,-6313298.04,-9650211.92,-5482290.36,-7422028.96,395481.38,-1773187.81,-3956151.68,-8062591.22,-3639048.32,-3611377.80,-698989.90,1922173.35,2201258.54,1441175.23,-338386.44,-1349381.69,488041.87,-1011672.18,1739278.49,2421490.42,51294.57,51294.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
