,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149400000.00,149400000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,5367600.00,3871700.00,717800.00,0,1617900.00,511200.00,451200.00,35120000.00,10400000.00,8400000.00,0,1037900.23,2610000.00,1000000.00,0,9127400.00,4398400.00,3678400.00,1671000.00,20628100.00,380266100.00,5828600.00,3632500.00,52633900.00,23530000.00,17530000.00,1160000.00,28397969.54,1945000.00,1070000.00,430000.00,18603900.00,1653900.00,0,0,24978651.04,0,0,0,15510000.00,0,0,0,5000000.00,0,0,0,7000000.00,0,0,0,5000000.00,0,0,0,5400000.00,3200000.00,0,0.0
31,筹资活动现金流入小计,636492500.00,544976600.00,260697800.00,1640523571.25,1342046597.43,1233350810.85,470451200.00,920619701.41,674386660.00,557386660.00,448314860.00,1114018100.23,871235000.00,652940500.00,434615500.00,2947704772.36,1586242031.14,1124274672.36,760817772.36,1684435943.62,1705623100.00,886185600.00,479989500.00,1484083988.00,1150980088.00,672616954.00,316444770.00,1339090569.54,984037600.00,529646073.33,207430000.00,748181080.00,605631080.00,415900000.00,82000000.00,874714143.23,620165670.99,304228667.98,106506911.34,740648282.05,613438282.05,452661628.07,179700000.00,1305475343.44,1011529092.42,811742184.87,689254966.11,609309215.28,347455092.49,175083148.78,76079630.00,558223162.98,187390187.92,177390187.92,102867090.41,165198200.00,106847100.00,81400000.00,0.0
32,偿还债务支付的现金,610901956.00,473163008.00,278485785.42,918849697.76,696237241.41,608969674.70,443469674.70,828797660.00,646625860.00,455311000.00,444811000.00,1064643840.08,799138963.28,713744717.63,580026447.63,1805951713.18,1249421145.32,792313302.26,485866006.10,1573631509.81,1292023666.67,692100000.00,376100000.00,1388450088.00,1108086954.00,631561300.00,300997500.00,1106592600.00,723900000.00,437000000.00,137000000.00,660777180.00,480878180.00,244200000.00,82700000.00,679235492.19,481823041.62,246764450.46,22000000.00,777570864.05,638794210.07,463832582.00,178863211.52,593056121.88,354157109.17,172646423.17,77641381.39,433143113.84,188239945.19,61774498.83,32325424.09,301940312.98,131540511.52,119277707.38,39796811.46,119945300.00,98597200.00,33695000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,24697308.43,19340168.54,9591746.55,43647335.52,30716918.60,21512007.69,7655602.77,36146499.18,26942342.76,12734764.09,5384221.34,74648550.81,61469135.47,52268596.45,26777760.31,81874016.61,41637229.24,26968946.41,12947354.90,66670261.12,43212135.09,24630771.17,15916445.16,54906198.03,39426726.53,18585090.74,8489777.41,108212491.25,85674477.05,59259071.94,8547730.69,34458508.31,23730382.68,16244029.93,6925061.26,27104092.58,19381879.56,12190246.64,5783818.99,33391144.92,21465691.09,13621835.56,6383992.91,26769015.93,19691981.15,12936408.83,6214057.73,26702478.00,15492397.20,6962906.45,2911447.04,13129458.23,8058577.46,5372387.97,2096467.70,6955646.31,10064431.84,3484808.82,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4250674.16,4250674.16,0,0,0,0,0,0,0,0,0,0,0,0,1280400.49,0,0,0,963321.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195641558.00,8917499.39,8917499.39,8917499.39,8917499.39,18357865.32,331000000.00,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,857062.70,0,0,0,0,0,0,0,0,1985440.12,1935440.12,1850174.79,0,0,0,0,4395057.40,0,0,0,0,0,0,0.0
36,筹资活动现金流出小计,635599264.43,492503176.54,288077531.97,962497033.28,726954160.01,630481682.39,451125277.47,864944159.18,673568202.76,468045764.09,450195221.34,1139292390.89,860608098.75,766013314.08,802445765.94,1896743229.18,1299975873.95,828199748.06,507730860.39,1658659636.25,1666235801.76,716730771.17,392016445.16,1443356286.03,1147513680.53,650146390.74,309487277.41,1214805091.25,809574477.05,496259071.94,145547730.69,695235688.31,504608562.68,260444029.93,89625061.26,707196647.47,501204921.18,258954697.10,27783818.99,810962008.97,660259901.16,477454417.56,185247204.43,619825137.81,375834530.44,187518272.12,85705613.91,459845591.84,203732342.39,68737405.28,35236871.13,319464828.61,139599088.98,124650095.35,41893279.16,126900946.31,108661631.84,37179808.82,0.0
37,筹资活动产生的现金流量净额,893235.57,52473423.46,-27379731.97,678026537.97,615092437.42,602869128.46,19325922.53,55675542.23,818457.24,89340895.91,-1880361.34,-25274290.66,10626901.25,-113072814.08,-367830265.94,1050961543.18,286266157.19,296074924.30,253086911.97,25776307.37,39387298.24,169454828.83,87973054.84,40727701.97,3466407.47,22470563.26,6957492.59,124285478.29,174463122.95,33387001.39,61882269.31,52945391.69,101022517.32,155455970.07,-7625061.26,167517495.76,118960749.81,45273970.88,78723092.35,-70313726.92,-46821619.11,-24792789.49,-5547204.43,685650205.63,635694561.98,624223912.75,603549352.20,149463623.44,143722750.10,106345743.50,40842758.87,238758334.37,47791098.94,52740092.57,60973811.25,38297253.69,-1814531.84,44220191.18,0.0
38,四、汇率变动对现金及现金等价物的影响,896622.16,903799.31,-435892.37,2214860.41,5066091.48,955509.00,-2589973.66,-5400040.19,-3052742.69,-2234336.69,198627.29,8511480.77,1321519.86,1649503.77,4618.05,6259808.11,-111790.85,-23665.94,359637.18,-116904.14,-20980.17,143131.10,50363.49,-411311.50,-655116.70,-211791.52,102140.76,-1558599.86,-717183.30,-30416.10,-24477.95,-3405686.28,-861637.56,-244395.97,-100047.84,-1929149.21,-1469006.83,-510201.08,-195676.46,-273416.75,-40235.54,137030.21,-1430849.98,-1396563.11,-2319490.76,-1875516.38,-1197962.54,-1605749.56,1804802.51,-957774.09,321185.37,1331366.25,-19276.07,-12850.71,-306359.66,-599615.67,-37417.71,46183.25,0.0
