,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,67666.67,0,0,0,59100000.00,119100000.00,30100000.00,9100000.00,144079017.38,140079017.38,95079017.38,20000000.00,10000000.00,0,0,0,11285000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000.00,0,0,0,2215652.00,1939453.00,1939453.00,1800000.00,161800000.00,0,0.0
31,筹资活动现金流入小计,8526820101.17,6093850000.00,804000000.00,3811267666.67,3137000000.00,1964000000.00,635800000.00,2569700000.00,2238100000.00,1988100000.00,598100000.00,3518079017.38,2911079017.38,2126079017.38,1099000000.00,4637000000.00,3825000000.00,3197000000.00,1737600000.00,5646124995.63,2659800000.00,1739800000.00,1189800000.00,1836500000.00,1436500000.00,730000000.00,340000000.00,2282000000.00,1592000000.00,929000000.00,602000000.00,1485391497.60,884391497.60,724391497.60,100000000.00,650000000.00,490000000.00,0,0,340000000.00,340000000.00,340000000.00,170000000.00,714000000.00,678000000.00,638000000.00,600000000.00,1624068000.00,1570868000.00,1287868000.00,477000000.00,1032725652.00,740249453.00,514249453.00,206800000.00,1202800000.00,640000000.00,0.0
32,偿还债务支付的现金,6183050000.00,4673150000.00,1159000000.00,2791545452.70,2347545452.70,1961545452.70,675545452.70,3173545454.55,2843545454.55,2293545454.55,1158545454.55,3691545453.55,3180545454.55,1950545454.55,1070545454.55,5147545454.55,4467145454.55,3290545454.55,1332220617.05,3641845454.55,2701845454.55,1551500000.00,901500000.00,2148545454.55,1443545454.55,743000000.00,263000000.00,2040545455.55,1493545455.55,761000000.00,210000000.00,1594936952.60,1092936952.60,620000000.00,550000000.00,285545455.00,170545455.00,0,0,619355455.00,422855455.00,346310000.00,160000000.00,968945455.00,803945455.00,673400000.00,322000000.00,1081000000.00,1010300000.00,732400000.00,287300000.00,872000000.00,520000000.00,426000000.00,161000000.00,976700000.00,636358180.70,0.0
33,分配股利、利润或偿付利息所支付的现金,372982221.83,244537698.28,39962817.85,610279916.18,566523044.15,541537117.35,20658047.38,596094423.92,572022576.40,546054194.30,30973639.21,303787023.11,272128945.02,236588836.65,36321681.65,431033946.54,391813365.99,307504017.33,87373859.58,517855621.72,219907787.21,190170778.37,26743433.17,392966358.15,371942472.76,337509977.16,31991042.90,882840938.26,622798357.01,109978944.31,29226265.14,819589510.68,793548903.95,765934502.21,76824183.77,455649507.58,402629322.03,331671541.50,0,196874164.83,194067081.80,190986976.33,4257922.69,505057111.37,242907465.59,234716651.75,11698997.77,230470778.48,223069641.94,215464439.32,206091278.49,148373594.00,136543957.52,126670118.85,8545791.30,286190564.04,106900127.34,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,3800000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99176561.21,50000000.00,50000000.00,0,50000000.00,50000000.00,50000000.00,50000000.00,20233648.21,0,0,0,12897196.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,1506943205.23,1355617166.68,0,170795.16,0,0,0,73467320.52,40000000.00,51000000.00,40000000.00,65406142.00,55284749.00,49284749.00,45284749.00,84020122.00,39020000.00,20000.00,20000.00,2040914685.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001635480.64,0,0,0,0,0,0,0,0,0,0,0,5050026.85,5050026.85,5050026.85,0,1125000.00,550000.00,550000.00,250000.00,1154388.00,8695556.54,0.0
36,筹资活动现金流出小计,8062975427.06,6273304864.96,1198962817.85,3401996164.04,2914068496.85,2503082570.05,696203500.08,3843107198.99,3455568030.95,2890599648.85,1229519093.76,4060738618.66,3507959148.57,2236419040.20,1152151885.20,5662599523.09,4897978820.54,3598069471.88,1419614476.63,6200615761.93,2921753241.76,1741670778.37,928243433.17,2541511812.70,1815487927.31,1080509977.16,294991042.90,2923386393.81,2116343812.56,870978944.31,239226265.14,2414526463.28,1886485856.55,1385934502.21,626824183.77,1742830443.22,573174777.03,331671541.50,0,816229619.83,616922536.80,537296976.33,164257922.69,1474002566.37,1046852920.59,908116651.75,333698997.77,1316520805.33,1238419668.79,952914466.17,493391278.49,1021498594.00,657093957.52,553220118.85,169795791.30,1264044952.04,751953864.58,0.0
37,筹资活动产生的现金流量净额,463844674.11,-179454864.96,-394962817.85,409271502.63,222931503.15,-539082570.05,-60403500.08,-1273407198.99,-1217468030.95,-902499648.85,-631419093.76,-542659601.28,-596880131.19,-110340022.82,-53151885.20,-1025599523.09,-1072978820.54,-401069471.88,317985523.37,-554490766.30,-261953241.76,-1870778.37,261556566.83,-705011812.70,-378987927.31,-350509977.16,45008957.10,-641386393.81,-524343812.56,58021055.69,362773734.86,-929134965.68,-1002094358.95,-661543004.61,-526824183.77,-1092830443.22,-83174777.03,-331671541.50,0,-476229619.83,-276922536.80,-197296976.33,5742077.31,-760002566.37,-368852920.59,-270116651.75,266301002.23,307547194.67,332448331.21,334953533.83,-16391278.49,11227058.00,83155495.48,-38970665.85,37004208.70,-61244952.04,-111953864.58,0.0
38,四、汇率变动对现金及现金等价物的影响,60.55,21.68,-33.41,-77615.12,-91334.61,-88954.22,-91596.11,-7752.29,-7650.47,-7656.47,-7659.62,334821.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
