,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
39,五、现金及现金等价物净增加额,-468716199.80,-191508148.94,-433915897.28,-6911086.40,121489830.67,-20076298.76,-263057461.64,63089458.75,-239974823.20,-84243738.52,-145368725.23,587725952.66,795698060.31,-17906050.98,-17279797.58,14601723.30,-57882243.92,-76568086.80,-83208134.95,-50307030.72,-108585977.95,-86649296.54,-131908341.80,-325751802.77,-269327578.11,-212459118.27,-100136537.42,151073034.89,319662537.92,-196012848.00,-150671983.69,-352432905.31,-219623617.70,-219888484.85,-145240023.13,551727340.42,477332030.67,437586800.05,432409612.66,113596236.29,29131905.12,9271997.37,-29077258.49,-15192371.21,-31552795.19,-57308867.19,-50494981.35,30962921.69,5480373.56,35428625.10,0.0
40,加:期初现金及现金等价物余额,1004151286.19,1004151286.19,1004151286.19,1011062372.59,1011062372.59,1011062372.59,1011062372.59,947972913.84,947972913.84,947972913.84,947972913.84,360246961.18,377865814.63,227145629.83,227145629.83,212543906.53,212543906.53,212543906.53,212543906.53,262850937.25,262850937.25,262850937.25,262850937.25,588602740.02,588602740.02,588602740.02,588602740.02,437529705.13,437529705.13,437529705.13,437529705.13,789962610.44,787728668.58,787728668.58,787728668.58,236001328.16,236001328.16,236001328.16,236001328.16,122405091.87,122405091.87,122405091.87,122405091.87,137597463.08,137597463.08,137597463.08,137597463.08,106634541.39,101154167.83,65725542.73,0.0
41,六、期末现金及现金等价物余额,535435086.39,812643137.25,570235388.91,1004151286.19,1132552203.26,990986073.83,748004910.95,1011062372.59,707998090.64,863729175.32,802604188.61,947972913.84,1173563874.94,209239578.85,209865832.25,227145629.83,154661662.61,135975819.73,129335771.58,212543906.53,154264959.30,176201640.71,130942595.45,262850937.25,319275161.91,376143621.75,488466202.60,588602740.02,757192243.05,241516857.13,286857721.44,437529705.13,568105050.88,567840183.73,642488645.45,787728668.58,713333358.83,673588128.21,668410940.82,236001328.16,151536996.99,131677089.24,93327833.38,122405091.87,106044667.89,80288595.89,87102481.73,137597463.08,106634541.39,101154167.83,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,156123664.91,0,282848701.39,0,134772054.25,0,167383166.28,0,71114420.99,0,137947831.72,0,33939331.02,0,75104025.84,0,31998994.89,0,73524497.83,0,34352532.32,0,132025985.30,0,66838249.78,0,167018302.67,0,87062991.43,0,158074656.14,0,80695406.09,0,97695314.37,0,51033265.16,0,60326736.17,0,40890838.93,15625290.02,49358948.05,41029703.43,0,14979501.78,43527452.08,47349820.96,39409894.43,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,29674365.25,0,23908243.28,0,26063369.38,0,31486735.86,0,19305436.71,0,35922766.38,0,9258434.89,0,31448693.05,0,12924614.47,0,37875250.76,0,13913120.01,0,8559469.92,0,13328988.39,0,24448329.77,0,17237066.76,0,7406044.79,0,9998305.36,0,1180852.37,0,3888444.86,0,7163361.57,0,5319826.08,3249333.00,3858617.38,4504198.01,0,1590317.36,1880578.00,7215333.34,1837256.54,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,74412260.84,0,137085694.18,0,62550464.52,0,111783456.46,0,53209611.30,0,93632361.96,0,38200413.86,0,43968086.39,0,24349692.58,0,32182510.50,0,22093052.05,0,29402945.51,0,21608171.16,0,32087305.42,0,15874178.26,0,26499648.16,0,11033741.19,0,19037343.08,0,9027237.23,0,17421976.56,0,8196759.15,3706160.94,14685764.63,10856019.74,0,3730665.74,12319628.86,11942141.30,11238893.81,0.0
48,无形资产摊销,0,74359222.05,0,125758184.32,0,46773255.76,0,86523522.76,0,38753356.23,0,98706560.79,0,39436516.77,0,38126055.53,0,17200158.49,0,34326471.47,0,18943569.53,0,13472591.73,0,7674073.27,0,15090461.55,0,10010185.19,0,13569043.48,0,1708164.06,0,4046893.70,0,2339060.87,0,2245911.34,0,640234.61,312910.39,1060591.95,748122.87,0,173016.39,560007.25,352919.65,356653.46,0.0
