,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,1471760.00,0,0,0,0,0,0,0,4300000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21722000.00,7165393.00,7165393.00,0,16998000.00,15100000.00,500000.00,1000000.00,0.0
31,筹资活动现金流入小计,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1471760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36362505.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,587990909.64,49665393.00,49665393.00,0,195218000.00,193320000.00,313708659.50,134700000.00,0.0
32,偿还债务支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116800000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192320000.00,102820000.00,52820000.00,0,258670200.00,238670200.00,166800000.00,131700000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,205232882.66,205232882.66,205232882.66,0,118403586.14,118403586.15,118403586.15,0,52623816.10,52623816.10,52623816.10,0,65779770.20,65779770.20,65779770.20,0,21139710.12,20150000.00,0,0,31000000.00,31000000.00,0,0,54250000.00,54250000.00,54250000.00,0,54250000.00,54250000.00,54250000.00,0,46500000.00,46500000.00,46500000.00,0,7070565.19,5336782.82,4126787.82,2183861.50,22481891.80,20214316.35,80193896.14,13287617.55,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,3251450.00,0,0,0,1376050.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3203000.00,0,617273.75,0,3484482.66,1384482.66,24303935.25,0,0.0
36,筹资活动现金流出小计,205232882.66,205232882.66,205232882.66,0.00,118403586.14,118403586.15,118403586.15,0.00,52623816.10,52623816.10,52623816.10,0.00,69031220.20,65779770.20,65779770.20,0.00,139315760.12,20150000.00,0.00,0.00,31000000.00,31000000.00,0.00,0.00,54250000.00,54250000.00,54250000.00,0.00,54250000.00,54250000.00,54250000.00,0.00,46500000.00,46500000.00,46500000.00,0,202593565.19,108156782.82,57564061.57,2183861.50,284636574.46,260268999.01,271297831.39,144987617.55,0.0
37,筹资活动产生的现金流量净额,-205232882.66,-205232882.66,-205232882.66,0.00,-118403586.14,-118403586.15,-118403586.15,0.00,-51152056.10,-52623816.10,-52623816.10,0.00,-69031220.20,-65779770.20,-65779770.20,0.00,-102953254.25,-20150000.00,0.00,0.00,-31000000.00,-31000000.00,0.00,0.00,-54250000.00,-54250000.00,-54250000.00,0.00,-54250000.00,-54250000.00,-54250000.00,0.00,-46500000.00,-46500000.00,-46500000.00,0,385397344.45,-58491389.82,-7898668.57,-2183861.50,-89418574.46,-66948999.01,42410828.11,-10287617.55,0.0
38,四、汇率变动对现金及现金等价物的影响,337822.81,0,0,0,435994.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-140613.82,0,0,0,-231945.96,-229761.06,-229761.06,0,19461.73,-52931.57,0,0,51631.19,85235.37,87043.28,0,41825.92,-12100.24,-2435.90,0,-153961.13,-282.44,-159096.82,-106589.53,0.0
39,五、现金及现金等价物净增加额,-301126239.50,-477927291.54,-908915590.45,-714347785.35,986002518.23,856360884.40,181686625.73,-15431095.94,-128594756.72,82302293.74,-94000432.19,-193065424.99,11778266.13,119390470.93,49626040.60,21304168.38,-123732757.68,-47355413.21,-1341350.05,54471920.23,-127974130.48,-78757971.68,-74114959.53,-52142285.63,13123296.76,33395788.14,-16733271.99,-10018533.49,5779857.72,3368128.64,-31726926.88,-21509341.21,-46713321.37,-49122359.62,-82571947.04,13878427.16,452534696.51,-27590855.36,14906657.61,-6884024.25,44319886.22,10564672.37,1948482.85,-24841873.09,0.0
40,加:期初现金及现金等价物余额,1128183155.87,1128183155.87,1128183155.87,1128183155.87,142180637.64,142180637.64,142180637.64,142180637.64,270775394.36,270775394.36,270775394.36,270775394.36,258997128.23,258997128.23,258997128.23,258997128.23,382729885.91,382729885.91,382729885.91,382729885.91,510704016.39,510704016.39,510704016.39,510704016.39,497580719.63,497580719.63,497580719.63,497580719.63,491800861.91,491800861.91,491800861.91,491800861.91,538514183.28,538514183.28,538514183.28,538513726.07,85979486.77,85979486.77,85979486.77,85979486.77,41659600.55,41659600.55,39711117.70,64552990.79,0.0
