,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
35,支付其他与筹资活动有关的现金,121884088.32,154666836.15,103687649.83,30583737.50,55517377.62,132727414.16,77626926.92,33712568.18,52248635.03,56386820.98,23041930.76,4111726.87,17978491.77,20438779.55,19147494.05,1636903.91,6197131.48,35460995.40,25864719.38,6818744.05,20048284.77,32125846.01,25520881.37,4943160.48,8686284.42,5927688.67,2255522.06,89833.33,0,182889.31,100222.64,0,100000.00,5610079.40,5610079.40,3415394.24,34656956.56,33982320.14,23261175.26,9826985.63,8937996.64,13153455.77,7073713.01,5478482.53,337184.77,2415980.41,0.0
36,筹资活动现金流出小计,170764772.42,202437744.82,151989199.26,30583737.50,124269229.84,201479266.38,146179543.97,33712568.18,91921835.03,96060020.98,62715130.76,4111726.87,52251691.77,54711979.55,53420694.05,1636903.91,87586689.26,98706073.18,68624402.17,14256272.96,110449984.81,94967546.05,75780714.73,5274660.50,29716251.15,26739735.58,22620588.73,89833.33,44728036.89,22913889.31,7231222.64,0.00,18116839.63,23610079.40,23610079.40,3415394.24,136168061.28,142349635.12,118528156.02,16341281.26,140054507.07,103004386.96,63563977.67,21360914.44,62988828.28,32699857.21,0.0
37,筹资活动产生的现金流量净额,-143489903.88,-57862192.80,-35584691.32,22028359.46,-118047117.63,-126110538.38,-112333261.25,-20356994.91,-54512985.38,-50709714.45,-25391976.63,-2820441.37,-36311998.77,-35573858.49,-35891710.06,14499864.28,-1941933.97,4268412.09,14994623.08,22211520.36,-29908741.63,-19218978.09,-5941096.97,6237937.86,14371364.01,8097379.58,10216526.43,4410307.83,-30071762.95,-16913889.31,-4231222.64,3000000.00,13323359.31,12244822.94,4830119.54,7644338.50,708463388.47,698716170.08,722537649.18,-6044582.54,-17626995.64,-13089530.09,-12670894.37,-17290145.12,46087303.22,-17609094.31,0.0
38,四、汇率变动对现金及现金等价物的影响,-13847.22,-18423.55,-24001.67,-2097.94,319569.32,31111.70,24844.59,8002.10,-7241.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.28,-32835.39,0.0
39,五、现金及现金等价物净增加额,-24044364.45,-16838720.33,19681139.77,-11491788.71,66749464.11,43218170.42,63247061.53,69001477.94,-6281429.21,-19542252.28,46227243.70,-11525247.51,-58452175.53,-60296398.22,-25369932.15,-72654442.79,-102400220.24,-150362860.89,-107723078.22,164287911.24,-77870542.29,-1686878.86,-150682534.31,-105870927.08,-100704912.63,-226121742.93,-209552457.68,-49243910.71,1723196.27,-14584209.64,-88000817.85,-9355888.25,184987313.16,172362342.02,31295316.57,51157627.86,166373791.40,627318490.40,694563090.55,-19119024.19,-6896751.78,-31545173.98,-21439176.69,-28747849.38,12200669.55,7929208.77,0.0
40,加:期初现金及现金等价物余额,118928583.60,118928583.60,118928583.60,118928583.50,52179119.49,52179119.49,52179119.49,52179119.49,58460548.70,58460548.70,58460548.70,58460548.70,116912724.23,116912724.23,116912724.23,116912724.23,219312944.47,219312944.47,219312944.47,219312944.47,297183486.76,297183486.76,297183486.76,297183486.76,397888399.39,397888399.39,397888399.39,397888399.39,396165203.12,396165203.12,396165203.12,396165203.12,211177889.96,211177889.96,211177889.96,211177889.96,44804098.56,44804098.56,44804098.56,44804098.56,51700850.34,51700850.34,51700850.34,51700850.34,39500180.79,31570972.02,0.0
41,六、期末现金及现金等价物余额,94884219.15,102089863.27,138609723.37,107436794.79,118928583.60,95397289.91,115426181.02,121180597.43,52179119.49,38918296.42,104687792.40,46935301.19,58460548.70,56616326.01,91542792.08,44258281.44,116912724.23,68950083.58,111589866.25,383600855.71,219312944.47,295496607.90,146500952.45,191312559.68,297183486.76,171766656.46,188335941.71,348644488.68,397888399.39,381580993.48,308164385.27,386809314.87,396165203.12,383540231.98,242473206.53,262335517.82,211177889.96,672122588.96,739367189.11,25685074.37,44804098.56,20155676.36,30261673.65,22953000.96,51700850.34,39500180.79,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,416492798.21,0,212893205.36,0,254415901.73,0,120444355.77,0,192838638.16,0,79266871.92,0,170200290.80,0,87868232.67,0,204697008.52,0,110871404.04,0,228959897.81,0,115920710.20,0,239501215.14,0,125889142.82,0,202624441.98,0,91208730.02,0,141438561.23,0,55020934.24,0,57711349.46,0,23230385.58,0,68815080.05,0,34661681.51,0,55586538.24,70140963.76,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,35626271.86,0,9939766.98,0,45487046.55,0,8804493.43,0,24061862.46,0,2333146.69,0,23512296.29,0,4188908.47,0,26409001.87,0,1669549.08,0,25302276.30,0,8996220.93,0,22756831.52,0,7631129.44,0,12752160.16,0,8445576.96,0,4837681.41,0,2139103.25,0,8666266.77,0,4045391.80,0,2416541.45,0,2142502.58,0,-712552.03,6127089.66,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,51360163.34,0,25019597.37,0,50086116.14,0,25218727.02,0,50257225.83,0,30137949.80,0,52339629.25,0,15443320.35,0,54700830.19,0,14887175.08,0,54155622.34,0,25918883.76,0,47318786.43,0,10601122.00,0,32977684.09,0,15764748.67,0,25942290.77,0,11860341.68,0,16494463.13,0,4920429.59,0,10756389.56,0,5296679.79,0,11435955.64,10900676.00,0.0
48,无形资产摊销,4213595.16,0,2005690.83,0,3958038.50,0,1694351.07,0,3705067.59,0,1909172.43,0,3801503.53,0,1946373.00,0,3968979.66,0,2504675.34,0,4288857.78,0,1785649.72,0,3088328.00,0,1746823.02,0,2150062.12,0,1073350.67,0,1809597.14,0,1060149.67,0,1830391.80,0,656530.85,0,1302640.25,0,649862.53,0,1190805.52,752024.68,0.0
49,长期待摊费用摊销,2049094.67,0,980351.04,0,1434783.37,0,847430.62,0,2190908.06,0,1126957.13,0,1661815.14,0,746988.41,0,1293424.32,0,780941.98,0,608768.17,0,221574.21,0,606320.13,0,223777.56,0,1197818.25,0,543616.56,0,1123826.25,0,731238.79,0,194383.56,0,96281.16,0,186908.36,0,134220.68,0,320807.67,270941.32,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,-753184.30,0,287498.84,0,158758.13,0,-21458.12,0,-1301295.11,0,-77319.63,0,-2850958.45,0,-2879030.10,0,588295.41,0,331738.40,0,1551047.50,0,281844.05,0,239446.79,0,81084.52,0,260437.58,0,-78314.07,0,-595816.91,0,-264178.53,0,17017.38,0,-34786.92,0,-279576.72,0,-128900.00,0,-489472.80,-22518.44,0.0
53,固定资产报废损失,1095149.07,0,672902.24,0,306546.89,0,-350630.15,0,-28535.74,0,0,0,0,0,59912.92,0,0,0,19660.02,0,0,0,311571.57,0,0,0,294.80,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,21637.35,0,7554.62,80687.57,0.0
54,公允价值变动损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,572024.76,0,5070056.12,0,-288741.67,0,0,0,14047.35,0,7311.11,0,48938.71,0,43954.33,0,3229943.90,0,1812344.39,0,3682287.03,0,1833616.16,0,53294.43,0,230816.62,0,419805.72,0,0.00,0,453709.86,0,0,0,2214962.75,0,1235722.62,0,3066830.96,0,1600189.34,0,4684900.47,540222.60,0.0
58,投资损失,-20470802.23,0,-12763549.54,0,-26521333.20,0,-14395515.93,0,-29692405.09,0,-10829096.46,0,-18274462.15,0,-8822948.13,0,-8018336.85,0,-3512642.02,0,-7132865.12,0,-3840014.11,0,-7646849.75,0,2036688.17,0,-3044432.19,0,-1288012.28,0,-1280108.42,0,66393.75,0,0,0,0,0,0,0,0,0,0,1921317.13,0.0
59,递延所得税资产减少,-5896265.35,0,-5338475.97,0,-10016273.86,0,-2782588.17,0,-5665871.41,0,-360936.91,0,1156233.18,0,-1749428.85,0,-5069110.91,0,2371603.20,0,-7335107.08,0,-3403719.90,0,-7840199.24,0,-3436140.65,0,-4371169.24,0,-1259588.15,0,1980561.09,0,2057226.34,0,-4044508.06,0,-345962.44,0,-570750.52,0,-351998.56,0,-57426.36,-1299448.68,0.0
