,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000.00,13000000.00,0,0,0,0,0,0,0.0
31,筹资活动现金流入小计,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,879928800.00,23000000.00,10000000.00,0,7500000.00,0,5000000.00,0,0.0
32,偿还债务支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,10000000.00,10000000.00,10000000.00,6818181.82,6818181.82,6818181.82,6818181.82,681818.18,0,0,0,0.0
33,分配股利、利润或偿付利息所支付的现金,258048000.00,258048000.00,258048000.00,258048000.00,483840000.00,483840000.00,483840000.00,434124475.20,483840000.00,434444380.71,434444380.71,434302479.46,397824000.00,397824000.00,397824000.00,397824000.00,21504000.00,21504000.00,21504000.00,0,8064000.00,8064000.00,8064000.00,0,8064000.00,8064000.00,8064000.00,0,18816000.00,18816000.00,18816000.00,0,28224000.00,28224000.00,28224000.00,0,20204250.00,20204250.00,20204250.00,20204250.00,301437.50,43312.50,43312.50,43312.50,8447643.75,8400000.00,0,0,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645000.00,645000.00,0,26035300.00,13000000.00,13000000.00,0,0,0,0,0,0.0
36,筹资活动现金流出小计,258048000.00,258048000.00,258048000.00,258048000.00,483840000.00,483840000.00,483840000.00,434124475.20,483840000.00,434444380.71,434444380.71,434302479.46,397824000.00,397824000.00,397824000.00,397824000.00,21504000.00,21504000.00,21504000.00,0.00,8064000.00,8064000.00,8064000.00,0.00,8064000.00,8064000.00,8064000.00,0.00,18816000.00,18816000.00,18816000.00,0.00,28224000.00,28224000.00,28224000.00,0,30204250.00,30849250.00,30849250.00,30204250.00,33154919.32,19861494.32,19861494.32,6861494.32,9129461.93,8400000.00,0,0,0.0
37,筹资活动产生的现金流量净额,-258048000.00,-258048000.00,-258048000.00,-258048000.00,-483840000.00,-483840000.00,-483840000.00,-434124475.20,-483840000.00,-434444380.71,-434444380.71,-434302479.46,-397824000.00,-397824000.00,-397824000.00,-397824000.00,-21504000.00,-21504000.00,-21504000.00,0.00,-8064000.00,-8064000.00,-8064000.00,0.00,-8064000.00,-8064000.00,-8064000.00,0.00,-18816000.00,-18816000.00,-18816000.00,0.00,-28224000.00,-28224000.00,-28224000.00,0,-30204250.00,-30849250.00,-30849250.00,-30204250.00,846773880.68,3138505.68,-9861494.32,-6861494.32,-1629461.93,-8400000.00,5000000.00,0,0.0
38,四、汇率变动对现金及现金等价物的影响,6940427.83,13405999.57,973060.90,-7795601.17,20374256.17,22076702.60,5485427.77,-15132198.92,-24812207.42,-18862180.14,-10010472.61,-3146866.85,15769715.95,84263.69,31820.34,-2335.75,-40396.55,22788.62,-370.65,2214.96,-4602.02,3235.39,3962.33,2742.07,3531.49,-12547.14,-10488.51,-2738.92,-9567.91,1937.20,-4200.39,-418.84,-28372.76,-20619.64,-8085.21,-4863.30,-1368.48,0,0,0,0,0,0,0,0,0,0,0,0.0
