,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20081231,20071231,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
38,四、汇率变动对现金及现金等价物的影响,668938.21,-4652559.15,-5467008.50,31838982.94,-5486756.67,-9285132.35,-45076414.39,-55436582.95,-62370783.86,-13975914.27,1322864.10,-1104248.00,2734805.39,3806651.47,-2347160.07,7583962.76,309374.53,-5346938.71,-3708594.30,-9993084.34,-1072484.89,1210370.81,1340323.99,-6386312.09,-7184316.46,-8326047.01,-3118586.10,3757377.79,3858450.98,346610.26,-31646.65,-2895345.07,-3967203.18,-2145817.75,165045.35,-5342075.96,-3367458.62,-3329500.00,-639820.43,-222981.11,-5716259.16,-504400.00,-1661534.32,0,0,0.0
39,五、现金及现金等价物净增加额,-154026241.01,12923482.37,-177355850.88,-635543108.51,-879085010.80,-796787015.97,-837404651.33,1026799498.68,29578985.09,-27528317.68,-77114657.47,-40392826.69,-214829592.79,-232059519.92,-328612612.28,44818127.56,-182667542.82,-236902752.35,-115667988.00,-46353566.67,-254758315.81,-228091304.38,-186738656.00,32741018.60,-202145530.82,-214462948.35,-81220145.95,-400272919.87,-385222194.14,-381573766.41,-145616066.54,655620615.89,811094088.15,1169722014.17,-85322035.68,53691613.86,-81899600.35,-82691700.00,16638077.50,37271731.11,41063685.13,40734000.00,722519.11,-13692319.61,29651510.77,0.0
40,加:期初现金及现金等价物余额,837049212.67,837049212.67,837049212.67,1472592321.18,1472592321.18,1472592321.19,1472592321.18,445792822.50,445792822.50,445792822.50,445792822.50,486185649.19,486185649.19,486185649.19,486185649.19,441367521.63,441367521.63,441367521.63,441367521.63,487721088.30,487721088.30,488435852.91,487721088.30,454980069.70,454980069.70,441900855.79,454980069.70,855252989.57,855252989.57,855252989.57,855252989.57,199632373.68,199632373.68,199632373.68,199632373.68,145940759.82,145940759.82,145940800.00,145940759.82,108669028.71,67605343.58,28738000.00,28015438.04,41707757.65,12056246.88,0.0
41,六、期末现金及现金等价物余额,683022971.66,849972695.04,659693361.79,837049212.67,593507310.38,675805305.22,635187669.85,1472592321.18,475371807.59,418264504.82,368678165.03,445792822.50,271356056.40,254126129.27,157573036.91,486185649.19,258699978.81,204464769.28,325699533.63,441367521.63,232962772.49,260344548.53,300982432.30,487721088.30,252834538.88,227437907.44,373759923.75,454980069.70,470030795.43,473679223.16,709636923.03,855252989.57,1010726461.83,1369354387.85,114310338.00,199632373.68,64041159.47,63249100.00,162578837.32,145940759.82,108669028.71,69472000.00,28737957.15,28015438.04,41707757.65,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,21705662.76,0,476804806.13,0,7862743.17,0,244862137.72,0,18382278.72,0,401828371.83,0,31351623.42,0,253183736.43,0,-1967186.81,0,43265565.47,0,-60258258.09,0,135071189.78,0,8991308.58,0,33327669.82,0,-9679442.25,0,146019696.41,0,20275820.33,0,116194753.05,0,0,0,67184178.24,44195450.83,34370300.00,21116929.16,46110996.86,26593283.96,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,3773349.36,0,171836842.97,0,16430304.65,0,87173932.95,0,4946570.02,0,77794574.29,0,21138517.22,0,40340216.29,0,6627984.90,0,33008308.32,0,15932454.52,0,31690096.45,0,15193227.39,0,22287741.74,0,5255934.87,0,17459684.26,0,4356983.25,0,8403545.38,0,0,0,5453849.83,8073479.33,463300.00,0,0,0,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,81255467.70,0,161116030.36,0,80151908.07,0,130106117.29,0,56029078.33,0,81165117.66,0,37687699.76,0,70913380.54,0,34056253.40,0,56271897.83,0,25889846.19,0,47483438.15,0,23004364.04,0,38741371.00,0,16695803.88,0,23934499.72,0,11431005.18,0,21002338.29,0,0,0,17176322.48,14292488.10,12459600.00,8043954.36,3912535.93,2738256.36,0.0
48,无形资产摊销,0,146099300.89,0,248181912.03,0,120555615.61,0,166932097.00,0,51635741.75,0,53194369.60,0,25496344.33,0,40394364.89,0,17734277.85,0,30969187.40,0,14747878.86,0,20139418.25,0,9015711.67,0,8988943.26,0,2979652.71,0,2536868.64,0,842206.05,0,1849085.64,0,0,0,1178382.11,995420.28,227500.00,227684.88,15333.24,0,0.0
49,长期待摊费用摊销,0,16867992.56,0,38598221.61,0,14588493.11,0,23680901.12,0,11609616.98,0,17161304.92,0,8148529.45,0,15615752.43,0,7831487.67,0,13723197.90,0,6622224.09,0,4940919.75,0,1103094.84,0,1185319.62,0,477806.23,0,579754.48,0,247341.24,0,273441.97,0,0,0,387321.89,80391.06,260000.00,162632.51,228548.65,293585.20,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3975702.24,7255519.32,-1083226.91,0.0
