,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
35,支付其他与筹资活动有关的现金,1481930.85,1481930.85,451950.00,412411.12,1034050.69,1034050.69,600.00,0,95940.59,95940.59,0,30551059.00,348976.16,348976.16,0,16005272.04,0,0,0,22970053.41,0,0,0,152539.84,152539.84,155011.81,0,0,3693985.61,3693985.61,0,26101494.38,0,0,0,5271458.33,2551228.21,0,0,14653490.00,14653490.00,14653490.00,8066510.00,554505.54,0.0
36,筹资活动现金流出小计,73998636.91,73931809.13,5918575.00,75637851.90,70244948.51,70076669.82,887677.39,87728451.50,71533167.09,66399767.09,130500.00,52041028.60,21888921.45,24396125.10,2056353.66,38478419.24,30731885.36,21850338.15,1106166.67,60040098.98,35211528.98,32046562.32,6230593.88,51827539.84,47558109.19,47560581.16,0.00,51675000.00,55436100.65,55436100.65,0.00,69508494.38,43407715.62,12405311.10,7651106.96,25554510.83,22834280.71,20283052.50,252225.00,30425012.50,30063490.00,30063490.00,17149128.98,617431.20,0.0
37,筹资活动产生的现金流量净额,-72998636.91,-72931809.13,-5918575.00,-65637851.90,-65244948.51,-65076669.82,4112322.61,-25190992.49,-43379608.09,-38246208.09,20869500.00,146964235.46,-21888921.45,-15390853.06,-1356353.66,-16358365.83,-30731885.36,-21850338.15,-1106166.67,-36874284.85,-35211528.98,-32046562.32,-6230593.88,-49474528.80,-47558109.19,-39318933.37,0.00,-40143644.51,-52179295.07,-52179295.07,0.00,-69508494.38,-43407715.62,-12405311.10,-7651106.96,442273619.17,444993849.29,-20283052.50,-252225.00,-10425012.50,-10063490.00,-30063490.00,30650871.02,14372568.80,0.0
38,四、汇率变动对现金及现金等价物的影响,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,190571592.32,145707686.76,21843018.08,-147617126.92,-126047566.50,-119977624.31,-62484576.86,-44379753.66,-3404354.52,-22472038.78,1435852.44,116871060.38,-44315373.27,-27487719.47,-20006792.58,-9318463.31,-33765684.97,-29412636.49,-907464.67,-3136743.90,962603.91,-53766685.90,-44870185.86,-55150020.91,-56957932.63,-51898512.74,4267537.96,29432454.61,82081015.90,14952248.10,56695639.20,-230854291.66,-70973734.68,-33450836.95,-26174658.97,459096340.72,450744383.48,-10172862.74,170850.82,819346.20,-1600678.56,-20043039.57,21129760.67,3686425.96,0.0
40,加:期初现金及现金等价物余额,144005044.44,144005044.44,144005044.44,291622171.36,291622171.36,291622171.36,294332671.36,336001925.02,336001925.02,336001925.02,336001925.02,219130864.64,219130864.64,219130864.64,219130864.64,228449327.95,154304607.47,154304607.47,228449327.95,231586071.85,245219929.94,245219929.94,231586071.85,286736092.76,286736092.76,286736092.76,286736092.76,257303638.15,257303638.15,257303638.15,257303638.15,488157929.81,488157929.81,488157929.81,489574654.81,29061589.09,29061589.09,0,29061589.09,28242242.89,28242242.89,0,7112482.22,3426056.26,0.0
41,六、期末现金及现金等价物余额,334576636.76,289712731.20,165848062.52,144005044.44,165574604.86,171644547.05,231848094.50,291622171.36,332597570.50,313529886.24,337437777.46,336001925.02,174815491.37,191643145.17,199124072.06,219130864.64,120538922.50,124891970.98,227541863.28,228449327.95,246182533.85,191453244.04,186715885.99,231586071.85,229778160.13,234837580.02,291003630.72,286736092.76,339384654.05,272255886.25,313999277.35,257303638.15,417184195.13,454707092.86,463399995.84,488157929.81,479805972.57,0,29232439.91,29061589.09,26641564.33,0,28242242.89,7112482.22,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,-12909837.98,0,86421058.59,0,17752166.99,0,108296905.45,0,6657282.94,0,47734513.98,0,3076451.30,0,34504252.81,0,-7401087.66,0,8672499.32,0,22322199.71,0,67613135.05,0,35475481.24,0,97101627.40,0,38299125.29,0,86252371.54,0,28735132.54,0,62236450.51,0,0,0,48207519.51,0,0,37268839.03,14226365.75,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,-7803014.12,0,26384508.66,0,-4719476.56,0,8196413.99,0,-2385931.36,0,-8910260.92,0,-1316797.58,0,20939831.43,0,-180943.44,0,31522104.36,0,2102098.19,0,5865149.42,0,1024882.20,0,3745348.32,0,1126234.85,0,2645230.45,0,0,0,713982.85,0,0,0,607102.80,0,0,-25137.10,660751.45,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,7005053.35,0,17098849.73,0,8617465.60,0,17049731.37,0,9446517.24,0,15767157.15,0,7818320.48,0,10784881.89,0,7447744.11,0,11023851.53,0,6604900.67,0,10310054.68,0,5085917.67,0,8051039.16,0,3854169.85,0,5461779.56,0,2312072.28,0,3658041.07,0,0,0,2398685.52,0,0,1638649.64,1285827.65,0.0
48,无形资产摊销,0,5770309.90,0,11187921.98,0,4975208.42,0,10490843.95,0,5217813.76,0,7920110.42,0,2418035.37,0,4400003.82,0,2148954.69,0,3554260.76,0,1658231.40,0,2282864.88,0,1141432.41,0,1154342.84,0,437600.76,0,683422.72,0,237651.80,0,441977.40,0,0,0,441977.40,0,0,54809.40,54809.40,0.0
49,长期待摊费用摊销,0,14922.00,0,38192.68,0,14922.00,0,58359.35,0,25922.00,0,60192.68,0,25922.00,0,40026.01,0,0,0,549910.84,0,0,0,8348.68,0,4174.34,0,4174.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,-93358.53,0,-240337.41,0,-182127.14,0,235771.42,0,260639.84,0,-259416.43,0,-246155.82,0,-25856.29,0,8483.00,0,-121847.08,0,-121847.08,0,-121858.45,0,0,0,-138839.96,0,-126164.46,0,5777.61,0,-67047.77,0,56.68,0,0,0,37158.82,0,0,0,0,0.0
53,固定资产报废损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,0,425166.21,0,483664.37,0,227391.77,0,452131.86,0,534495.59,0,404217.66,0,-3025367.19,0,-324621.57,0,-4257371.82,0,1126939.37,0,-2682565.33,0,0,0,155011.81,0,0,0,0,0,0,0,0,0,283052.50,0,0,0,771522.50,0,0,1082618.98,62925.66,0.0
58,投资损失,0,-4684822.67,0,-6035565.85,0,-3205233.75,0,-3553250.06,0,0,0,-12256.76,0,0,0,-22315912.18,0,0,0,-1407891.80,0,-966979.47,0,-3196090.12,0,-792986.30,0,-3056178.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
