,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
34,支付其他与筹资活动有关的现金,819956638.93,520691154.71,473290134.27,37110023.49,232327032.35,54963061.76,54167886.12,0,110763312.31,58441813.91,58441813.91,0,318156191.66,25174634.73,25174634.73,6784277.75,980907448.66,783193935.04,226679772.33,0,71316607.54,0,0,17330280.56,237568057.11,31231277.01,26405967.15,26405967.15,44763448.56,57186643.43,57186643.43,0,332380327.78,336904649.88,329576464.55,0,1158271560.16,0,0,0,0,0,0,0,0,0,0,0,200000000.00,200000000.00,200000000.00,0.0
35,筹资活动现金流出小计,166300189725.85,126697062677.29,75587136804.66,34148166342.21,163395711510.27,121675519012.65,93718797246.07,23603598984.61,140802053227.48,128918612499.07,103180141961.98,33436018499.99,105698114499.48,81837531164.99,54916926901.77,18394720126.31,145793651490.83,119490712542.72,78021766596.97,31607648403.34,34978928342.17,19700957875.94,8474746819.57,1953008400.59,6605006173.22,6332532917.59,112012258.11,44813037.57,1439921804.72,1937205120.82,934223454.64,222370256.39,2091159712.65,1867638027.23,1664047359.98,8400047.84,2894860803.37,1784645727.52,84643251.26,48532584.40,1811645102.32,1282874838.13,822782118.00,0,466376043.61,466376043.61,412256812.42,0,308391462.04,308391462.04,200000000.00,0.0
36,筹资活动产生的现金流量净额,-6851310844.01,2597139136.66,13060826285.06,794086375.20,7612853853.56,6001690775.54,13122133408.09,22238744247.14,3973222499.17,-13794577701.75,-23892019532.40,282873240.81,33354876131.57,22806895722.00,19844282722.31,7436263846.85,97077920186.31,100691986836.04,105760002329.66,22662067154.77,45573041593.33,21439462012.24,11799153352.48,3980682584.88,17491190583.75,-293732315.20,1198330644.34,341524312.74,17493485297.82,10252037726.36,11255766118.40,296746154.82,-1722801998.05,-1841886655.35,-1164363610.16,594164418.60,-1001575704.10,6923636084.35,1637609508.48,506354820.38,-437882846.01,-874337578.87,-546415858.74,0,-466376043.61,-466376043.61,-412256812.42,0,26447912422.93,546362933.31,631424395.35,0.0
37,四、汇率变动对现金及现金等价物的影响,426218144.84,837425464.00,71089782.74,392518824.86,1076462351.09,1224289797.42,133673795.61,-852468150.06,-1561443060.12,-1160284864.67,-668311970.36,-157290624.74,1530590010.25,711385826.43,463063744.18,-90500325.95,859382289.53,452780729.04,31052028.16,34874435.86,68516770.22,83553803.65,121735127.40,142419469.03,-243010131.75,-179068954.72,-149477764.14,-32328277.69,16161006.81,138740510.50,92463418.97,221943.93,-162111178.09,-211050263.17,-72439357.72,6586299.89,-87151764.40,-129353268.76,-54878479.73,-8392375.93,-4591665.80,-3337804.30,-931869.75,-1939512.39,-113523235.58,-112023786.63,-100263236.95,-62339702.19,-14472774.76,-9701965.47,-8231046.08,0.0
38,五、现金及现金等价物净增加额,17284670260.82,17001415119.34,25123263112.61,19019482146.88,-3097467234.56,-138650791.97,-335204262.38,13448872852.17,-21510869518.00,-24078658852.21,-9090947811.96,-11316269547.38,-46870013234.08,-49318342286.90,-27348891570.08,2780405021.13,77553907649.96,133448565703.40,161028987319.30,14665147768.86,42131220410.81,18061220927.08,5008241686.91,-2832068454.76,3287698352.45,-6379475267.36,4479119829.47,2714865235.33,1982822122.25,8199845907.72,11203049293.70,8857174381.13,-23497652765.89,-21961158476.60,-23101532108.32,-5590568443.73,-17207262496.06,-21213128922.25,-15284066536.41,1254581808.98,34998592409.59,20751682136.84,6804294688.78,13276537897.37,-25021933505.52,-23881164171.73,3441108455.84,-4718135403.96,63829114886.60,30229274627.11,30215919621.58,0.0
39,加:期初现金及现金等价物余额,106544822601.70,106544822601.70,106544822601.70,106544822601.70,109642289836.26,109642289836.26,109642289836.26,109318648245.78,131153159354.26,131153159354.26,131153159354.26,131153159354.26,178023172588.34,178023172588.34,178023172588.34,178023172588.34,100469264938.38,100469264938.38,100469264938.38,100469264938.38,58338044527.57,58338044527.57,58338044527.57,58338044527.57,55050346175.12,55036794196.65,55036794196.65,55036794196.65,53053972074.41,53053972074.42,53053972074.41,53053972074.41,76551624840.30,76551624840.30,76551624840.30,76551624840.30,93758887336.36,93758887336.36,93758887336.36,93758887336.36,58760294926.77,58760294926.77,58760294926.77,58760294926.77,83782228432.29,83782228432.29,83782228432.29,83782228432.29,19953113545.69,19845456915.22,19845456915.22,0.0
40,六、期末现金及现金等价物余额,123829492862.52,123546237721.04,131668085714.31,125564304748.58,106544822601.70,109503639044.29,109307085573.88,122767521097.95,109642289836.26,107074500502.05,122062211542.30,119836889806.88,131153159354.26,128704830301.44,150674281018.26,180803577609.47,178023172588.34,233917830641.78,261498252257.68,115134412707.24,100469264938.38,76399265454.65,63346286214.48,55505976072.81,58338044527.57,48657318929.29,59515914026.12,57751659431.98,55036794196.66,61253817982.14,64257021368.11,61911146455.54,53053972074.41,54590466363.70,53450092731.98,70961056396.57,76551624840.30,72545758414.11,78474820799.95,95013469145.34,93758887336.36,79511977063.61,65564589615.55,72036832824.14,58760294926.77,59901064260.56,87223336888.13,79064093028.33,83782228432.29,50074731542.33,50061376536.80,0.0
41,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,净利润,10540662761.47,0,6068149177.13,0,5770708488.48,0,3459368944.80,0,9875602870.26,0,4516934146.44,0,8930518254.41,0,4665709232.71,0,16841315655.08,0,10928654864.13,0,8119023085.67,0,3016926490.22,0,4280993726.16,0,2781822735.08,0,3234492490.49,0,2144940353.13,0,3281996820.74,0,2339125929.44,0,3868157692.77,0,1925335491.64,0,4661740625.39,0,2493298498.06,0,3385018990.71,0,2072174187.15,0,5560130959.59,0,0,0.0
43,加:少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
