,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
31,筹资活动现金流入小计,11898470766.18,5773524739.65,3105029356.60,8251246147.74,6466111297.34,4255823131.50,1864815560.73,4965419269.73,3400678211.27,1422712454.07,575506946.11,7039573462.64,2531702841.75,1490369589.80,854634857.30,3021232024.20,1091106132.46,648284500.39,358908527.83,1107308792.68,1111643825.69,583764793.88,176870575.12,412016805.20,317013090.89,150011955.48,105001768.09,530172461.03,480157155.39,220033988.08,120015602.76,237510710.65,165188472.88,118130701.58,50000000.00,217031782.53,191313032.27,123943425.29,87700000.00,179543864.85,120657356.54,70415112.25,40000000.00,455394442.56,404226120.00,355726120.00,352226120.00,179250000.00,128550000.00,143550000.00,34000000.00,110575918.05,29771400.00,19297500.00,0.0
32,偿还债务支付的现金,7529661503.00,4614046454.32,2800531412.05,6084767875.40,4536400824.51,2843778930.97,1393483903.44,2745128528.35,2379436094.40,1506023001.68,868902465.63,2578025225.24,1623443793.45,1044955293.72,567289924.84,1327159170.31,1047629996.30,471420095.32,271502126.25,692096865.77,524507903.31,212403502.91,111340382.88,465000000.00,355000000.00,215000000.00,135000000.00,445000000.00,440000000.00,190000000.00,120000000.00,206730000.00,187000000.00,105000000.00,70000000.00,202700000.00,150000000.00,72700000.00,37700000.00,75000000.00,20000000.00,20000000.00,0,143200000.00,88700000.00,88700000.00,23700000.00,197800000.00,151250000.00,112550000.00,20000000.00,19150000.00,29150000.00,19150000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,310151014.57,120252810.75,69451478.44,381594049.04,285205110.84,91904703.19,60798801.96,263232774.68,251356219.62,228280245.62,31356172.71,118312367.60,110624456.84,49329806.33,22807249.17,123476323.67,85861702.99,43469391.31,12846384.40,32281608.04,22680148.55,15983464.55,4404943.70,14963713.78,11456449.92,9270727.67,3548124.98,35212651.56,31741027.82,28459758.35,2978224.44,22415710.64,19187631.12,16572208.91,1447161.54,21885358.00,19745985.52,18970886.79,1727099.75,27913812.05,25686695.21,24401187.64,771972.37,7723670.31,6563610.30,5629507.79,1779352.28,19740559.11,6127742.43,4589512.03,1234762.76,17614970.68,2290954.18,2098925.74,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,2772394436.38,1037076291.28,378662355.14,1006260777.54,294341335.91,478612976.19,401892126.78,558152090.66,402525279.98,292126263.08,357688892.76,1009225255.25,486104653.61,445530356.87,209342875.34,181282624.86,630095.34,630095.34,300095.34,33686101.48,0,522895.20,0,349056.59,0,0,0,900000.00,0,0,0,0,0,0,475072.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,筹资活动现金流出小计,10612206953.95,5771375556.35,3248645245.63,7472622701.98,5115947271.26,3414296610.35,1856174832.18,3566513393.69,3033317594.00,2026429510.38,1257947531.10,3705562848.09,2220172903.90,1539815456.92,799440049.35,1631918118.84,1134121794.63,515519581.97,284648605.99,758064575.29,547188051.86,228909862.66,115745326.58,480312770.37,366456449.92,224270727.67,138548124.98,481112651.56,471741027.82,218459758.35,122978224.44,229145710.64,206187631.12,121572208.91,71922233.75,224585358.00,169745985.52,91670886.79,39427099.75,102913812.05,45686695.21,44401187.64,771972.37,150923670.31,95263610.30,94329507.79,25479352.28,217540559.11,157377742.43,117139512.03,21234762.76,36764970.68,31440954.18,21248925.74,0.0
37,筹资活动产生的现金流量净额,1286263812.23,2149183.30,-143615889.03,778623445.76,1350164026.08,841526521.15,8640728.55,1398905876.04,367360617.27,-603717056.31,-682440584.99,3334010614.55,311529937.85,-49445867.12,55194807.95,1389313905.36,-43015662.17,132764918.42,74259921.84,349244217.39,564455773.83,354854931.22,61125248.54,-68295965.17,-49443359.03,-74258772.19,-33546356.89,49059809.47,8416127.57,1574229.73,-2962621.68,8365000.01,-40999158.24,-3441507.33,-21922233.75,-7553575.47,21567046.75,32272538.50,48272900.25,76630052.80,74970661.33,26013924.61,39228027.63,304470772.25,308962509.70,261396612.21,326746767.72,-38290559.11,-28827742.43,26410487.97,12765237.24,73810947.37,-1669554.18,-1951425.74,0.0
38,四、汇率变动对现金及现金等价物的影响,-7790361.97,-5222362.86,-937651.83,4526015.90,-2446022.82,3895316.98,-13241288.88,-30235790.71,-15276677.49,-13328952.37,-2314475.60,7897111.32,1397897.14,541953.18,1122952.64,240128.34,506380.70,-74963.22,225650.52,-125069.71,1120685.76,78827.14,-19212.77,-1181592.30,0,0,-30085.46,-176300.35,-4230.39,0,0,-63.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,1054772167.28,-294737613.53,-594184222.59,-1858394160.63,-1447597493.00,-877576032.22,-1190706631.89,-856872009.30,-1877360519.69,-1852072421.55,-1855001261.19,3212224042.39,-191016355.74,-116366052.76,-48269010.77,622830175.93,90787080.60,33498057.23,65010.84,53923817.92,121306400.92,380014654.94,111275096.55,-41156307.49,-51690843.73,-66749318.30,-58081616.02,15862053.65,-8363866.47,-8706855.83,-41388386.26,-94947856.53,-115575218.65,2402044.17,-3842497.85,-54163852.30,-110887668.81,-100139540.53,-40798451.20,-69371245.22,-20609551.98,-23775222.14,31438725.74,319446072.93,329792864.66,320740804.02,358632696.15,-65959270.12,-49769756.70,-9516825.76,-35792511.84,54111250.98,8689030.54,27944643.58,0.0
40,加:期初现金及现金等价物余额,1252318487.32,1252318487.32,1252318487.56,3110712647.95,3115712647.95,3110712647.95,3110712647.95,3967584657.25,3969567685.14,3969567685.14,3969567685.14,755360614.86,755360291.05,755360291.05,779744713.20,132530115.12,132530115.12,132530115.12,135551100.30,78606297.20,78606297.20,78606297.20,78606297.20,146721583.67,146721583.67,146721583.67,151841583.67,130859530.02,130859530.02,130859530.02,129859530.02,225807386.55,225807386.55,225807386.55,225807386.55,279971238.85,279971238.85,279971238.85,279971238.85,349342484.07,349342484.07,349342484.07,29896411.14,29896411.14,29896411.14,29896411.14,29896411.14,95855681.26,95855681.26,95855681.26,95855681.26,41744430.28,33055399.74,5110756.16,0.0
