,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
38,四、汇率变动对现金及现金等价物的影响,0,0,0,21674.70,0,0,0,115559.35,-115755.51,-373723.44,-373723.44,474287.63,99100.00,99100.00,0,12380.52,1820.06,1794.80,1513.90,-39758.55,-184.39,-7.30,0,6168.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,-156572331.29,-145603888.93,-20040479.05,83314352.60,-39718019.90,-50944826.10,-42424612.16,-6016951.41,-69186979.15,-52163699.46,-30582941.75,29068996.51,-22934038.77,-6666047.31,51310374.02,45477194.52,71566769.23,59693885.08,52425912.66,-163124482.21,-155624244.76,-95495513.06,-75299218.05,-215222005.26,-221491230.07,-149063701.08,-228173972.45,67571228.79,-69790660.67,-33073997.39,-22453259.84,-89777951.40,-101658321.58,30249306.53,-98326026.94,-35674769.96,-75899904.08,-231243196.14,-145009423.29,465332038.04,23863345.62,38744528.64,671488.97,10505969.14,9460220.46,14944836.32,4702762.32,0.0
40,加:期初现金及现金等价物余额,218808415.80,218808415.80,218808415.80,135494063.20,135494063.20,135494063.20,135494063.20,141511014.61,141511014.61,141511014.61,141511014.61,112442018.10,112442018.10,112442018.10,112442018.10,66964823.58,66964823.58,66964823.58,66964823.58,230089305.79,230089305.79,230089305.79,230089305.79,445311311.05,445311311.05,445311311.05,445311311.05,377740082.26,377740082.26,377740082.26,377740082.26,467518033.66,605028729.03,605028729.03,467518033.66,503192803.62,537771419.08,537771419.08,537771419.08,37860765.58,0,37860765.58,37860765.58,27354796.44,32304081.41,12409960.12,7707197.80,0.0
41,六、期末现金及现金等价物余额,62236084.51,73204526.87,198767936.75,218808415.80,95776043.30,84549237.10,93069451.04,135494063.20,72324035.46,89347315.15,110928072.86,141511014.61,89507979.33,105775970.79,163752392.12,112442018.10,138531592.81,126658708.66,119390736.24,66964823.58,74465061.03,134593792.73,154790087.74,230089305.79,223820080.98,296247609.97,217137338.60,445311311.05,307949421.59,344666084.87,355286822.42,377740082.26,503370407.45,635278035.56,369192006.72,467518033.66,461871515.00,306528222.94,392761995.79,503192803.62,0,76605294.22,38532254.55,37860765.58,41764301.87,27354796.44,12409960.12,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,0,-35020765.14,0,32037840.79,0,10628141.02,0,-33173701.70,0,-6838242.42,0,40686003.50,0,57019868.81,0,32175284.53,0,16370288.35,0,-485885046.58,0,-94981202.90,0,-244266399.43,0,28901810.46,0,35221314.29,0,67198561.61,0,110037519.42,0,57208497.31,0,90917904.45,0,31329152.58,0,57306884.45,0,25088983.30,0,29168591.46,0,16108917.32,1038554.33,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,0,-248120.03,0,13894301.84,0,-3544168.06,0,20215629.45,0,2945527.63,0,-10585806.08,0,-35142037.77,0,10766944.56,0,-7573318.30,0,287549173.50,0,12363596.87,0,96497646.80,0,7639611.03,0,25899313.06,0,0,0,6689330.79,0,-35000.00,0,2071634.06,0,-14232.95,0,748815.25,0,393328.31,0,292235.15,0,-1452970.70,56419.27,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,0,5395637.77,0,13139805.81,0,6738119.62,0,13580703.46,0,6035831.69,0,14111296.98,0,7190591.40,0,14220478.69,0,7402943.00,0,16692962.34,0,8543183.07,0,16285011.87,0,7418716.35,0,12776555.42,0,4981981.76,0,9370315.37,0,4180380.70,0,4599980.45,0,2477601.54,0,2859008.75,0,1207144.96,0,1827960.83,0,693029.99,295727.10,0.0
48,无形资产摊销,0,965937.72,0,2571788.23,0,1480120.59,0,3062758.62,0,1369700.76,0,2865287.84,0,1400913.62,0,3354924.15,0,1781646.59,0,2775448.24,0,1334821.60,0,2368046.14,0,1000524.74,0,1629594.94,0,627172.94,0,846711.01,0,280994.73,0,257846.92,0,-160121.49,0,111060.89,0,46279.13,0,104159.98,0,96049.19,58723.13,0.0
49,长期待摊费用摊销,0,1446174.20,0,3264685.57,0,1599489.13,0,3372262.62,0,1820325.29,0,3331895.36,0,1910347.80,0,4471715.88,0,2205126.33,0,5190356.57,0,3158381.51,0,5016608.31,0,3759186.88,0,6120667.20,0,2623776.78,0,4620089.75,0,2822950.00,0,1067416.79,0,402377.70,0,90503.34,0,87891.86,0,94307.71,0,52654.94,17959.00,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,0,70200.10,0,158040.03,0,219338.78,0,-25593.28,0,-22179.19,0,-436426.00,0,46564.03,0,-35484.58,0,177678.70,0,1081350.26,0,674639.32,0,559315.79,0,94543.84,0,167582.36,0,36497.52,0,-236876.71,0,23939.54,0,115294.34,0,-6264.32,0,-5264.68,0,9769.17,0,12941.02,0,7240.64,0,0.0
53,固定资产报废损失,0,0,0,-32610.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
