,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,167960000.00,167960000.00,170000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,159101729.17,42220371.78,95272471.82,92538249.40,59984332.39,56959318.60,53253158.81,27560804.61,28109232.15,14929160.84,6314392.89,32727649.07,10934043.14,3294867.86,10652405.98,26582586.21,34318153.56,26153871.61,38520094.82,7259751.12,263459557.60,195434367.10,125989553.91,266621951.85,224896250.88,143179164.61,71896107.16,311876849.15,275028042.57,189620745.32,112492504.24,123216293.76,79129028.97,27997413.01,5086929.84,75084542.00,41787418.75,32884282.73,4940.87,47638182.32,20084146.06,13397319.74,8320053.56,0,0,0,0,0,0,0,0,1598500.00,0,0,0,1646900.00,0,0,0,2278400.00,0,0,248700000.00,0,0.0
31,筹资活动现金流入小计,474808953.17,328997111.91,256779895.82,793260249.40,666856332.39,461959318.60,171253158.81,1028851388.61,953399816.15,932259744.84,161314392.89,774412149.07,428664043.14,360044867.86,116632405.98,774095582.51,507677019.30,344096367.91,111020094.82,613033875.15,490959557.60,322934367.10,125989553.91,733663948.85,641313247.88,257179164.61,95896107.16,525776849.15,414028042.57,288620745.32,151492504.24,262716293.76,198129028.97,117997413.01,45086929.84,206309302.00,167262178.75,55884282.73,23004940.87,120738182.32,88084146.06,35397319.74,18320053.56,143875643.64,90825572.74,40000000.00,10000000.00,169800000.00,96800000.00,56800000.00,26800000.00,61598500.00,30000000.00,30000000.00,0,73900722.40,72184921.94,63449697.57,33449697.57,386110777.35,248700000.00,248700000.00,248700000.00,20000000.00,0.0
32,偿还债务支付的现金,375277275.51,290306146.95,143534835.57,655931825.36,521379340.00,370976619.00,155443197.00,610049703.73,420478966.23,342953023.78,69359858.24,622536412.34,309410847.78,213816311.00,72815306.00,579244626.08,386653315.93,188521143.41,79090966.13,533265171.41,169000000.00,74000000.00,4000000.00,196000000.00,157000000.00,74000000.00,24000000.00,156400000.00,130265471.81,90265471.81,55000000.00,85250000.00,72587957.35,55250000.00,30260908.33,74000000.00,72002700.00,41000000.00,38566643.20,106100000.00,50000000.00,25000000.00,10000000.00,184831572.74,74800000.00,54800000.00,24800000.00,50000000.00,20000000.00,0,0,60000000.00,30000000.00,30000000.00,0,102253822.40,93866398.40,67242664.80,60000000.00,164904814.75,30000000.00,0,0,30000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,30533401.94,23875244.13,7628922.05,37204131.54,29538477.25,22771332.27,6191367.68,34587328.55,27095090.45,19842156.45,9100045.44,55047792.55,44941413.87,17709823.10,8871411.39,32161512.81,22204086.13,15743298.99,8439837.01,43904488.78,28824825.22,9623945.81,4718009.88,15747445.39,11797818.15,6926999.46,3474098.49,13902667.83,5414643.12,4683218.66,3019560.97,18379024.91,14305567.31,3732854.40,994827.09,13093450.79,11718193.38,1460625.50,1024815.28,5335000.09,4338563.47,2671184.01,1446161.95,9233856.03,7122494.47,4569697.63,2367660.13,11411078.12,7698307.13,6390673.13,459000.00,6266782.53,5931375.03,842489.85,400739.85,15208471.39,13136052.57,771737.37,362636.80,13752408.31,12033239.05,11708739.05,538945.00,9274111.77,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,48516350.81,32594148.66,38187869.66,77653706.23,16902240.71,20134052.54,8141546.64,22770673.49,37504405.16,6243985.48,5850862.58,95861807.92,45373479.26,37743272.16,18673217.08,40673147.74,43067307.83,37451616.63,11967694.29,63244210.26,275980923.02,191867723.59,107828691.89,260467535.47,174488046.27,88408077.73,61408530.24,326496486.01,230814940.97,131834396.19,46175083.35,81147491.98,46349540.69,21206375.10,16163707.16,54561421.00,47146820.05,23147193.74,2672470.64,32147626.51,31224388.02,19280384.10,11022838.33,615619.71,0,0,0,0,0,0,0,2355370.00,1000000.00,1000000.00,0,0,0,0,0,1617214.40,13353036.90,13353036.90,12862436.90,0,0.0
36,筹资活动现金流出小计,488228036.09,361228601.55,190324635.28,770789663.13,602811543.18,448873489.03,169776111.32,667407705.77,485078461.84,369039165.71,84310766.26,773446012.81,399725740.91,269269406.26,100359934.47,652079286.63,451924709.89,241716059.03,99498497.43,640413870.45,473805748.24,275491669.40,116546701.77,472214980.86,343285864.42,169335077.19,88882628.73,496799153.84,366495055.90,226783086.66,104194644.32,184776516.89,133243065.35,80189229.50,47419442.58,141654871.79,130867713.43,65607819.24,42263929.12,143582626.60,85562951.49,46951568.11,22469000.28,194681048.48,81922494.47,59369697.63,27167660.13,61411078.12,27698307.13,6390673.13,459000.00,68622152.53,36931375.03,31842489.85,400739.85,117462293.79,107002450.97,68014402.17,60362636.80,180274437.46,55386275.95,25061775.95,13401381.90,39274111.77,0.0
37,筹资活动产生的现金流量净额,-13419082.92,-32231489.64,66455260.54,22470586.27,64044789.21,13085829.57,1477047.49,361443682.84,468321354.31,563220579.13,77003626.63,966136.26,28938302.23,90775461.60,16272471.51,122016295.88,55752309.41,102380308.88,11521597.39,-27379995.30,17153809.36,47442697.70,9442852.14,261448967.99,298027383.46,87844087.42,7013478.43,28977695.31,47532986.67,61837658.66,47297859.92,77939776.87,64885963.62,37808183.51,-2332512.74,64654430.21,36394465.32,-9723536.51,-19258988.25,-22844444.28,2521194.57,-11554248.37,-4148946.72,-50805404.84,8903078.27,-19369697.63,-17167660.13,108388921.88,69101692.87,50409326.87,26341000.00,-7023652.53,-6931375.03,-1842489.85,-400739.85,-43561571.39,-34817529.03,-4564704.60,-26912939.23,205836339.89,193313724.05,223638224.05,235298618.10,-19274111.77,0.0
38,四、汇率变动对现金及现金等价物的影响,513613.69,-64258.70,-148757.00,30471.23,-122232.90,-167707.20,-786183.42,-1481285.38,-1164880.47,-651051.62,-107780.17,538462.63,142484.43,91312.05,-112090.61,638376.58,679271.33,392491.42,198769.80,84513.64,188282.26,222517.81,16037.03,-502332.79,-325188.35,-215279.35,-144710.37,27832.73,126151.41,-8500.04,11433.43,-431901.70,-389887.82,-262978.84,-132704.03,-237955.58,-133455.66,-44026.09,-12278.69,109507.15,96117.91,155054.80,250295.32,-635561.74,-130091.53,-224398.00,-507800.64,-811277.76,-407688.07,314842.71,0,-255010.37,-98821.35,-98821.35,0,233321.34,-106846.68,0,0,-2852.29,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,-6365870.12,4187514.65,4669826.54,-186828960.32,-165323302.58,-174210384.58,-117330169.51,149493039.38,246067146.91,388455208.79,20136548.67,-20979704.65,-36707980.05,15590954.32,-55017727.72,2424014.61,-28997215.32,15287691.77,-45615634.90,-99203341.96,-71129819.41,-105439798.33,-92792332.86,137642213.74,143215664.03,552747.24,-42391572.45,-2475446.72,-9834932.52,-17285290.24,-19144760.53,-64401045.74,-93171704.12,-76435974.82,-51681007.40,-41235332.41,-96174207.39,-93050830.60,-62591174.61,102252014.48,29294808.98,25242785.16,18526800.80,-93270139.01,-121671299.44,-102113576.66,-92243354.14,60156055.70,-10146297.10,-12992484.84,-13372904.68,-85876182.29,-133799608.72,-61396838.96,-50571629.04,-46372388.23,-85306874.05,-40521741.70,-72115297.71,177223793.81,147538300.24,143809655.93,210719024.19,27887744.46,0.0
40,加:期初现金及现金等价物余额,72074076.48,72074076.48,72074076.48,258903036.80,258903036.80,258903036.80,258914458.17,109409997.42,109409997.42,109409997.42,109409997.42,130389702.07,130389702.07,130389702.07,130389702.07,127965687.46,127965687.46,127965687.46,127965687.46,227169029.42,227169029.42,227169029.42,227169029.42,89526815.68,89526815.68,89526815.68,114852261.09,92002262.40,92002262.40,92002262.40,92002262.40,156403308.14,156403308.14,156403308.14,156403308.14,197638640.55,197824688.55,197824688.55,197824688.55,95386626.07,95386626.07,95386626.07,95386626.07,188656765.08,188656765.08,188656765.08,188656765.08,128500709.38,128500709.38,128500709.38,128500709.38,214376891.67,214376891.67,214376891.67,214376891.67,260749279.90,260749279.90,260749279.90,260749279.90,83525486.09,83525486.09,83525486.09,83525486.09,55637741.63,0.0
