,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,2100000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502591.76,429134.34,0,0,0,0,0,0,0,0,0,0,24900.00,24900.00,0,0,0,0,0,494275.00,494275.00,494275.00,0,0,0.0
31,筹资活动现金流入小计,26505000.00,0.00,0.00,0.00,0.00,0.00,2100000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277899224.70,24298550.00,-229068.00,0.00,70688696.81,20849916.00,20849916.00,20849916.00,0.00,502591.76,429134.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,24900.00,24900.00,0,285620000.00,5000000.00,5000000.00,0,72119275.00,67119275.00,67119275.00,20000000.00,18000000.00,0.0
32,偿还债务支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,31899250.00,31899250.00,31899250.00,0,60055380.81,10000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,5000000.00,5000000.00,0,20000000.00,10000000.00,0,18000000.00,20000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,48898987.60,48898987.60,48898987.60,0,12061666.06,12061666.06,12061666.06,0,3240220.68,3260032.71,3259932.51,3260431.69,7213651.00,7226014.67,7225577.81,414578.19,22193496.70,21489184.51,20602282.50,1104844.46,31352258.43,31125480.80,31125480.80,0,30549820.80,30549820.80,30549820.80,0,30549820.80,31341312.86,31341312.86,0,20366547.20,20366547.20,20366547.20,0,8834419.58,8825503.83,8825503.83,0,6293168.92,6278993.92,6222293.92,6166943.92,55511643.72,55463043.72,40267570.73,5924005.83,6634250.00,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8915.75,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,15502620.00,15502620.00,15502620.00,264960.00,253899.68,150000.00,150000.00,0,0,0,0,0,0,502591.76,429134.34,0,0,0,0,0,0,0,0,0,0,0,0,0,8728889.00,1684264.60,0,0,860000.00,860000.00,860000.00,160380.00,402830.00,0.0
36,筹资活动现金流出小计,48898987.60,48898987.60,48898987.60,0.00,12061666.06,12061666.06,12061666.06,0.00,3240220.68,3260032.71,3259932.51,3260431.69,54615521.00,54627884.67,54627447.81,679538.19,82502777.19,31639184.51,20752282.50,1104844.46,31352258.43,31125480.80,31125480.80,0.00,30549820.80,31052412.56,30978955.14,0.00,30549820.80,31341312.86,31341312.86,0.00,20366547.20,20366547.20,20366547.20,0,8834419.58,8825503.83,8825503.83,0,25022057.92,12963258.52,11222293.92,6166943.92,76371643.72,66323043.72,41127570.73,24084385.83,27037080.00,0.0
37,筹资活动产生的现金流量净额,-22393987.60,-48898987.60,-48898987.60,0.00,-12061666.06,-12061666.06,-9961666.06,0.00,-3240220.68,-3260032.71,-3259932.51,-3260431.69,-54615521.00,-54627884.67,-54627447.81,-679538.19,195396447.51,-7340634.51,-20981350.50,-1104844.46,39336438.38,-10275564.80,-10275564.80,20849916.00,-30549820.80,-30549820.80,-30549820.80,0.00,-30549820.80,-31341312.86,-31341312.86,0.00,-20366547.20,-20366547.20,-20366547.20,0,-8834419.58,-8800603.83,-8800603.83,0,260597942.08,-7963258.52,-6222293.92,-6166943.92,-4252368.72,796231.28,25991704.27,-4084385.83,-9037080.00,0.0
38,四、汇率变动对现金及现金等价物的影响,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,五、现金及现金等价物净增加额,57360495.10,9819854.86,-20625129.44,39411732.40,-34426000.21,-68916496.52,1734746.86,21019114.21,139195341.75,-35725967.65,47411124.24,59217666.48,-182150088.99,-52452032.29,-72289892.24,20660540.13,123141696.62,9474390.55,-6273791.69,-3977173.45,-100272011.59,-104220172.05,-22542846.57,-2087275.80,-21727337.91,-39765222.80,-61408076.15,-10724576.30,-51861758.19,-80202488.02,-69527636.00,-21022619.74,7723029.13,-11630782.08,-15246591.12,-3118390.71,-22931333.38,-39217459.18,-43557139.16,-44770600.87,312967684.15,26078568.16,14629770.67,1318567.44,-9910093.49,-11786573.17,2545859.78,7664558.12,11561226.07,0.0
40,加:期初现金及现金等价物余额,191043950.67,191043950.67,191043950.67,191043950.67,225469950.88,225469950.88,225469950.88,225469950.88,86274609.13,86274609.13,86274609.13,86274609.13,268424698.12,268424698.12,268424698.12,268424698.12,145283001.50,145283001.50,145283001.50,145283001.50,245555013.09,245555013.09,245555013.09,245555013.09,267282351.00,267282351.00,267282351.00,267282351.00,319144109.19,319144109.19,319144109.19,319144109.19,311421080.06,311421080.06,311421080.06,311421080.06,334352413.44,334352413.44,334352413.44,334352413.44,21384729.29,21384729.29,21384729.29,21384729.29,31294822.78,31294822.78,31294822.78,23630264.66,12069038.59,0.0
