,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,1197757.00,0.00,0,0,5408100.00,2485181.40,2708100.00,0,490000.00,0,0.00,0,490000.00,490000.00,490000.00,490000.00,1280000.00,0,0.00,0,0,0.00,0,0,0,510.00,0,0,1010000.00,410000.00,410000.00,0,2550000.00,0,0,0,5100000.00,3400000.00,2400000.00,0,7789141.00,1000000.00,10804259.49,1000000.00,101000000.00,50000000.00,83000000.00,0.0
31,筹资活动现金流入小计,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1197757.00,0.00,0.00,0.00,5908100.00,2785181.40,3008100.00,300000.00,980000.00,490000.00,490000.00,490000.00,383734674.55,386390018.55,386390018.55,490000.00,4750000.00,1470000.00,1470000.00,0.00,12695000.00,10000000.00,10000000.00,0.00,314000000.00,314000510.00,264000000.00,154000000.00,286010000.00,139140000.00,86710000.00,51480000.00,292550000.00,245000000.00,195000000.00,135000000.00,293700000.00,259870000.00,183870000.00,121471860.00,634129141.00,201000000.00,210804259.49,151000000.00,267450000.00,118000000.00,180000000.00,0.0
32,偿还债务支付的现金,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0,0.00,0,0,0,0,0.00,0,82000000.00,82000000.00,22000000.00,22000000.00,11000000.00,11000000.00,11000000.00,11000000.00,31000000.00,21000000.00,1000000.00,1000000.00,445000000.00,365450000.00,200000000.00,50000000.00,195000000.00,158430000.00,56000000.00,58430000.00,345000000.00,250000000.00,200000000.00,140000000.00,320000000.00,290000000.00,140000000.00,120000000.00,149000000.00,90000000.00,70000000.00,1500000.00,94000000.00,49000000.00,103000000.00,0.0
33,分配股利、利润或偿付利息所支付的现金,73377648.75,73487540.75,66075981.88,9361717.57,83987693.33,84724424.57,82403920.75,0,87066116.68,74031349.20,87083841.04,0,78231011.31,78527010.86,78047542.41,0,74559019.76,74211342.23,74211342.23,0,76876235.25,77130146.64,76835479.98,48208.50,86569270.74,86192705.61,85648065.61,152000.00,97608521.11,91818858.59,91475714.87,0.00,90952475.78,80253180.02,73490326.39,2710326.39,79480291.66,77970393.52,75681411.77,1395852.15,74218351.03,65688719.28,63961911.78,0,67979028.48,64157088.48,58650890.64,7229518.64,22083181.83,16701748.80,10458374.83,4297789.83,73880472.97,14662468.77,30950748.90,0.0
34,其中：子公司支付给少数股东的股利、利润,17854136.85,17964028.85,10552469.98,9361717.57,3787065.03,4523796.27,2203292.45,0,13034767.48,13052491.84,13052491.84,0,10368941.21,10664940.76,10185472.31,0,12249300.85,11901623.32,11901623.32,0,13812137.48,13929219.49,13929219.49,48208.50,13459510.74,13621665.61,13621665.61,152000.00,8485885.90,1649027.29,1649027.29,0,7243097.24,480753.61,480753.61,0,4416870.91,4161340.27,0,0,3487761.78,2092657.07,2092657.07,0,0,0,2627756.14,2627756.14,0,0,0,0,755396.34,523217.90,0,0.0
35,支付其他与筹资活动有关的现金,1014848.67,100000.00,100000.00,0,627084.65,0.00,0,0.00,1055482.24,831788.16,431788.16,200000.00,497133.58,0.00,0,0,517440.00,0,0,0,1280000.00,0,0.00,0,0,0,0.00,0,0,0,0,0,1350000.00,0,0,0,4561503.34,0,0,0,490000.00,0,0,2170985.50,1204100.00,0,0,2411634.20,158299860.00,150000000.00,150000000.00,150000000.00,11438900.62,70000000.00,18000000.00,0.0
36,筹资活动现金流出小计,74392497.42,73587540.75,66175981.88,9361717.57,84614777.98,84724424.57,82403920.75,0.00,88121598.92,74863137.36,87515629.20,200000.00,78728144.89,78527010.86,78047542.41,0.00,75076459.76,74211342.23,74211342.23,0.00,160156235.25,159130146.64,98835479.98,22048208.50,97569270.74,97192705.61,96648065.61,11152000.00,128608521.11,112818858.59,92475714.87,1000000.00,537302475.78,445703180.02,273490326.39,52710326.39,279041795.00,236400393.52,131681411.77,59825852.15,419708351.03,315688719.28,263961911.78,142170985.50,389183128.48,354157088.48,198650890.64,129641152.84,329383041.83,256701748.80,230458374.83,155797789.83,179319373.59,133662468.77,151950748.90,0.0
37,筹资活动产生的现金流量净额,-74392497.42,-73587540.75,-66175981.88,-9361717.57,-84614777.98,-84724424.57,-82403920.75,0.00,-86923841.92,-74863137.36,-87515629.20,-200000.00,-72820044.89,-75741829.46,-75039442.41,300000.00,-74096459.76,-73721342.23,-73721342.23,490000.00,223578439.30,227259871.91,287554538.57,-21558208.50,-92819270.74,-95722705.61,-95178065.61,-11152000.00,-115913521.11,-102818858.59,-82475714.87,-1000000.00,-223302475.78,-131702670.02,-9490326.39,101289673.61,6968205.00,-97260393.52,-44971411.77,-8345852.15,-127158351.03,-70688719.28,-68961911.78,-7170985.50,-95483128.48,-94287088.48,-14780890.64,-8169292.84,304746099.17,-55701748.80,-19654115.34,-4797789.83,88130626.41,-15662468.77,28049251.10,0.0
38,四、汇率变动对现金及现金等价物的影响,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
