,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
33,分配股利、利润或偿付利息所支付的现金,823575084.40,706551529.05,486993888.97,233219519.79,809647749.88,556415195.02,244046039.30,157645615.01,505692200.49,380400189.46,301123641.81,104959584.87,323736059.39,238853492.15,205190037.31,104138924.70,338755786.09,290990156.58,153543258.46,120074868.57,339083539.52,245089338.36,184094472.02,45265570.51,249378056.93,175892957.74,121693018.21,34833310.49,114208161.97,69185613.23,48253769.63,18831261.29,62095360.25,43742918.49,29130789.36,3777871.87,9551200.72,7139704.22,4318523.04,2142522.37,8164667.57,6221763.36,4201885.36,2274050.27,2920939.62,1336183.45,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,1076858113.64,862069471.83,850048445.48,0,254848538.97,72092900.88,90276893.72,8484565.60,31833563.85,26488499.59,30239490.97,4358589.39,48396442.78,2867198.14,2614347.27,0,469616.00,0,0,38355937.18,2525810.44,0,0,68806796.67,275504798.98,486483245.83,274732939.52,218203277.40,141401723.38,94691495.13,76120078.58,0,0,1214602.71,565802.71,250000.00,12235020.20,10259633.68,2457964.68,1224356.68,2563290.56,1616138.60,1529138.60,272548.60,1512960.86,127200.00,0.0
36,筹资活动现金流出小计,21134289649.03,16767718466.28,12249854230.76,5188514625.70,22148888698.45,15311673967.96,9494248401.33,4079729389.96,10791270117.65,5453586939.94,3434407944.11,1529318174.27,3105532897.31,1954801055.43,1623515238.10,1203820690.09,8276569726.40,6030794192.82,3528574631.78,2158611174.75,11158885790.89,7227590805.88,3987559052.34,1754092746.94,5256018596.78,3306663105.80,2137842636.82,1207508441.02,2109123227.42,1271115036.00,621892027.58,192545257.25,407590763.31,195196314.26,96537592.07,6968871.87,195349817.14,188021934.12,60341862.72,14907879.05,89401111.17,45371028.50,33863177.00,25109649.15,71690729.05,11363383.45,0.0
37,筹资活动产生的现金流量净额,-824265182.83,-1152626481.37,1021491344.16,239811175.91,5741603554.96,3862918524.59,3805518518.54,1967381857.70,3917810597.18,5235069648.94,3908728360.45,2570429350.41,2268029798.76,1910340422.26,1337449044.59,-206481781.57,49107431.23,367546841.71,541539939.59,29995235.01,2631694411.96,5170399627.70,2337452072.90,1880090597.98,1731159400.22,2657831282.80,1704293712.85,1183337627.87,969420061.51,385673970.95,397111904.80,64603897.24,743096593.21,665332117.14,591900839.33,329935088.13,740530182.86,708400914.05,44309917.39,10092120.95,15766818.79,5796901.46,12304752.96,4958280.81,40463215.91,79636616.55,0.0
38,四、汇率变动对现金及现金等价物的影响,2990932.86,12441970.55,-18836.56,-4088040.42,23516898.41,22308923.83,4176539.84,-5533982.68,-20071718.03,-16558430.51,-5319399.90,3896115.52,-5808159.28,5262269.09,-31958.44,-15557097.42,15330212.20,45158361.14,1052542.81,1266709.49,-7209966.17,-4431912.47,-2862549.76,2750917.47,-8414214.87,4396945.89,3205749.13,1136160.36,-718264.97,179644.62,130120.24,67473.26,-1377912.09,-1507793.23,-548057.15,-265401.33,-176748.84,-132665.67,-101771.41,-36865.24,-234646.50,-169105.45,-100493.95,-32586.39,-421440.43,-1789577.58,0.0
39,五、现金及现金等价物净增加额,1115802019.94,398583692.78,1043494854.26,-299951448.36,-233161796.53,-982236740.42,739640415.29,-382091063.95,190992359.46,709347024.16,161549555.93,1457877311.99,-341410047.84,-545470851.66,84021579.95,-271324096.97,-622308088.36,-586338538.56,-5415853.33,-146344906.97,1007931482.31,2962768790.34,850818905.75,1311574652.65,581456823.96,1158488942.04,424505708.92,1298804197.87,286134914.11,91917901.22,53685745.68,-141147426.12,107714667.98,60740571.89,150353027.98,114906700.10,231020443.83,517400615.00,-1445864.20,-23844540.37,16952896.65,-14969131.07,-8029004.32,-897673.32,7424511.80,9324837.91,0.0
40,加:期初现金及现金等价物余额,1252670445.98,1252670445.98,1252670445.98,1252670445.98,1485832242.51,1485832242.51,1485832242.51,1485832242.51,1294839883.05,1294839883.05,1294839883.05,1294839883.05,1636249930.89,1636249930.89,1636249930.89,1636249930.89,2258558019.25,2253647118.88,2253647118.88,2253647118.88,1245715636.57,1245715636.57,1245715636.57,1245715636.57,664258812.61,664258812.61,664258812.61,664258812.61,378123898.50,378123986.88,378123898.50,378123898.50,270409230.52,270409230.52,270409230.52,270409230.52,39388786.69,39388786.69,39388786.69,39388786.69,22435890.04,22435890.04,22435890.04,22435890.04,15011378.24,5686540.33,0.0
41,六、期末现金及现金等价物余额,2368472465.92,1651254138.76,2296165300.24,952718997.62,1252670445.98,503595502.09,2225472657.80,1103741178.56,1485832242.51,2004186907.21,1456389438.98,2752717195.04,1294839883.05,1090779079.23,1720271510.84,1364925833.92,1636249930.89,1667308580.32,2248231265.55,2107302211.91,2253647118.88,4208484426.91,2096534542.32,2557290289.22,1245715636.57,1822747754.65,1088764521.53,1963063010.48,664258812.61,470041888.10,431809644.18,236976472.38,378123898.50,331149802.41,420762258.50,385315930.62,270409230.52,556789401.69,37942922.49,15544246.32,39388786.69,7466758.97,14406885.72,21538216.72,22435890.04,15011378.24,0.0
42,附注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,净利润,516009133.38,0,36508776.61,0,-530038371.39,0,742422561.96,0,820872331.12,0,620055587.02,0,716936763.96,0,367669170.90,0,478450610.42,0,266792270.22,0,681546528.80,0,315154052.46,0,571335455.78,0,220830297.81,0,321069699.65,0,85944827.61,20618543.49,20708658.77,0,-18125545.23,0,52088754.37,0,23364261.17,0,50987887.82,0,16502309.55,0,37280012.87,30558905.53,0.0
44,少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,未确认的投资损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
46,资产减值准备,337232340.00,0,266283292.18,0,1839582682.46,0,58134246.32,0,742811324.87,0,51653955.37,0,96702700.01,0,26174249.64,0,58926381.33,0,21635631.64,0,58085681.63,0,29241870.44,0,40552692.87,0,9573842.99,0,14791845.25,0,8674657.78,0,4368283.11,0,3564941.66,0,195661.15,0,26826.44,0,14271.84,0,0,0,485724.63,0,0.0
47,固定资产折旧、油气资产折耗、生产性物资折旧,1794879563.49,0,905595161.29,0,1470347157.90,0,666063236.43,0,973267906.73,0,401606602.60,0,425257314.72,0,202298172.31,0,356805917.72,0,164963003.85,0,272448747.55,0,123063095.93,0,161055025.68,0,65897895.51,0,91463051.90,0,38897439.93,16970366.02,34315345.43,0,14843286.33,0,21551493.83,0,10893786.11,0,18522718.47,0,8320753.64,0,11859347.12,8341707.61,0.0
48,无形资产摊销,361776662.37,0,162097811.99,0,309884332.41,0,144477326.37,0,227773389.67,0,101811476.77,0,144606881.73,0,67023833.22,0,81164567.36,0,22667498.78,0,31325115.40,0,13645638.63,0,18313162.02,0,7558108.32,0,4775154.94,0,1493178.01,701461.71,1265531.01,0,409131.13,0,333322.96,0,110977.48,0,119050.98,0,10530.26,0,121013.04,121751.11,0.0
49,长期待摊费用摊销,44667105.19,0,10997009.51,0,50967750.35,0,29173546.00,0,90369708.03,0,47466130.32,0,76992319.94,0,41830957.58,0,81990726.88,0,30393776.26,0,60490054.35,0,29252653.19,0,26783363.71,0,6562832.09,0,4680045.73,0,2174532.65,996014.30,6317232.49,0,1929326.85,0,1820976.26,0,390751.74,0,190475.99,0,0,0,498579.30,1825062.01,0.0
50,待摊费用的减少,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,预提费用的增加,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,处置固定资产、无形资产和其他长期资产的损失,29353096.14,0,-51885.59,0,7305536.64,0,9518786.22,0,18543395.73,0,6572275.51,0,4543494.41,0,2043890.10,0,5538698.58,0,944140.52,0,3085395.36,0,2115897.99,0,969450.84,0,26914.50,0,1366260.68,0,377403.95,111177.60,-157596.94,0,26655.61,0,27444.40,0,0,0,405485.73,0,402633.69,0,587262.35,17812.50,0.0
53,固定资产报废损失,3313335.07,0,1152590.31,0,12153367.13,0,0,0,3246455.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,公允价值变动损失,7683925.59,0,-16007953.68,0,-90916648.45,0,-77941966.85,0,81439800.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,递延收益增加（减：减少）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,预计负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,财务费用,912874518.41,0,500806142.96,0,635486140.80,0,291816948.33,0,390290993.47,0,181653588.91,0,261912168.48,0,137679517.93,0,226773677.66,0,118213089.47,0,311877319.31,0,134041610.53,0,183233202.49,0,70536392.67,0,119975102.93,0,50189827.37,20039059.83,38689171.17,0,11458672.97,0,10315493.92,0,4388622.43,0,9027168.85,0,4509987.10,0,2948814.51,1152286.20,0.0
