,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,19992001.95,13274919.54,1266481.05,60661936.22,2894306.74,1230149.51,688330.81,7254205.76,5749861.85,1200280.00,1167340.00,12242930.42,7335614.04,6274358.30,2969258.30,14254482.53,7023085.85,6273779.00,5875299.00,11953171.50,480503.53,290244.99,208847.47,155843.96,18673213.90,18780046.31,15411836.45,3093649.34,1010808.88,18830.30,18830.30,18127634.36,9941159.52,5259152.99,5259152.99,54048928.91,886569.58,132369.79,119584.71,0,4624002.19,1336969.42,973728.79,2290557.25,1318271.96,300781.03,0,27058493.01,27028308.04,25782880.91,3648562.41,6992495.28,0.0
31,筹资活动现金流入小计,153092001.95,97374919.54,28266481.05,171661936.22,93894306.74,36230149.51,20688330.81,262314199.68,210809855.77,157500273.92,120167333.92,95242930.42,80335614.04,26274358.30,12969258.30,92254482.53,65023085.85,41273779.00,20875299.00,89953171.50,48480503.53,35290244.99,15208847.47,90155843.96,108673213.90,53780046.31,30411836.45,58093649.34,56010808.88,20018830.30,18830.30,73127634.36,42941159.52,25259152.99,5259152.99,93648928.91,30486569.58,14732369.79,119584.71,85000000.00,29624002.19,11336969.42,973728.79,362530557.25,285558271.96,60300781.03,0,107058493.01,67028308.04,65782880.91,32848562.41,11992495.28,0.0
32,偿还债务支付的现金,85000000.00,45000000.00,20000000.00,85000000.00,75000000.00,25000000.00,10000000.00,167000000.00,105000000.00,65000000.00,42000000.00,63000000.00,53000000.00,20000000.00,10000000.00,93000000.00,58000000.00,35000000.00,15000000.00,88000000.00,68290500.00,35000000.00,15000000.00,97000000.00,55000000.00,20000000.00,0,55000000.00,55000000.00,20000000.00,0.00,35000000.00,25000000.00,10000000.00,0,86000000.00,26000000.00,10000000.00,0,96000000.00,36000000.00,20000000.00,10000000.00,151000000.00,58730000.00,58730000.00,0,33000000.00,31000000.00,31000000.00,10660000.00,0,0.0
33,分配股利、利润或偿付利息所支付的现金,6107529.74,3869476.97,1724591.66,6318701.43,4662042.40,3054053.49,1450125.00,9740237.88,6150620.78,4062785.90,1667493.12,3311088.69,2414142.86,1589379.18,724223.61,7184731.98,6259188.92,5147062.03,1167500.00,5136666.67,3739833.32,2697166.66,1332500.00,6963599.99,4975433.32,3267499.99,1587500.00,6174167.79,4713734.44,3164288.90,1575311.11,8126916.89,6599088.01,5334653.57,1016100.00,7283511.17,6197140.79,5060381.79,1093860.00,5059326.75,3922859.26,2655201.48,1389018.70,7117545.63,5232342.74,3598771.81,0,5251600.12,4171877.90,3478688.77,13852073.87,593330.60,0.0
34,其中：子公司支付给少数股东的股利、利润,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,支付其他与筹资活动有关的现金,226289.67,76289.67,76289.67,67693955.08,10390533.00,9680533.00,8670000.00,8309432.99,3258912.99,2877712.99,422000.00,16069778.76,17485998.76,8062681.50,3942681.50,10209974.39,5432924.39,760860.39,348229.00,3994541.28,3489189.28,3098027.28,1287335.32,14529150.16,6850521.08,814246.55,270200.00,5676929.76,5676929.76,2762941.76,2477395.00,36552106.75,13438446.75,8557946.75,6097486.75,9400190.73,568489.63,355811.88,347531.88,5031978.78,1155708.39,871770.57,209608.65,14374710.28,7488313.95,5413798.00,0,13566663.45,5271202.86,3009830.05,6683507.03,0,0.0
36,筹资活动现金流出小计,91333819.41,48945766.64,21800881.33,159012656.51,90052575.40,37734586.49,20120125.00,185049670.87,114409533.77,71940498.89,44089493.12,82380867.45,72900141.62,29652060.68,14666905.11,110394706.37,69692113.31,40907922.42,16515729.00,97131207.95,75519522.60,40795193.94,17619835.32,118492750.15,66825954.40,24081746.54,1857700.00,66851097.55,65390664.20,25927230.66,4052706.11,79679023.64,45037534.76,23892600.32,7113586.75,102683701.90,32765630.42,15416193.67,1441391.88,106091305.53,41078567.65,23526972.05,11598627.35,172492255.91,71450656.69,67742569.81,0,51818263.57,40443080.76,37488518.82,31195580.90,593330.60,0.0
37,筹资活动产生的现金流量净额,61758182.54,48429152.90,6465599.72,12649279.71,3841731.34,-1504436.98,568205.81,77264528.81,96400322.00,85559775.03,76077840.80,12862062.97,7435472.42,-3377702.38,-1697646.81,-18140223.84,-4669027.46,365856.58,4359570.00,-7178036.45,-27039019.07,-5504948.95,-2410987.85,-28336906.19,41847259.50,29698299.77,28554136.45,-8757448.21,-9379855.32,-5908400.36,-4033875.81,-6551389.28,-2096375.24,1366552.67,-1854433.76,-9034772.99,-2279060.84,-683823.88,-1321807.17,-21091305.53,-11454565.46,-12190002.63,-10624898.56,190038301.34,214107615.27,-7441788.78,0,55240229.44,26585227.28,28294362.09,1652981.51,11399164.68,0.0
38,四、汇率变动对现金及现金等价物的影响,2441.97,2441.97,-7409.09,22544.19,36427.10,2604.59,-1885.80,-5115.43,-6124.09,7173.86,7403.92,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
