,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,发行债券收到的现金,0,0,1610577783.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,收到其他与筹资活动有关的现金,323908927.46,290819964.53,70000000.00,0,35000000.00,35000000.00,31483213.88,0,96253868.93,120994241.08,63694241.08,1740000.00,413000002.41,107500002.41,107500002.41,87500002.41,20000000.00,0,0,0,107000000.00,0,0,0,0,0,0,28900418.00,0,9285868.32,7235868.32,0,0,0,0,0,0,3179742.00,4313662.00,4426080.00,0,1000000.00,1000000.00,1000000.00,0,4640000.00,5278000.00,2598000.00,0,8100000.00,4640000.00,0,1898950.00,282295.86,176387.77,73150.84,684000.00,302134.77,64337.46,0,1680000.00,91737.59,1420.53,137500.00,660000.00,0.0
31,筹资活动现金流入小计,4511705071.97,3573884467.83,3104324783.30,595000000.00,2296337073.75,2166437073.75,1491453213.88,459970000.00,2638659862.83,1622538834.98,1279586841.08,351700000.00,3786926858.77,499500002.41,270500002.41,169500002.41,969052293.12,610102293.12,530102293.12,243830231.43,1711344643.48,1431092447.49,1012321671.17,371487954.02,1326722497.52,984713554.83,606366356.17,225983487.92,1012373353.54,789510690.47,508848451.46,135112808.48,308983535.02,150000000.00,45000000.00,30000000.00,46000000.00,39179742.00,20313662.00,14426080.00,38050000.00,12000000.00,11000000.00,11000000.00,45800000.00,15440000.00,8078000.00,3398000.00,17000000.00,13100000.00,4640000.00,3040000.00,6898950.00,9282295.86,9176387.77,2073150.84,23684000.00,2302134.77,2064337.46,0,275597399.82,284209137.41,284118820.35,86537500.00,31010000.00,0.0
32,偿还债务支付的现金,3405600755.03,2573200755.03,1738461861.04,528836883.34,2390546174.56,2177300341.22,1183486666.68,361438833.34,3242834486.06,1399068937.77,880818104.43,112552833.34,3158208085.24,467536388.90,275181555.56,85000000.00,732499946.91,426811751.92,310624510.28,112211210.60,1135068721.75,832134789.33,586161867.44,231161452.52,877957906.23,612814887.56,323977483.16,88407353.99,616500651.20,432845667.56,233524975.65,86621200.06,151207705.97,26000000.00,0,0,38000000.00,28000000.00,18000000.00,10000000.00,45050000.00,21000000.00,11000000.00,10000000.00,17800000.00,12800000.00,7800000.00,0,8000000.00,2000000.00,2000000.00,1000000.00,20000000.00,25000000.00,25000000.00,20000000.00,11000000.00,8000000.00,7904218.70,8000000.00,73800000.00,91368170.30,32800000.00,63400000.00,7916950.00,0.0
33,分配股利、利润或偿付利息所支付的现金,618654214.29,491001544.95,396351020.54,184837997.71,456888159.23,393705352.78,296552131.34,49916020.85,453728995.18,389726990.18,299844224.98,64127506.20,504880687.86,94262084.76,67881074.90,22772368.48,170941253.02,146123478.73,119186607.72,24365100.84,116941880.97,80277527.94,69246909.93,36570190.55,104648402.13,79572110.55,50696026.75,42995163.08,73453617.05,60857047.55,16591106.76,12403979.80,45996110.13,40635852.56,38673634.51,29684421.53,11549422.74,10405319.09,9762573.09,9453474.00,14069552.70,8946247.75,8139519.75,7104462.50,36483238.15,35975551.43,35742857.93,9121675.00,33731736.50,32907582.00,22676178.00,5400000.00,32062542.00,30511114.76,30511114.76,4320000.00,33842391.47,32725567.54,33572543.38,-70022.63,5831282.80,5222328.98,5008421.86,7573407.36,7631667.77,0.0
34,其中：子公司支付给少数股东的股利、利润,294152763.47,210871635.79,168881950.51,122921950.51,0,180097066.14,0,0,57956662.01,50587068.34,24704029.78,0,37069670.53,13500000.00,13500000.00,0,12692229.79,16291716.88,13996716.88,0,29078741.30,25057268.10,23257268.10,0,52350325.89,0,13500000.00,0,9000000.00,0,0,0,0,8100000.00,8100000.00,0,9000000.00,9000000.00,9000000.00,9000000.00,6995000.00,6800000.00,6800000.00,0,0,9000000.00,9000000.00,9000000.00,6750000.00,6750000.00,5400000.00,0,5400000.00,16728532.76,16728532.76,0,17498832.01,4500000.00,0,0,3600000.00,3600000.00,3600000.00,0,589758.66,0.0
35,支付其他与筹资活动有关的现金,628320102.47,78930151.21,47607891.38,22609940.19,101505288.75,78760518.18,54597082.15,26188969.57,317650810.50,264020099.14,133489806.11,301100544.59,384067140.87,127639823.63,58297955.67,10501132.14,40540549.06,0,0,0,20922078.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3138680.00,1558600.00,1278000.00,0,0,0,0,0,0,0,0,0,6821.84,166513.55,2816.50,0,13530.21,20488.54,0,3842878.48,3163801.51,1786274.94,0,0,0.0
36,筹资活动现金流出小计,4652575071.79,3143132451.19,2182420772.96,736284821.24,2948939622.54,2649766212.18,1534635880.17,437543823.76,4014214291.74,2052816027.09,1314152135.52,477780884.13,4047155913.97,689438297.29,401360586.13,118273500.62,943981748.99,572935230.65,429811118.00,136576311.44,1272932681.34,912412317.27,655408777.37,267731643.07,982606308.36,692386998.11,374673509.91,131402517.07,689954268.25,493702715.11,250116082.41,99025179.86,197203816.10,66635852.56,38673634.51,29684421.53,49549422.74,38405319.09,27762573.09,19453474.00,59119552.70,33084927.75,20698119.75,18382462.50,54283238.15,48775551.43,43542857.93,9121675.00,41731736.50,34907582.00,24676178.00,6400000.00,52062542.00,55517936.60,55677628.31,24322816.50,44842391.47,40739097.75,41497250.62,7929977.37,83474161.28,99754300.79,39594696.80,70973407.36,15548617.77,0.0
37,筹资活动产生的现金流量净额,-140869999.82,430752016.64,921904010.34,-141284821.24,-652602548.79,-483329138.43,-43182666.29,22426176.24,-1375554428.91,-430277192.11,-34565294.44,-126080884.13,-260229055.20,-189938294.88,-130860583.72,51226501.79,25070544.13,37167062.47,100291175.12,107253919.99,438411962.14,518680130.22,356912893.80,103756310.95,344116189.16,292326556.72,231692846.26,94580970.85,322419085.29,295807975.36,258732369.05,36087628.62,111779718.92,83364147.44,6326365.49,315578.47,-3549422.74,774422.91,-7448911.09,-5027394.00,-21069552.70,-21084927.75,-9698119.75,-7382462.50,-8483238.15,-33335551.43,-35464857.93,-5723675.00,-24731736.50,-21807582.00,-20036178.00,-3360000.00,-45163592.00,-46235640.74,-46501240.54,-22249665.66,-21158391.47,-38436962.98,-39432913.16,-7929977.37,192123238.54,184454836.62,244524123.55,15564092.64,15461382.23,0.0
38,四、汇率变动对现金及现金等价物的影响,9681551.59,8779199.62,822735.06,-2378003.21,6948414.38,9136450.79,227527.83,-4239134.67,-3684194.12,-3021944.35,-246734.82,374460.71,2074629.26,1817720.93,1663048.30,699964.14,1471258.05,1520267.78,407250.22,-92663.24,0,445965.60,555630.05,274893.19,-1478362.66,1398211.27,884489.43,123721.82,-916892.30,-1137851.63,-609954.14,-66544.43,626094.88,219612.47,251421.82,111499.02,-103875.71,-69615.23,-55442.23,-51622.96,-10200.25,-81251.69,-29323.40,-19880.78,-2520.80,-142471.92,-105999.38,0,-81383.63,-74155.45,-408876.94,0,-113312.12,-79714.58,-60733.46,-37547.97,-257931.29,0,0,0,5084.48,0,0,0,0,0.0
