,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
963,300458,全志科技,6.11,9.2,32.6082,134.6304,0.4072,1463.3603,4.4262
964,000561,烽火电子,6.1,6.76,37.2851,90.9355,0.1503,1344.7828,2.2239
965,601996,丰林集团,6.09,8.75,23.7307,170.0397,0.1484,1942.7228,1.6956
966,300375,鹏翎股份,6.07,8.49,23.7778,136.0226,0.1816,1600.9922,2.1382
967,300363,博腾股份,6.05,11.96,37.8405,185.5504,0.3418,1551.2988,2.8582
968,603889,新澳股份,6.04,5.28,14.2938,143.2227,0.2798,2709.9096,5.2954
969,601992,金隅集团,6.04,4.02,26.6005,3693.5827,0.3459,91829.3111,8.6
970,002519,银河电子,6.03,12.72,38.5304,152.7539,0.1356,1200.3374,1.0656
971,600644,乐山电力,6.01,4.01,24.5693,89.2349,0.1657,2223.1999,4.1292
972,002166,莱茵生物,6.0,14.25,30.1718,105.6531,0.1869,741.4026,1.3117
973,000419,通程控股,5.98,5.04,21.7172,174.4258,0.3208,3455.6599,6.3571
974,601882,海天精工,5.97,6.58,22.1338,76.7184,0.1469,1164.7255,2.2312
975,603320,迪贝电气,5.95,5.93,14.5893,41.0215,0.4102,691.5881,6.9158
976,688023,安恒信息,5.94,9.76,69.4733,92.2204,1.2449,944.0329,12.7444
977,600929,湖南盐业,5.93,6.47,46.3738,147.0018,,2272.0126,
978,002825,纳尔股份,5.91,4.17,18.0026,42.4205,0.2943,1017.191,7.0575
979,002054,德美化工,5.9,7.0,37.1671,110.1321,0.2627,1571.3122,3.748
980,603501,韦尔股份,5.87,3.41,27.3918,465.6322,0.5391,13631.6706,15.7835
981,600277,亿利洁能,5.85,7.27,17.5637,899.9645,0.3285,12367.3566,4.5153
982,002441,众业达,5.85,2.26,10.446,225.1211,0.4131,9925.2605,18.2166
983,600508,上海能源,5.82,7.53,24.8181,574.5062,0.7949,7622.5522,10.547
984,603838,四通股份,5.81,10.75,30.3921,43.5732,0.1633,405.035,1.5188
985,002382,蓝帆医疗,5.81,14.1,46.6319,490.2951,,3475.6142,
986,002461,珠江啤酒,5.8,11.72,46.8365,497.4836,0.2247,4243.6072,1.9172
987,601898,中煤能源,5.79,4.35,27.9346,5626.437,,129293.73300000001,
988,002029,七匹狼,5.78,9.58,46.8942,347.30400000000003,0.4595,3623.1969,4.7946
989,600089,特变电工,5.78,5.45,20.6115,2018.4191,0.5434,36980.0486,9.956
990,002320,海峡股份,5.78,19.74,34.4707,219.1744,0.2212,1110.1756,1.1206
991,300065,海兰信,5.77,12.69,36.1969,103.1043,,812.1569999999999,
992,000880,潍柴重机,5.73,3.14,15.9552,83.6755,0.303,2658.7636,9.6296
993,000565,渝三峡A,5.72,13.72,30.663,64.9068,0.1496,473.0301,1.0909
994,002165,红宝丽,5.7,3.74,20.8062,89.277,0.1482,2382.8001,3.9577
995,002797,第一创业,5.67,19.86,26.6106,513.0581,0.1464,2583.2715,0.7375
996,002066,瑞泰科技,5.67,0.65,18.8405,25.6384,0.1109,3900.3412,16.8845
997,300414,中光防雷,5.66,12.46,33.9752,49.9436,0.1537,400.5292,1.2334
998,300707,威唐工业,5.65,9.1,41.3148,36.7159,0.2335,403.1906,2.5648
999,002245,澳洋顺昌,5.62,3.37,12.6599,117.6116,0.0948,3480.635,3.5469
1000,000912,泸天化,5.61,5.14,12.6044,283.268,0.1806,5507.2038,3.5122
1001,002546,新联电子,5.6,23.16,33.2235,166.7722,0.1999,719.8871,0.8631
1002,300120,经纬辉开,5.6,5.89,20.611,137.4622,0.2957,2332.3078,5.0183
1003,002678,珠江钢琴,5.58,9.24,30.351,189.7643,0.1397,2053.456,1.5117
1004,000666,经纬纺机,5.57,10.46,25.6109,490.335,0.6963,4686.6861,6.6559
1005,600547,山东黄金,5.57,2.05,9.6519,1289.4675,0.41600000000000004,62630.6993,20.2059
1006,002858,力盛赛车,5.57,5.57,28.8017,24.5258,0.1941,440.1354,3.4842
1007,000600,建投能源,5.57,4.58,18.0411,639.5563,0.3569,13963.7228,7.7938
1008,600739,辽宁成大,5.56,6.77,14.8761,1201.862,0.7856,17745.5555,11.6006
1009,300485,赛升药业,5.55,12.48,85.1546,148.639,0.307,1190.9025,2.4596
1010,000505,京粮控股,5.54,1.79,8.4166,133.3419,0.1944,7440.2865,10.8492
1011,600027,华电国际,5.53,3.63,14.0644,3406.92,0.3454,93654.431,9.4955
1012,000733,振华科技,5.53,8.11,44.3761,297.6131,,3668.2818,
1013,300655,晶瑞股份,5.53,4.14,27.2621,31.3159,0.2068,755.7239999999999,4.9907
1014,601727,上海电气,5.52,2.76,18.4566,3501.0370000000003,0.231,126647.71800000001,8.3582
1015,002876,三利谱,5.51,3.53,16.6681,51.2525,0.4928,1450.6687,13.9487
1016,002011,盾安环境,5.51,1.44,17.9496,131.3173,0.1431,9104.3421,9.9261
1017,000407,胜利股份,5.5,2.49,15.065999999999999,133.4273,0.1516,5348.2834,6.077000000000001
1018,300680,隆盛科技,5.48,7.38,28.5499,30.0391,0.4042,406.5522,5.4708
1019,000838,财信发展,5.48,3.19,17.0813,108.5403,0.0986,3394.1432,3.0842
1020,002863,今飞凯达,5.47,1.94,15.3461,57.1636,0.1518,2945.8589,7.8231
1021,603005,晶方科技,5.45,19.32,39.0332,108.305,0.4715,560.3674,2.4397
1022,600695,绿庭投资,5.44,92.67,72.5699,38.3984,,41.4327,
1023,600975,新五丰,5.43,2.97,9.0097,63.2973,0.0969,2130.4253,3.2641
1024,002465,海格通信,5.41,11.27,37.6625,519.4712,0.2253,4607.1078,1.9984
1025,600685,中船防务,5.4,2.51,3.9842,548.3203,0.3879,21829.002999999997,15.4431
1026,002905,金逸影视,5.4,5.15,22.5529,106.6054,0.3965,2068.937,7.6969
1027,002456,欧菲光,5.39,0.98,9.8737,509.8519,0.1879,51974.1295,19.1583
1028,600067,冠城大通,5.39,5.37,34.0262,418.8435,0.2807,7787.326999999999,5.218999999999999
1029,601801,皖新传媒,5.38,6.3,20.6373,557.0274,0.28,8832.6837,4.4403
1030,600017,日照港,5.34,12.03,24.9948,631.3409,0.2052,5245.5813,1.7055
1031,600523,贵航股份,5.31,6.11,23.1595,135.1038,0.3341,2207.9988,5.4611
1032,600658,电子城,5.3,19.23,49.225,350.9729,0.3137,1824.8737,1.6314
1033,002375,亚厦股份,5.3,3.94,14.3556,425.6669,0.3176,10785.6298,8.0489
1034,000993,闽东电力,5.29,17.67,49.3911,105.4802,0.2303,596.8511,1.3033
1035,601579,会稽山,5.28,14.21,44.6032,166.4507,0.3346,1171.0372,2.3545
1036,300275,梅安森,5.26,9.81,45.5434,26.59,0.1581,270.8144,1.6108
1037,000400,许继电气,5.24,4.19,18.0408,426.3161,0.4227,10156.0829,10.0722
1038,600497,驰宏锌锗,5.21,4.73,17.9254,777.1384,0.1526,16403.3408,3.2218
1039,600780,通宝能源,5.2,4.23,13.7539,279.995,0.2442,6614.8146,5.7695
1040,002738,中矿资源,5.18,12.02,35.5802,140.0402,0.5038,1164.9335,4.1915
1041,601518,吉林高速,5.17,24.25,53.8626,189.418,0.1402,780.8669,0.5782
1042,300235,方直科技,5.13,29.52,66.4402,32.1875,0.1917,109.0144,0.6495
1043,000859,国风塑业,5.11,6.16,12.7184,83.9269,0.1134,1360.5697,1.8399
1044,000899,赣能股份,5.08,9.1,17.6678,243.2344,0.2492,2670.3279,2.7368
1045,688003,天准科技,5.08,15.37,45.7489,83.1786,,541.0693,
1046,000088,盐田港,5.06,60.57,42.6919,359.4309,0.185,593.3585,0.3055
1047,601116,三江购物,5.06,4.03,24.4737,160.4976,0.293,3978.691,7.2646
1048,600021,上海电力,5.04,4.06,24.6473,962.3766,0.3677,23690.0346,9.0517
1049,000919,金陵药业,5.04,5.73,23.598000000000003,145.3194,0.2883,2534.9205,5.0296
1050,002771,真视通,5.02,4.6,23.9015,34.3341,0.1636,745.1796,3.5507
1051,688012,中微公司,5.02,9.68,34.9292,188.5642,0.3525,1946.9493,3.64
