,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
1606,600968,海油发展,1.4057,1.324,18.7248,863.8325,63.3905,36.6095
1607,300582,英飞特,1.2009,0.9382,39.5741,3034.2741,63.3891,36.6109
1608,603711,香飘飘,1.4944,1.3697,91.6943,-126203.3546,63.3681,36.6319
1609,002929,润建股份,2.5162,2.1143,43.2082,-8812.1362,63.3283,36.6717
1610,002256,兆新股份,1.3571,1.291,13.9023,80.866,63.3116,36.6884
1611,603819,神力股份,1.9844,1.4639,40.9255,1197.8722,63.2767,36.7233
1612,002151,北斗星通,1.8774,1.4729,64.5268,148.8544,63.2697,36.7303
1613,603979,金诚信,2.4372,1.9843,44.4061,611.8933,63.2622,36.7378
1614,300520,科大国创,1.4651,1.2905,29.1156,1346.6431,63.2614,36.7386
1615,603259,药明康德,2.1965,1.971,82.8767,-2035.5388,63.2515,36.7485
1616,600330,天通股份,1.5286,1.0894,29.1262,685.0195,63.2251,36.7749
1617,300398,飞凯材料,1.467,1.0649,41.6207,992.4503,63.2037,36.7963
1618,688086,紫晶存储,--,--,--,--,63.1657,36.8343
1619,601118,海南橡胶,1.2624,0.9039,54.2,226.3635,63.1221,36.8779
1620,600435,北方导航,1.8935,1.2747,32.5234,-2209.6012,63.1193,36.8807
1621,600575,淮河能源,1.3419,1.2111,26.4258,468.1102,63.1193,36.8807
1622,300047,天源迪科,1.8082,1.1459,14.4234,363.6438,63.1009,36.8991
1623,600490,鹏欣资源,1.6324,1.3616,62.0714,763.6961,63.0912,36.9088
1624,000715,中兴商业,1.7918,1.7039,139.7181,-2113.2988,63.0872,36.9128
1625,002324,普利特,1.7636,1.3219,13.1126,382.4584,63.0737,36.9263
1626,300797,钢研纳克,2.8486,2.011,68.0998,-35018.126000000004,63.0609,36.9391
1627,603998,方盛制药,1.1765,0.8449,21.5502,12649.5395,63.0545,36.9455
1628,300449,汉邦高科,1.7209,1.3475,7.2262,282.8099,63.051,36.949
1629,002787,华源控股,2.8671,2.3585,40.7345,300.0895,63.0376,36.9624
1630,002755,奥赛康,2.1031,1.945,103.311,-5602.0999,63.0371,36.9629
1631,603987,康德莱,1.6793,1.3316,45.2125,-9513.7281,63.0008,36.9992
1632,600156,华升股份,1.7929,1.2987,60.4741,7662.7401,62.9934,37.0066
1633,002740,爱迪尔,2.1231,0.8949,5.1333,392.3616,62.9731,37.0269
1634,300459,金科文化,1.7702,1.7638,81.47,506.1909,62.9711,37.0289
1635,600242,中昌数据,1.6727,1.6402,5.0639,188.7736,62.9703,37.0297
1636,002810,山东赫达,1.5596,1.181,30.7401,2206.6639,62.958999999999996,37.041
1637,600007,中国国贸,0.9639,0.9465,60.738,1144.0056,62.9354,37.0646
1638,002239,奥特佳,1.4569,1.0445,22.4068,149.9448,62.9339,37.0661
1639,002836,新宏泽,1.2957,1.0253,66.443,901.0191,62.925,37.075
1640,603650,彤程新材,2.041,1.8984,98.9773,-3792.5042,62.9133,37.0867
