,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2529,600258,首旅酒店,0.43,-10.99,,8.44,,10013.03,-10.97,10派1.5,03-31
2530,002777,久远银海,0.95,2.15,,25.74,,5722.27,2.61,,03-31
2531,300133,华策影视,0.48,-22.58,,11.92,,47548.14,21.9,,03-31
2532,002497,雅化集团,0.12,-73.94,,5.42,,11853.18,-47.89,,03-31
2533,300214,日科化学,0.26,100.0,,8.42,,10721.84,101.35,,03-31
2534,000090,天健集团,0.71,-6.82,,9.92,,39273.27,-6.82,10派2转4,03-31
2535,000400,许继电气,0.71,-32.4,,11.95,,72063.67,-32.16,10派1,03-31
2536,600058,五矿发展,-3.69,-1981.53,,-59.36,,-395300.4,-1981.97,,03-31
2537,600468,百利电气,0.04,-65.54,,2.64,,1674.02,-65.54,10派0.11,03-31
2538,002642,*ST荣联,0.53,17.78,,7.95,,20898.58,26.14,,03-31
2539,300057,万顺新材,0.15,-64.77,,3.22,,6459.59,-64.02,,03-31
2540,002389,航天彩虹,0.16,77.78,,4.09,,10007.79,105.72,,03-31
2541,601005,重庆钢铁,-1.35,-11350.0,,-85.76,,-598724.8,-11741.32,,03-31
2542,002083,孚日股份,0.34,325.0,,10.77,,31079.64,325.04,,03-31
2543,601058,赛轮轮胎,0.19,-74.32,,4.49,,19319.82,-42.04,,03-31
2544,300090,盛运环保,0.7,28.87,,28.93,,73965.77,216.28,,03-31
2545,002115,三维通信,0.05,36.28,,2.05,,1898.57,36.25,,03-31
2546,600283,钱江水利,0.12,100.0,,2.56,,4124.73,132.98,10派1,03-31
2547,000756,新华制药,0.18,63.64,,4.44,,8306.23,63.75,10派0.2,03-31
2548,600019,宝钢股份,0.06,-82.86,,0.9,,101287.17,-82.51,10派0.6,03-31
2549,600396,金山股份,0.22,-33.69,,8.98,,25862.27,-6.62,10派0.55,03-31
2550,600801,华新水泥,0.07,-91.46,,1.06,,10275.6,-91.59,10派0.5,03-31
2551,601968,宝钢包装,0.12,-42.86,,5.12,,8734.81,-32.09,,03-31
2552,600819,耀皮玻璃,-0.39,-750.0,,-12.19,,-36426.72,-782.74,,03-31
2553,600115,东方航空,0.36,31.68,,14.73,,454100.0,32.89,,03-31
2554,300299,富春股份,0.21,162.5,,7.52,,6995.09,376.31,,03-31
2555,002701,奥瑞金,1.04,-21.21,,25.51,,101697.68,25.71,,03-31
2556,002719,麦趣尔,0.66,42.46,,7.38,,7124.98,71.96,,03-31
2557,600231,凌钢股份,0.06,-106.77,4.05,1.53,0.92,4762.23,-106.68,10派0.2送1转9,03-31
2558,002410,广联达,0.22,-72.85,,8.83,,24197.06,-59.41,,03-31
2559,603279,景津环保,0.47,-12.96,4.56,12.05,,14261.17,-12.16,,03-31
2560,002426,胜利精密,0.25,58.93,,7.17,,26516.46,89.4,,03-31
2561,000715,中兴商业,0.25,-16.67,,6.14,,6986.9,-16.52,10派0.7,03-31
2562,600665,天地源,0.24,-29.77,,7.88,,20691.82,-29.78,10派0.8,03-31
2563,002153,石基信息,1.17,-5.65,,17.47,,36099.57,-5.51,10派1.2,03-31
2564,002474,榕基软件,0.03,-29.05,,1.16,,1583.06,-28.85,,03-31
2565,002507,涪陵榨菜,0.49,-25.76,,12.85,,15736.96,19.23,,03-31
2566,600366,宁波韵升,0.66,71.99,,10.65,,34062.06,72.0,10派2,03-31
2567,600236,桂冠电力,0.54,108.5,,29.99,,256918.65,333.39,10派3,03-31
2568,002431,棕榈股份,-0.4,-143.01,,-5.27,,-21146.1,-149.39,,03-31
