,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4707.70,4707.70,4707.70,4707.70,4707.70,4707.70,35978.00,3750.00,5366.18,5366.18,7083.98,7083.98,9473.98,9473.98,1092088.39,737037.91,727638.00,727638.00,0,0,0,0,0,0,0,0,0,0,0,0,2099040.00,0,0.0
32,固定资产及清理(合计),27671467.31,27467263.89,27754779.39,28145474.26,28632091.51,29131361.06,29570170.75,29418908.69,29931254.93,0,30539118.63,0,31252136.99,0,32184518.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,27671467.31,0,27754779.39,0,28632091.51,29131361.06,29570170.75,29418908.69,29931254.93,30123683.10,30539118.63,30718658.41,31252136.99,31796661.23,32184518.47,32731742.48,33425687.03,47276079.27,48004218.45,48889267.80,49807053.72,51300770.05,52200868.87,52323094.46,53250768.69,54178848.08,54984132.31,55894805.69,58753119.09,59697350.17,60179463.34,62634581.93,63717625.17,64833470.80,65965063.57,67082587.63,68220039.36,69371234.26,70475642.51,71891702.41,73104823.52,74066408.89,75115675.49,76291463.78,77318468.73,82220958.81,77144394.57,101683635.28,106140835.03,110697504.97,111877131.38,110808416.76,276078130.33,276309332.35,279378355.48,282585160.36,285315500.38,298834284.01,291850701.51,294184517.96,296315421.81,189190026.93,190283773.20,193051037.29,198701470.68,196826433.32,199124982.37,202329679.83,204732215.89,146466765.10,148637137.18,150998074.85,152418587.32,117190233.04,118806483.76,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,52891110.02,53232228.23,54108617.80,54817065.83,55699067.93,56046978.38,56920170.88,57785821.68,58667823.78,59066336.63,59944748.21,60766479.49,61556466.59,61953822.49,62826510.52,63697780.17,64579782.27,65528744.82,66391102.37,67266095.72,68153588.33,74485290.88,75349966.66,76213450.90,77076807.77,76734576.32,77427143.22,78152413.69,78914326.45,78551677.12,79269762.11,79978838.99,80740841.39,80652742.98,81358472.52,82079481.38,82682655.14,82481869.73,83112712.81,83822780.48,84584369.24,84618642.03,85325564.31,85917773.27,86677623.27,89100579.40,96300191.54,97127286.30,138149536.96,74836851.54,75641464.97,76443996.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,30886259.32,31143644.83,31401030.34,31658415.85,31915801.36,60363357.90,60765060.87,61166765.46,61568469.24,61970173.02,37297383.16,37641954.31,37986525.19,38331786.01,38677392.40,39022998.79,39368605.18,89576545.15,90005778.19,90435011.23,90864244.27,91268034.18,47922554.76,48356400.75,48790246.74,49224092.73,49657938.72,50091784.71,50525630.70,50964149.35,51230409.86,51398334.91,51811537.88,52224900.71,52638263.54,53051626.37,53464989.20,53878352.03,54291714.86,54705077.69,55118440.52,69919282.35,70370621.70,70750261.17,71273300.40,99176630.35,99582808.19,100247702.78,100744850.39,66160920.81,66556099.05,57118779.32,57513957.56,57863831.14,58257990.91,58652150.68,59046310.45,60015781.53,60436974.81,62976044.45,63388213.79,63551500.69,63930252.64,64281956.08,64633659.52,64985362.96,65337066.40,107676629.84,108019423.28,71421126.72,71772830.05,66982122.45,67426236.89,50470933.03,51477100.00,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
