,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20061231,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44689.00,53689.00,62689.00,71689.00,80689.00,89689.00,116689.00,152689.00,188689.00,0.0
43,递延所得税资产,17838680.27,16594570.10,16186923.97,15474892.15,16608157.17,15580796.51,14290751.44,14298686.28,14548360.14,13314770.14,12426715.52,12126203.48,10557061.17,11316222.66,10189618.03,10620700.23,9432676.87,9176732.23,8602101.06,8783353.34,8037560.74,7203406.18,6395917.97,6916279.61,6543122.68,6393845.83,5924474.68,6409330.61,4827428.70,4575294.98,4572772.48,4695026.15,3933233.99,3603525.28,3442280.55,3739398.39,2729492.62,2607379.36,2349325.37,2493553.74,2354710.16,2166474.35,1968072.39,2106118.14,2624092.02,0,0,0,0,0,0,0,0.0
44,其他非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,364342273.42,350556597.97,338664438.12,337810956.62,320720418.63,322289683.93,313659692.73,317257873.45,311553840.49,275447898.01,269687832.28,265666280.37,247040499.02,226873390.96,216407869.31,204942531.45,176640623.14,161791856.73,163733000.34,141750335.92,142545899.95,141842296.76,140095183.43,143777746.39,147150527.52,146676129.07,148499344.06,152272388.59,145262070.39,146045417.66,145066932.37,146438754.00,139760378.57,137582390.06,134642136.88,126881586.71,123221832.90,119333478.06,118178831.70,119127222.30,96745529.09,94377227.43,85004054.53,83532077.62,83941697.70,79838400.22,78636417.04,77297633.32,77064772.64,77169591.15,72650383.88,65909101.04,0.0
46,资产总计,1547900597.19,1501364336.70,1410043769.45,1453611412.95,1440201105.28,1428041739.52,1355974995.43,1427459553.76,1415036862.61,1330836986.32,1264933931.89,1249674560.38,1281924056.45,1397084673.39,1371449981.99,1418705548.95,1312254702.78,1289011897.38,1259073165.67,1273230860.50,1211550077.66,1142808428.88,1156029515.55,782225422.55,765182079.99,728511261.64,687886323.78,702822283.87,671579066.46,645074558.98,667547514.42,672229572.99,642372513.49,632076872.81,640299240.61,597797831.47,607184894.39,590612702.41,552451675.19,557927507.33,544049138.53,514819432.10,484512772.92,513761024.54,496094344.10,444867714.47,429622838.73,286893447.25,256438448.71,245230634.05,230813778.53,178316016.25,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,286287784.00,291583560.00,245384076.00,226725364.00,247491948.00,245809009.20,210000000.00,250000000.00,235000000.00,210000000.00,150000000.00,150000000.00,190000000.00,310000000.00,140000000.00,140000000.00,100000000.00,80000000.00,80000000.00,80000000.00,40000000.00,5000000.00,12000000.00,55091420.08,58447779.10,26500000.00,180246941.00,176888504.00,142257900.00,140186627.10,176565229.88,162727026.25,157121428.00,142000000.00,142000000.00,142000000.00,142000000.00,135000000.00,125000000.00,135000000.00,134000000.00,133500000.00,117500000.00,138524574.50,118500000.00,93124620.00,91464940.00,96067390.00,77883680.00,75593275.00,83000000.00,53000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,91639656.34,78711548.55,83367573.09,106713023.35,96400536.23,62979737.89,42444185.75,67107075.51,0,90772530.11,0,77624745.48,0,60232245.20,0,0,0,0,0,0,0,0,0,0,26827820.08,0,0,23228804.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,0,0,0,79109.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73000.00,73000.00,98000.00,98000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,91639656.34,78711548.55,0,106633914.35,0,62979737.89,42444185.75,67107075.51,80758294.93,90772530.11,83425618.33,77624745.48,53350847.09,60232245.20,52692458.16,52585171.61,50888432.40,45259819.47,28679292.08,42043245.60,36373668.05,28692132.39,25595096.69,26997798.00,26827820.08,31965062.19,16765619.95,23155804.35,29547249.48,27128139.46,26757740.45,30022089.50,18520830.62,44821293.83,61991879.09,14827113.60,38823493.66,55396589.58,33664904.70,28328279.04,28977761.28,23890607.83,16876068.40,26728104.23,28728962.39,23066365.41,18195834.12,21304425.58,18138514.48,23498271.66,17643789.73,14224797.71,0.0
53,预收款项,4255586.93,9106387.62,5300586.71,3178755.20,6093401.51,12959707.83,4241370.94,2958953.69,4231998.21,3011677.82,5044154.02,2582452.96,4661418.32,4377722.41,4285204.48,8642094.81,4927037.97,3642932.63,6929129.39,2995739.86,4677362.89,4019247.90,5627010.88,9105933.01,8206809.09,3557131.00,3184740.74,1190775.06,3747228.16,2789023.23,5313752.18,3305737.35,4480301.85,4231470.23,5512261.75,4545189.20,5674537.65,5731377.08,3179779.95,3128930.56,10627414.99,4366640.00,2332735.00,1445770.00,3091605.35,2679898.11,1438693.58,861977.67,994977.00,269962.00,2202980.34,258090.00,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,987535.36,792880.62,603916.35,14788669.45,829416.11,688492.40,524412.83,10348468.73,5077403.61,4950601.07,3764226.66,10972554.86,1038710.61,842350.71,722429.35,7294907.65,893746.67,723319.30,651371.54,6163832.03,834563.55,618076.62,618560.07,3356020.45,951798.10,891800.63,712692.46,5693310.48,961118.97,573432.51,875947.23,3462744.46,1120642.88,969361.73,870059.60,2617090.99,1138459.46,1309185.13,1314787.34,2869729.81,1470602.87,1470102.00,1222031.81,3209012.58,1823263.62,1726679.19,1875431.31,6225292.21,3276497.30,4625879.05,4594811.87,4724314.19,0.0
56,应交税费,18861552.82,15731261.99,1233287.08,5258667.68,13841493.23,11702347.43,5224815.38,3504493.19,6266433.03,9762154.60,5788907.91,3801870.68,8223564.80,10518504.82,2059844.51,4039869.45,4303164.57,15333293.62,7340416.30,13972749.84,17180717.65,11324278.59,2423826.40,5353354.56,4490254.51,11486650.07,4484434.77,10052184.09,6031429.84,-1703836.67,-1023077.20,8694033.74,4505178.68,-2698007.81,-10807788.74,2271683.26,3057065.43,-3508674.43,-3566173.92,3944563.10,2559366.09,3153054.39,-2708293.99,-1858811.76,2289752.16,1262704.99,-3439922.10,-972824.27,-471211.64,4319363.08,819618.01,3840629.92,0.0
57,其他应付款(合计),3788580.85,1793860.72,1675321.04,3312445.92,2767084.42,2032131.09,2677103.40,3380184.25,0,1946662.67,0,2195753.33,0,3412871.19,0,0,0,0,0,0,0,0,0,0,5876649.08,0,0,2576824.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
58,应付利息,404063.73,412135.97,338517.74,363018.09,0,425552.60,407493.63,421208.75,406726.67,258590.00,184023.33,184023.33,446786.66,405840.00,9424993.35,6801450.88,4138638.91,1482774.30,9368222.62,6762876.18,3949728.77,1297356.16,9256277.91,6731982.24,4097805.71,1396766.44,466095.08,459041.27,255866.67,257690.00,353354.37,758877.88,286991.70,272050.48,268038.14,217199.47,247177.88,207237.50,191012.50,207237.50,205615.00,197412.10,173716.94,186598.25,244349.94,191517.88,182660.55,201033.14,143398.48,131530.43,153128.50,88705.00,0.0
59,应付股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000000.00,0,0,0,0,0,0,0,0,2770248.96,0,0,0,0,0,0,0,0,0,0,0,0,3651009.72,2058240.00,0.0
60,其他应付款,0,1381724.75,0,2949427.83,2767084.42,1606578.49,2269609.77,2958975.50,1757415.86,1688072.67,1404557.77,2011730.00,2885047.34,3007031.19,1654838.08,38628782.34,1330076.60,1859862.35,3553146.05,2278494.98,2064709.79,1944920.23,4078895.24,2110446.24,1778843.37,2824369.21,2511236.46,2117782.84,6634926.28,6394111.01,2083314.52,2632885.36,4477061.79,1707959.03,1697910.75,1220303.89,2101101.32,858202.24,239482.04,1825547.59,1724617.76,1610767.64,1709962.12,1696618.15,2818871.85,2852349.85,3442190.26,4615013.46,4242231.00,3643328.14,18178866.25,18652656.26,0.0
