,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),99646827.34,94245913.67,94842899.66,163653236.19,177079006.38,181958318.40,186098269.91,200389851.52,199961182.46,113359595.21,104499860.09,100647025.43,83456200.28,98758713.90,90234455.19,87893975.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,99646827.34,0,93449061.92,0,175708661.17,181958318.40,186098269.91,200389851.52,199961182.46,113359595.21,104499860.09,100647025.43,83456200.28,98758713.90,90234455.19,87893975.09,11426662.41,16566925.57,11371760.59,7612600.67,1601907.83,24437695.13,21720601.46,18724365.43,17776093.94,8769404.69,8362102.59,271846111.04,238048756.14,244856947.83,214511228.40,106127397.18,93096568.49,149333002.43,124395435.90,82523827.15,68805522.90,135484369.09,333975717.79,327867196.87,320469174.26,356377417.85,349948669.40,273646644.53,228485554.92,377206590.91,218363909.98,322882555.51,44451988.07,86932783.67,75414879.30,105109266.05,88871327.94,70920775.72,56040347.62,63557670.46,58390411.76,61626980.54,52688109.61,51632422.05,47737339.69,23667999.64,11755448.97,10808212.18,7539346.02,69115916.80,67851211.16,70471557.87,74069626.18,44052192.50,25710685.96,28783387.94,22017957.10,7862010.56,2093948.84,6812135.25,6237399.86,11528428.41,12108086.08,17660125.87,15906201.28,87128086.77,63965363.61,19307587.14,0,0,0.0
31,工程物资,0,0,1393837.74,0,1370345.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1358252.90,1386522.83,0,0,0,0,0,14387882.88,2612570.61,1387567.03,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17623.00,17623.00,17623.00,17623.00,10633.00,10633.00,3643.00,3643.00,39563.00,105187.68,66227.68,61227.68,5447.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),467519817.01,327188680.31,585808468.41,595637010.27,593793447.62,578679114.83,566123482.02,532731285.63,498979495.86,504156991.38,499659228.94,509987740.74,503950331.28,506605075.40,513708700.41,519920010.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,467519817.01,0,585808468.41,0,800522701.98,578679114.83,566123482.02,532731285.63,498979495.86,504156991.38,499659228.94,509987740.74,503950331.28,506605075.40,513708700.41,519920010.56,323261830.54,427612024.75,436333580.52,438922345.64,452575331.81,484719914.64,574105597.64,589188909.01,601449226.67,607072187.70,620988228.20,356607398.99,363644138.65,332386297.74,338475255.07,348354363.42,355789379.44,365793368.43,380049864.79,443661009.05,458159556.75,483847329.70,414881082.79,468357647.05,478034055.81,444117290.67,443939454.70,415530232.69,383877513.67,312869345.97,312615960.71,325144709.48,329837365.18,292013525.27,307223899.25,259252859.56,265861349.81,270129006.23,276860401.33,271292766.50,278210086.26,276656474.73,283749478.00,287034396.16,295527566.17,314272068.94,327722061.36,324885178.98,330841981.85,239758681.51,245294337.28,243647808.32,248136803.88,237221167.90,240763820.93,257478297.24,240859896.74,334482171.48,342714394.60,357276688.27,370002471.34,254984308.76,262841766.03,157853990.43,143826816.51,52877471.12,47582216.19,43698064.90,0,0,0.0
34,固定资产清理,0,0,0,0,-206729254.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38926.76,38926.76,0,0,242433.09,240633.09,0,0,-240.00,0,-240.00,0,41181.61,0,0,0,0,0,0,0,0,0,29511.65,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
