,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),641757898.91,303921034.62,908775518.37,683464933.50,540456230.24,561041073.16,481042503.90,240861397.43,202625985.04,0,256535549.27,0,306965081.74,0,206705198.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,641757898.91,0,908775518.37,0,540456230.24,561041073.16,481042503.90,240861397.43,202625985.04,326898698.00,255900784.27,343714147.92,306330316.74,257319977.28,206217433.55,170147372.58,150983259.38,172359577.11,134268749.57,109927382.96,101082695.64,130796374.96,87535410.17,452988194.97,400526487.86,241306882.12,244404467.12,1102112530.51,1183010817.94,696878616.37,520514215.52,322879593.50,645682020.61,560385134.31,459895845.44,1072430652.17,1180795323.02,931260137.00,625743239.40,903680228.01,625710988.68,384707181.81,291416158.05,231618416.83,217338266.41,186768321.33,161963147.43,156815260.12,161355329.01,172048044.78,173018726.95,182313854.50,189941762.85,190243457.12,182889391.93,172577248.87,153050505.76,94883959.69,91139379.91,87836612.08,89121580.53,50923033.42,49324566.44,44608455.70,59857340.79,132004745.00,27483456.68,207151504.43,145674922.56,216114648.92,203141725.63,382464667.40,328397059.18,277175327.95,20667969.49,3811556.90,60859294.33,65406534.59,60167241.23,48804549.01,41457275.18,32995230.07,13541707.10,601533.52,2559445.09,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,634765.00,634765.00,634765.00,634765.00,487765.00,487765.00,453013.00,383000.00,0,0,0,0,98290.60,98290.60,98290.60,98290.60,208495.48,98290.60,530886.04,159369.10,1682364.83,686455.69,686455.69,686455.69,3478529.17,14220396.83,11123172.41,12002121.87,22872535.54,17564574.64,36607274.88,32051250.95,27218123.93,31860150.12,30994042.34,27553851.61,7459589.97,8892432.43,164509.77,149453.07,0,0,0,0,0,0,0,0,93950.17,1116642.62,135314.16,0,0,0,0,59857340.79,1562881.91,6192586.15,0,35594519.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),6437973661.42,6158321317.93,5623836834.05,5719775002.05,5840445949.15,5820739001.27,5875835842.90,6192339364.54,6306539570.56,0,6365594052.15,0,6544686018.93,0,6868744305.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,6437973661.42,0,5623836834.05,0,5840445949.15,5820739001.27,5875835842.90,6192339364.54,6306539570.56,6269480477.58,6365594052.15,6401973050.54,6544686018.93,6742856581.28,6868744305.10,6903626916.88,7045293755.88,7098432812.48,6480729891.89,6526787758.23,6656827827.60,6858684599.01,6904518530.74,6404069994.15,6469508946.84,6259131900.71,6339035650.80,4968451494.13,4893068690.54,4885735746.04,4914204153.18,4844726255.94,4046884437.74,3986983123.44,3974193192.70,2815689021.39,2551607727.02,2493186058.69,2463173378.00,1886725356.59,1907558089.86,1889934345.12,1532786594.02,1556382334.60,1574736228.59,1564638853.41,1537754961.09,1562518269.32,1594660087.51,1177568043.46,1199890579.75,1226762590.72,1251611040.67,1209590203.90,1221924120.48,1240449212.78,1267166623.08,1228916401.25,1248328851.94,966421997.51,983599090.18,990195245.05,983972951.13,994835617.73,921183777.43,832198073.15,728095972.37,523846213.18,535004562.20,467298795.02,478481964.29,225454643.59,230846307.03,224975625.41,227944696.12,209975527.75,158033765.88,150779631.11,157936048.84,160961551.52,166094452.62,64880682.07,71412706.77,71476974.30,75141560.00,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203451.67,203451.67,203451.67,0,7958.34,0,0,0,-12071.90,0,0,0,0,3500.00,3500.00,0,0,0,0,0,0,0,96106.82,0,1357184.43,445580.21,445580.21,0,0,0,1260922.53,0,-38442.30,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,8145551.27,8406014.87,8461433.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
