,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),1619173520.11,1512504614.86,1505971421.70,1439634561.52,1567358319.97,1216263124.83,1121890183.12,1021960409.37,0,1139185944.93,744143480.39,789387251.35,0,963487524.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,1512504614.86,0,1439634561.52,1567358319.97,1053833124.83,959460183.12,856330849.37,1200490173.34,1139185944.93,744077972.58,789387251.35,829645002.01,963487524.96,743229157.01,720430723.84,701774709.36,475628300.92,431009506.04,411046291.85,383904862.61,440841217.31,455737522.38,436575606.97,322565406.48,569019097.13,477256644.33,371498349.92,270052420.25,211492688.99,208295561.00,186720115.02,118830197.90,142888228.91,81122219.73,44449855.07,79078783.17,129910255.69,42299775.05,16794040.26,115496283.50,30216595.29,22161697.38,18175850.17,46739931.37,40928899.69,37132108.35,116583885.59,97679667.83,77002804.87,55330082.17,55648927.78,46454379.31,39821846.14,22713564.51,17535344.20,38719796.66,42754939.54,36063636.54,30767788.46,325629304.51,249830093.18,70274835.12,7470188.01,30669706.92,26166366.17,23495862.55,47135151.70,54869852.88,46247367.41,34737350.46,23364852.51,2361672.82,759823.46,809267.00,8875762.00,11101837.00,6144341.02,3804365.37,436176.65,170862.29,0.0
31,工程物资,0,0,0,0,0,162430000.00,162430000.00,165629560.00,0,0,65507.81,0,2197435.89,0,0,0,0,0,0,0,2847863.24,2847863.24,2847863.24,0,0,6418803.42,0.00,0,0.24,192308.50,1346154.51,192308.11,192308.11,879487.56,807692.58,0,111111.48,111111.49,111111.49,111111.39,24722529.58,24522529.58,20222529.58,13219902.87,14193315.52,178506.00,178500.00,0,11559045.83,15326380.16,14839969.97,20436531.66,8695615.59,5800097.19,6951979.31,9802450.36,21078775.75,26293001.93,47132667.82,47577761.27,21881307.46,20156193.30,27217310.09,11613033.00,34313.91,82795.29,201447.40,27084.14,13985924.99,28532274.94,19211493.83,6616139.32,418800.00,3132198.15,0,2760622.00,0,0,0,0,0,0.0
32,固定资产及清理(合计),4262974969.64,4388661685.08,4500442277.95,4588777075.72,4001770726.85,4083397874.38,4147958562.75,4218151822.48,0,3875965883.47,3930938964.23,3798477949.12,0,3190699992.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,4388661685.08,0,4588777075.72,4001770726.85,4083397874.38,4147958562.75,4218151822.48,3809919976.50,3875965883.47,3930938964.23,3798477949.12,3414865019.13,3190699992.29,3220908269.63,3260627048.91,2401642822.17,2436887303.91,2411447534.01,2457364869.93,2257592356.74,2213362781.76,2186527616.98,2223076730.31,2088451857.78,1802408925.47,1767028194.31,1787388462.05,1460176971.62,1415496408.81,1347866266.37,1354089410.77,1230737696.88,1159553974.16,1172279838.10,1190374257.00,1152604661.63,1063727678.13,1094030988.53,1113141563.20,983781100.55,997506626.26,1013404664.74,1029653662.39,982332670.18,1039631714.42,1041238993.24,967264006.41,911406389.08,921946060.06,935498395.93,924696470.49,867264867.24,863191838.93,869922259.76,880893759.25,814189023.34,796222429.33,776834142.38,737349983.77,671409446.12,556564238.61,536302124.34,542164520.26,516348618.21,520741273.53,525826366.43,507177960.98,462719770.41,423356547.82,405812494.04,413742912.67,407686690.46,392351774.17,383826516.00,306072624.00,153580402.00,105793308.93,74316344.91,75815623.65,82671133.03,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
