,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),750000.00,750000.00,0,0,2720000.00,1880299.40,1133550.60,818326.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,750000.00,0,0,0,2720000.00,1880299.40,1133550.60,818326.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54981181.45,62773174.85,62706322.75,62601773.05,351174685.66,442320125.35,1936796750.20,1836480446.52,2027560334.02,2709778655.88,2236586491.51,2238259355.71,2483715397.57,2213821015.53,1903376200.01,1851760944.22,1872253654.84,1852725413.45,2082314673.73,2000064399.61,2140445733.89,1660794087.41,1675550206.82,1359932431.22,1140998014.71,520627687.69,383676798.97,161066756.93,171273418.28,33523765.32,6306314.32,4803991.09,7217787.98,0,59918068.19,17207457.53,3318915.80,2428678.70,938323.91,400000.00,400000.00,0,0,0,0,0,0,0,389200.00,1047090.00,1047090.00,1047090.00,57514000.00,514000.00,564399800.00,376295190.00,91310123.28,13310123.28,0,15690000.00,63250306.12,63250306.12,62379531.24,40009200.00,0,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707628.65,1170830.10,1170830.10,33407265.70,29763500.00,29763500.00,30236000.00,30236000.00,29897000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),352654027.19,368480139.09,325993931.72,329203834.88,332541245.19,179738157.90,187036418.11,60335987.51,60834737.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,352654027.19,0,325993931.72,0,332541245.19,179738157.90,187036418.11,60335987.51,60834737.78,61127494.52,61630478.67,78631557.58,91754055.15,93416198.88,96347547.09,114735599.41,115484781.26,112849130.57,113917023.97,114967592.35,116093657.93,118531228.44,132354644.94,225262805.28,330520542.63,3128540205.34,3663328213.42,3773216836.53,3851207279.47,6940907688.08,6910144857.89,5098863474.87,5217115876.62,5079053354.13,4155953419.15,3804342578.31,3609007581.59,3077647684.59,2974164752.56,2989009071.48,2694027152.81,2523463519.40,2416272032.00,2140491791.25,2166703442.79,2014296527.92,2061863277.62,2059489146.96,2112960048.02,2072085548.07,2111269285.83,2146641918.28,2061935518.50,2079620374.23,439819908.87,443321860.51,457949104.83,455684233.12,475282013.07,402158392.98,421781855.07,440443755.63,458334782.79,477098682.05,495176943.00,513797386.64,545506450.43,559156185.70,578329445.53,610437721.42,629977935.64,648849364.41,656341076.47,696358184.14,728088017.47,750681232.44,793678703.52,781111772.37,821943757.44,286378799.35,308958195.36,327034658.13,347387127.94,357369066.00,379062682.74,74156871.28,76245043.32,63987560.69,66196804.32,0,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,943.40,943.40,0,0,0,0,0,0,0,0,0,0,0,2760658.00,0,0,476929284.68,26852542.91,4347407.32,0,-4321696.71,-230450.79,-3050768.00,0,29200.00,1200.00,-15400.00,0,33300.00,95586.54,149943.84,0,4500286.98,0,0,0,736843.42,5000.00,-2222206.26,0,-590659.68,-277487.39,0,35750.96,20716520.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75845.50,0,-34500.00,0,0,0,0,0,1365201.47,1365201.47,0,0,0,0,0,0,283699.90,266062.90,266062.90,143214.84,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
