,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),32740486.56,32916734.37,8466809.14,7847616.88,3430275.61,3427200.30,2375957.16,2289903.82,0,1818455.54,0,240702.40,0,4933985.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,32916734.37,0,7847616.88,3430275.61,3427200.30,2375957.16,2289903.82,1012665.79,1818455.54,1953251.54,240702.40,5385940.14,4933985.98,4607383.60,4638822.60,0,0,0,0,0,0,0,0,0,6519.66,0,0,0,0,0,0,1149095.57,615608.42,0,0,216000.00,686900.00,216000.00,216000.00,42658.00,58382.00,58382.00,160000.00,524939.18,173956.90,193110.40,0,223698.20,66420.20,0,0,222678.19,9246217.02,7232101.38,7177292.90,48520.00,48520.00,48520.00,0,643081.60,600530.60,119496.60,105000.00,0,2484435.98,2408631.98,3343101.98,23215160.73,24033514.44,22669541.64,22162707.64,16125472.45,3962648.30,3680135.45,3579704.30,49070962.42,44562360.22,84406928.98,40875204.91,1946552.43,73929665.00,43847380.00,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3230.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),154632665.14,157585702.53,159563942.47,162926743.29,167385105.75,168449486.43,171126741.15,173682428.34,0,179671822.25,0,186354041.64,0,183824096.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,157585702.53,0,162926743.29,167385105.75,168449486.43,171126741.15,173682428.34,177038657.28,179671822.25,182778689.44,186354041.64,180425923.26,183824096.02,187240975.77,190582680.66,21164859.36,21349757.26,21811190.55,22322354.45,22822110.64,23300141.40,23805875.00,24318777.71,24604001.06,24782713.52,24752706.78,25058163.89,22065516.30,22033729.11,22334091.24,22702546.35,20535256.35,21285924.56,25944293.30,26439505.36,26758507.06,26216322.86,26662573.16,27107584.99,28110819.39,27966899.77,28410666.25,28138351.50,28079156.94,28466324.34,28146116.46,28627555.85,157655126.26,157897747.10,159134553.88,160457390.26,159148799.56,156022210.15,157138943.74,158279126.34,158824858.97,159718402.50,212875471.98,214312867.24,217221341.13,218668358.18,238073371.58,240023456.27,0,238703950.63,241788022.45,268749141.08,249304660.12,188496951.90,192204327.51,196081889.44,206098259.31,209717992.89,221677653.31,229119750.15,187254971.23,192822564.97,193654862.77,147606373.53,142708069.15,37933980.00,33674616.00,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,124259.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
