,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,225495064.09,296000000.00,304750000.00,240750000.00,76500000.00,197500000.00,180000000.00,180000000.00,240000000.00,360000000.00,360000000.00,300000000.00,300000000.00,180000000.00,180000000.00,180000000.00,180000000.00,0,0,0,0,130000000.00,130000000.00,130000000.00,130000000.00,0,0,0,0,0,0,0.0
65,其他流动负债,158229035.91,161467351.57,164399830.66,172039916.96,162012157.26,0,0,0,0,6954256.87,6954256.87,1416161.61,2222222.24,7469841.17,6050793.50,7965079.24,9879365.08,9879365.08,9879365.08,9879365.08,9879365.08,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,5282860631.33,5731439067.66,5472620626.56,5607289948.79,5529204463.24,4946894817.22,5146892831.36,5392668571.83,5844132362.72,6614058646.08,5203704035.03,5036047396.01,4927451214.97,3413211675.48,3270184443.26,3049812695.01,2952946402.40,2028039057.51,1556374946.06,1453497348.52,1217244498.61,1006920298.54,984824956.04,905914272.84,883806863.99,471340500.00,396357309.93,357980189.68,187844912.75,187747914.19,301816468.84,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,长期借款,797500000.00,810000000.00,851500000.00,686000000.00,624000000.00,210000000.00,236250000.00,236250000.00,245000000.00,674970000.00,674980000.00,275000000.00,275000000.00,95000000.00,60000000.00,60000000.00,0,192638166.00,423091820.00,180000000.00,180000000.00,0,0,0,0,130000000.00,130000000.00,30000000.00,0,0,57239900.00,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
