,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
33,固定资产净额,0,206831943.58,0,215036142.74,214663961.59,216817567.82,219453335.52,218577380.92,219593106.38,209699864.29,206101343.98,208736426.93,191684792.10,192775080.64,195606991.27,196666305.48,190471137.43,179427937.66,181124672.85,183333497.81,182734123.22,137782927.89,138840882.48,139125953.14,146162264.11,144650029.44,145876184.91,136136678.22,202941092.65,205949103.28,203659480.89,203905863.86,214120907.61,215829915.78,213105984.78,213155479.51,228496085.11,229266870.81,229921098.91,230948045.88,233166632.27,234311483.42,236827511.58,238087418.44,233359354.13,234841870.45,236580234.03,237571962.32,237868986.56,217759372.77,235603845.78,237509102.77,210602636.13,212724529.54,215556062.68,218229154.83,75979876.27,76520490.88,76923285.52,98679209.24,71292498.76,75477391.22,76750605.89,77228820.83,40976174.92,41333166.01,39967203.38,39711206.99,28079586.08,24178185.57,21294392.10,20096397.20,11609706.27,8519860.42,7743962.86,7421890.71,6949609.83,2830699.44,0.0
34,固定资产清理,0,0,0,0,0,20989.75,21326.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296121.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,2138715.70,2078121.10,2250454.31,2300327.80,1928873.05,1520415.61,1662499.43,1695532.92,1375298.75,1276588.65,1242007.31,1276290.68,1192512.87,1207171.38,1194911.38,1287475.72,1374366.48,1389711.27,1484294.63,1345747.48,1715619.95,1654435.92,1602326.05,1615934.72,3421294.67,3333718.48,3450934.23,3416017.23,4387386.38,4306477.38,4554538.01,4331027.69,4308111.28,4308111.28,4247399.28,4172899.28,3193221.92,3193221.92,3575419.45,3276644.45,2655970.05,2655970.05,1824039.76,2863949.77,2879080.18,2933509.56,2930296.17,1982497.98,2894899.18,3007540.20,2737068.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,255144525.12,257423320.99,259312323.41,261585144.02,263826002.43,265413934.12,267334630.96,269581293.42,272320716.51,274459601.02,276758815.27,278592490.31,280875363.41,283028381.24,285235066.28,287458616.89,288487264.34,282825292.64,284996694.38,287307922.53,289540811.08,291474118.45,292201218.68,294091379.34,296003471.90,298221743.81,300716699.76,302967114.28,305706887.05,307934041.83,310649966.52,313034705.43,308718316.07,310913895.68,344278494.31,345884767.05,330475140.61,332975499.07,335764121.75,338262667.60,342450819.88,344588598.29,347480703.64,351557481.36,321445953.13,320613807.77,323243730.80,325470349.88,328769937.80,311239023.48,324181868.98,326235749.31,322977263.23,324140249.70,228697903.10,230143662.75,221106260.71,222324022.76,223931778.04,236133007.66,214625776.41,155220255.30,156586842.63,157413503.85,126324922.79,125636385.23,106622180.38,96253397.93,97452677.38,85501332.09,83866071.33,54449549.82,58177082.67,57226126.08,58584662.04,58793342.81,57098883.16,33468009.00,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,1684069.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,39755241.25,39752114.42,39284329.58,36990850.30,37277986.00,38071756.04,39022966.88,39184015.03,23148946.90,20662327.44,21318459.22,22105584.50,21337168.58,23006973.36,23910611.33,24573565.44,25585937.54,25520456.03,26910734.79,27667568.36,29529424.38,29138856.87,29574941.66,29624492.33,14705071.62,13658116.45,14161192.15,14109308.15,10418331.28,9857827.96,10551917.34,4791983.10,7152206.71,6376842.13,7368298.71,7575836.53,9518162.32,10219466.66,11800726.88,12513019.84,14792922.82,15453558.20,17518660.73,17960152.24,20142286.88,21030778.25,22819969.75,23497451.60,17379099.46,18147226.45,17572224.84,18545574.81,14875242.36,15339101.65,16088169.37,16823491.57,21214654.84,15091718.48,15888135.79,16524620.07,16965205.94,17570263.01,18219649.94,18492386.75,16409891.28,18550973.08,16897296.10,17341561.24,17502115.60,17448775.21,17017103.33,17293497.01,5633868.07,5966849.66,2812323.11,2611926.63,2019930.93,1593598.18,0.0
