,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
30,在建工程,0,27707639.63,0,19701781.11,49192611.65,63562181.89,100441331.23,160630179.78,234063686.51,201235016.95,546274373.65,527025796.98,481231956.49,469829438.98,449040500.30,426341756.77,379300416.05,400923260.93,315917963.93,256378976.56,187562365.36,175965399.10,134357732.87,103399060.42,63120640.74,44570082.49,54521523.29,48910783.18,26356437.31,23980347.14,27859050.14,23930448.27,61494647.18,52735818.11,51976581.27,39762758.75,70380690.48,55729534.59,45435971.51,28399696.05,96250427.03,95389049.03,66130646.45,102925538.47,141917576.16,118523070.45,90342902.47,74018723.93,51239684.37,34214446.82,32578907.53,28062698.20,35500546.95,23477556.90,22172331.30,21383781.59,57884025.67,59819270.26,53778166.84,47638576.93,178989297.18,158914645.33,139730366.40,112073033.35,62831573.16,34680927.68,13925395.42,5587878.61,1379633.72,17361594.54,15130366.49,10848811.15,46311125.03,34091159.53,2236749.21,1524528.98,4793237.91,0.0
31,工程物资,0,799047.89,0,800197.44,0,857881.76,630978.46,684393.10,644428.07,638125.56,491013.51,575998.13,718810.28,672199.94,3782731.73,500802.75,1397946.53,422803.31,398226.48,405550.37,310691.04,330406.46,282963.70,281883.27,282296.19,713866.25,543067.58,365811.16,375725.69,223739.53,223739.53,223739.53,226539.53,226539.53,244739.53,244739.53,250486.53,933732.22,1461961.73,622804.16,274438.62,340929.62,237076.24,237076.24,279395.07,252195.07,259995.07,265795.07,639423.79,428423.79,349263.79,406443.66,1216607.64,508931.24,364176.68,398831.03,451228.19,406933.94,277031.71,481731.98,261725.15,389734.77,1209579.66,1000753.13,767709.23,423768.07,381362.57,483355.07,478613.05,182759.79,104440.36,79497.66,3899632.62,0,0,100940.08,416996.02,0.0
32,固定资产及清理(合计),1105455215.55,1118235689.14,1135737933.30,1153934199.30,1192260818.30,1161416965.29,1116532321.49,976854626.14,0,898640476.94,0,425434983.25,0,434627430.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,1118235689.14,0,1153934199.30,1192260818.30,1161416965.29,1116532321.49,976854626.14,887670618.63,898640476.94,415186661.66,425434983.25,425545500.69,434627430.69,441863674.19,452348614.74,454606613.89,462653769.39,469738853.55,471286116.97,483739378.81,464695307.67,471923649.95,484379288.30,471736101.04,478656570.65,449759336.54,461015610.92,457397912.14,465831429.16,473281043.96,482751773.36,445729010.86,452719062.35,456727447.62,465824922.25,427578499.53,449882301.16,456570145.79,464869181.97,381761455.33,387976508.66,388726721.04,362600655.43,312877099.72,317381620.92,321539304.85,326857595.64,326692911.92,331936220.65,332694733.28,338077762.66,342282367.42,331336917.09,335302595.88,340928286.10,308588815.59,312202104.73,316910197.98,322018981.97,160037328.68,175620117.33,176634219.49,183545309.79,162969751.38,164837641.07,167495271.38,170574125.61,171462926.75,154528840.73,154122237.36,156819059.21,95126388.08,97953736.45,103635467.10,82210762.59,54643587.89,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,337084.04,0,5498.07,0,0,0,0,0,0,0,0,0,0,7984.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116892.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.50,0,0,0,0,82238.45,3253994.65,0,0,0,5000.00,5000.00,5000.00,5000.00,5000.00,5000.00,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,256995816.38,258947793.23,258333570.09,260251562.76,263190759.45,212460256.28,292858766.52,294884934.07,293452315.78,295280771.66,297155263.09,299386403.28,301269953.54,303039480.91,302486219.63,296426955.98,300962438.54,244877560.88,245940728.52,253481283.66,254969723.25,256472535.94,257918043.04,259445732.61,94238546.39,94986609.49,94744989.61,94595967.31,88104343.11,88805235.63,82241081.48,82863570.02,82932507.95,83579292.60,84228555.87,84808819.14,83982648.46,84667022.58,85285947.49,85909145.35,86463061.50,87129985.82,87783927.33,88438382.13,49332421.97,49801297.46,50272618.78,50739048.44,51207923.93,51676799.42,62359340.02,62882834.06,51707387.61,55216186.12,55681397.61,56152769.13,59140345.28,59651073.03,60087261.35,60556016.60,59879189.50,60293073.36,60681722.47,61176443.09,58942052.53,56358910.63,56660233.53,56953055.40,32933026.15,10597845.90,10544214.67,10639986.35,8674235.93,8914284.05,7171830.12,4043528.65,2595717.60,0.0
