,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
32,固定资产及清理(合计),8183774818.67,6416581519.79,5889610493.64,5213898282.12,5722649226.70,5415088555.74,5328319422.59,4449900081.79,0,3679970931.81,0,3776192186.61,0,3760259181.77,0,0,1119817701.24,1141545429.01,1164148578.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,6416562242.20,0,5213898282.12,5722649226.70,5415061450.11,5328319422.59,4449900081.79,3909678963.14,3675447238.42,3702055034.04,3771670295.02,3743690593.38,3760112953.28,3679640714.47,3643557323.20,1119817701.24,1141545429.01,1164148578.42,1186923985.37,1134899158.06,630672242.75,643949413.70,673176339.19,670835544.78,682637846.18,693782276.53,704501327.32,728455635.58,740293502.41,754545157.17,768908848.44,777401177.97,789968700.98,801897526.30,815365737.39,777168839.88,804006653.84,832014335.22,860650308.70,827638468.21,915809869.96,2024438733.09,2061778658.42,2066884049.14,2103139435.53,2140192484.59,2174915821.45,2138302968.70,2171769401.14,2206052930.98,2265627171.25,2540175488.50,2321114823.69,2337955603.46,1858619547.30,1802226256.65,1817250326.21,1835016302.12,1858646196.09,1629343912.03,1654792971.90,1673508079.11,1688135281.71,1350226678.95,1097519185.65,1101911094.24,1112048628.87,1017115405.17,1001691833.90,1011079132.23,1022644093.50,971003131.97,800110930.01,664457457.31,610433219.94,308616263.47,317148251.85,319709519.71,266863370.62,0.0
34,固定资产清理,0,19277.59,0,0,0,27105.63,0,0,4687964.09,4523693.39,4523693.39,4521891.59,-3065295.91,146228.49,0,0,0,0,0,0,-11834032.49,-11834032.49,-11834032.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-130.00,0,94344.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725876.65,3060.00,10144.00,13790.33,0,2809466.00,54620.51,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,175435312.13,177312941.91,179164642.49,178971547.45,261858251.01,261521249.34,263579612.18,263034207.80,263779630.86,265912263.34,268082355.66,270272547.96,271628710.88,273650974.60,275807477.50,274126109.97,172378967.70,173576733.87,174818955.87,176020802.29,177413316.19,178282488.02,179377767.87,180646038.48,231460831.93,232901017.40,234494849.87,235972501.93,237556541.50,239121264.83,240704097.14,242286929.45,243869761.76,245452594.07,247035426.38,248618258.69,250181993.95,251709590.12,253290620.24,254871650.36,256452680.48,258033710.60,292988724.05,294572287.50,262774918.45,264359206.07,265907920.15,267521930.48,268890559.66,270408740.29,271573004.31,273059439.71,2403453.39,1602495.86,1662522.96,1683957.72,1640961.18,1706257.11,1752053.01,1797848.91,2712226.12,1155142.65,2796323.50,1209018.34,1213078.66,863173.44,0,0,2500.00,0,0,0,0,0,0,0,0,0,0,0,0.0
40,开发支出,541985.61,541985.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24157020.92,24157020.92,24157020.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
