,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),1209298693.60,960892180.19,731505159.83,617004995.98,442324722.34,364547319.73,250142269.29,201427103.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,960892180.19,0,617004995.98,442324722.34,364547319.73,250142269.29,201427103.98,260071062.51,201720195.70,108287584.90,80075673.92,457899554.75,615428335.05,591141614.40,488647681.22,455106612.42,430071296.39,498044995.35,409698926.09,452133415.07,376015904.15,309960947.85,244958119.29,321907670.27,271305950.80,218185557.36,155091349.91,147283363.06,123593041.79,162728147.01,142547404.85,93246175.31,69836687.79,52445867.73,59147819.75,47207500.00,33173201.63,26548661.41,23625636.30,25357521.63,26111574.16,29936042.25,28361414.03,25887399.10,23076841.34,14770185.57,7891261.08,5074053.63,5682156.15,5993467.06,6285762.90,36026054.75,28206154.91,46789765.01,25271912.64,43426385.45,38351943.84,31293963.48,20562813.27,73274679.02,59582986.10,46350780.59,25932673.90,20296682.04,25930487.77,14539532.78,17398461.49,24330370.65,23341194.63,0,4293840.50,26236657.84,22928128.99,48914838.10,4964047.25,5520055.44,6667282.43,26693518.62,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220346.13,0,490720.03,0,259406.81,0,158430.37,0,9962.52,0,18184.73,0,12936.88,10406.95,41603.53,0,28756.95,0,15906.95,0,15906.95,15906.95,15906.95,0,15906.95,365332.95,15906.95,0,17506.95,19106.95,19106.95,0,21437.95,98252.95,21437.95,0,21437.95,21437.95,5496177.41,0,21437.95,26046.95,0,0,60187.80,78877.80,78877.80,140540.44,78877.80,483920.76,282546.75,0.0
32,固定资产及清理(合计),2039505556.08,1961302016.45,1985039858.07,2033587957.65,1966760813.14,1945248999.92,1917223387.29,1977136010.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,1961302016.45,0,2033587957.65,1966760813.14,1945248999.92,1917223387.29,1977136010.34,1778813016.36,1799822751.45,1835015474.27,1850489677.14,1391075230.20,1231506235.08,1247018196.18,1265086224.93,1200632896.64,1140933727.17,985536945.69,1013862690.56,880183889.68,888303727.72,889991514.03,905011688.04,738028947.40,751215750.67,748074919.71,755577015.67,692926284.95,686563955.82,610386064.44,616232656.69,599466425.99,553452294.79,555357988.62,548745213.18,537156099.50,534265975.34,492491249.28,402736179.64,400860290.84,396768851.26,380927840.53,379413651.50,364677488.72,278235280.04,276617747.90,279320478.96,301813946.82,300635178.69,314478154.84,314860337.79,295296136.20,290949705.04,272670093.49,281610051.50,273051264.84,277191871.58,280959769.73,286588859.35,232824581.86,238670151.92,233244651.66,237580234.10,225770495.72,220122749.47,221644790.05,225623324.26,226423643.76,220451842.83,0,153049773.84,117715706.73,111138006.26,111451997.11,109571551.67,110418865.41,107581553.76,95931420.27,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515355.28,0,171355.11,0,81596.68,0,0,0,0,0,2228.92,0,336088.84,0,155001.08,271778.61,39240.52,0,270189.68,0,188896.72,0,24735.76,-3081.02,90592.01,0,44697.97,256515.28,381372.80,0,177653.69,15565.02,96166.34,0,-1012433.42,206.32,-119780.80,0,438540.75,440586.75,156424.46,0,339442.28,347444.78,0,0,401737.76,0,318962.48,0,0,876.25,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
