,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
29,在建工程(合计),12241148.75,11343814.75,9728945.12,10826437.80,7481645.15,9905417.00,80510140.07,80738164.22,105685935.02,95916698.66,0,97493110.62,0,205044193.88,0,319978993.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,11343814.75,0,10826437.80,0,9905417.00,80510140.07,78674202.39,103774115.97,94859338.64,109167951.38,96940619.52,137041971.94,202837687.95,405817066.87,317617634.09,272149449.44,166687275.84,703454570.52,649617547.42,1345152758.99,1160551861.47,1334052886.94,1212341608.16,1181663832.18,1120057591.02,864041426.85,507289512.45,422464138.16,366233014.17,166330380.89,154167818.11,107367150.89,56935341.61,43441028.65,27332910.62,23283976.10,13766691.42,8808740.45,7522814.90,3814949.74,3789684.94,3074526.80,3236026.80,3175965.27,3014465.27,170666185.52,167138505.29,158731091.71,154134627.25,171917813.39,156655164.55,156700016.21,155533132.07,155568033.01,152123535.81,149328681.11,143860018.24,143139615.68,116535799.69,239606864.45,176695469.29,158658261.32,142939590.88,129766631.05,30780313.82,18064948.00,10824854.94,1667069.54,600000.00,0,0.0
31,工程物资,0,0,0,0,0,0,0,2063961.83,1911819.05,1057360.02,2974629.23,552491.10,7090527.89,2206505.93,15296790.13,2361359.22,15883306.54,16040109.56,1537618.67,410298.56,889475.19,880654.59,46677807.15,46649886.32,41881187.77,6485656.94,3570795.14,35726.50,297055.76,289898.35,301955.96,490137.99,99177.56,398161.23,387350.88,973878.81,1834977.85,2321331.41,1706740.54,455861.50,1188680.79,1168180.79,1127940.79,1541763.96,1608100.54,1423962.87,1141947.17,935766.25,1516987.70,1646035.92,1686216.63,1598643.13,1597744.13,1597744.13,1616924.13,1332315.73,0,479849.90,624477.49,670089.81,0,0,0,0,0,0,176043.60,186043.60,0,8210.00,0,0.0
32,固定资产及清理(合计),2136978885.85,2162081056.72,2186844600.42,2206124520.19,2231206549.77,2251541418.23,2201242654.30,2219968259.37,2205168202.01,2227452544.40,0,2231058950.87,0,2099573197.57,0,1924348386.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,2162081056.72,0,2206109388.74,0,2251526286.78,2201242654.30,2219968259.37,2205168202.01,2227452544.40,2206315302.96,2231058950.87,2211005220.40,2099573197.57,1817403698.55,1924348386.95,1969872573.88,2018977628.98,1428082171.46,1440571386.12,827680386.15,920554919.97,385351388.83,400098096.27,401911150.66,407809209.35,411755193.61,416227881.78,417396966.75,418468235.25,466473590.05,467818163.04,470102213.52,475590374.41,482440916.17,490757118.42,495966032.21,505517103.83,364583112.16,371023681.01,373518588.70,378013517.77,382375360.36,388475383.48,395530139.61,402307756.43,225684679.86,234070368.25,238844141.08,243999768.73,238753564.66,242032152.23,246200883.05,250392938.71,252631862.95,257059153.00,256551464.07,261188552.33,257039148.12,259874239.68,106409467.45,108541354.40,108372206.58,109599836.74,110969843.67,114200548.89,98093552.65,101172476.61,106470489.20,113347191.00,121547367.37,0.0
34,固定资产清理,0,0,0,15131.45,0,15131.45,0,0,0,0,0,0,0,0,0,0,21742.26,0,-55349.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33600.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
