,code,name,mbrg,nprg,nav,targ,epsg,seg
1573,002270,华明装备,-26.4272,-53.2018,1.264,6.7048,-52.9412,1.264
1574,002346,柘中股份,-38.3367,-53.2586,323.9304,178.4612,-64.8649,323.9304
1575,000690,宝新能源,4.3131,-53.2975,6.9722,11.0389,-70.0,6.9722
1576,000532,华金资本,39.0819,-54.4566,22.7864,25.6567,-52.8,18.6892
1577,600260,凯乐科技,78.6413,-55.2161,0.8007,14.0641,-58.6207,0.62
1578,600426,华鲁恒升,16.3054,-56.1096,7.2155,21.655,-56.0538,7.2155
1579,000570,苏常柴A,13.2619,-56.7005,20.8976,18.4041,-56.4033,20.8054
1580,600675,中华企业,-22.2757,-57.13,12.9845,69.9296,-62.3239,13.4085
1581,600202,哈空调,9.4723,-57.4985,-5.989,27.1066,-57.4939,-5.989
1582,600469,风神股份,54.3958,-57.6143,7.7868,13.5132,-57.5847,7.7868
1583,000597,东北制药,10.0993,-57.9703,11.1786,8.602,-59.4781,9.1674
1584,600212,江泉实业,-35.9342,-58.6087,1.4969999999999999,-0.0106,-60.0,1.4969999999999999
1585,000952,广济药业,13.177,-59.1805,-1.1175,4.4486,-43.617,4.3798
1586,600645,中源协和,-8.6162,-59.1856,-16.0952,10.6647,-94.0161,-15.8446
1587,000600,建投能源,11.3909,-61.1743,-1.1256,8.8373,-72.5,-1.0817
1588,000670,*ST盈方,41.3532,-61.2029,2.1728,-12.3472,14.2857,1.8504
1589,600505,西昌电力,28.8213,-61.4017,13.4303,0.8997,-61.0771,15.3032
1590,601588,北辰实业,1.713,-61.4435,-0.3324,-0.1597,-73.6842,0.1452
1591,600838,上海九百,-12.5656,-61.4708,0.8344,-7.9686,-60.9428,0.8352
1592,600889,南京化纤,39.6305,-61.8382,6.0687,69.1785,-68.0912,0.4126
1593,002356,*ST赫美,-18.1531,-61.9049,287.9455,161.2102,-70.7317,287.9455
1594,300068,南都电源,5.3396,-62.0703,,,-68.0556,
1595,600196,复星医药,19.1662,-62.8878,30.023000000000003,31.2699,-78.2123,30.5138
1596,600220,江苏阳光,18.6845,-63.303999999999995,-1.5707,-3.8132,-44.1964,2.1002
1597,600456,宝钛股份,12.5716,-63.5725,-2.064,5.7387,-88.3333,-3.0096
1598,600801,华新水泥,3.9914,-63.7919,-0.4905,19.1623,-70.6667,4.5677
1599,600730,中国高科,4.8676,-63.971000000000004,11.5128,36.4093,-70.6215,1.5888
1600,000732,泰禾集团,252.2646,-64.1527,14178.9467,778.2976,-92.4327,17596.8514
1601,600894,广日股份,5.9191,-64.3334,3.1803,2.8692,-65.8537,2.8863
1602,600652,*ST游久,-2.5253,-64.4648,-1.4486,5.0556,-73.75,-0.2707
1603,600696,ST岩石,-73.9532,-64.5286,2.2196,0.4555,-13.3333,1.2399
1604,600864,哈投股份,15.5507,-64.7348,-1.9789,-0.3827,-65.5172,-1.0373
1605,002265,西仪股份,18.028,-65.6541,2.1144,3.7157,-50.0,1.374
1606,600050,中国联通,8.7883,-65.7546,-1.5769,13.7698,-65.5479,-0.5958
1607,000667,美好置业,30.5466,-65.9918,2.1208,51.7309,-81.8182,2.1619
1608,000553,安道麦A,-13.2878,-66.3513,-1.0586,1.3534,-65.2062,-0.9772
1609,600182,S佳通,32.2847,-66.5409,13.629000000000001,2.4875,-67.6471,15.3462
1610,300084,海默科技,-20.0563,-67.0781,,,-72.1988,
1611,600308,华泰股份,22.0252,-67.1574,16.340999999999998,23.0112,-71.9647,16.7785
1612,000519,中兵红箭,11.6098,-68.3478,-0.2574,5.975,-71.4286,-0.0112
1613,600848,上海临港,-10.8665,-68.3849,-0.5497,13.3047,-67.8788,0.4355
1614,600481,双良节能,5.7988,-68.6518,5.6794,23.855,-70.4629,5.5231
1615,600975,新五丰,41.0336,-69.2912,-3.6324,10.7636,-93.4211,-2.7917
1616,000882,华联股份,69.5727,-69.3117,9.3099,71.90899999999999,-79.4592,9.3214
1617,000735,罗牛山,11.4731,-69.4224,3.5417,16.6674,-67.7632,3.6324
1618,000839,中信国安,-10.3527,-69.5024,0.1589,-4.9784,-70.4563,0.1869
1619,000617,中油资本,28.9306,-69.5914,1.9197,10.3586,-68.75,1.9197
1620,600687,*ST刚泰,-47.6741,-70.0333,0.4069,35.6936,-82.8358,0.1001
1621,000158,常山北明,46.4538,-70.4186,0.3058,-1.4106,-70.5882,0.4177
1622,000935,四川双马,-12.9447,-70.7035,13.6338,38.5211,-73.7705,15.9311
1623,600097,开创国际,-38.4235,-71.1258,19.2382,22.2658,-70.3088,19.2382
1624,600403,大有能源,-9.835,-71.2706,-2.4432,13.1748,-97.7143,0.42700000000000005
1625,000715,中兴商业,-14.7954,-71.5068,3.0308,13.9947,-71.3636,3.0308
1626,600387,海越能源,69.9504,-71.9649,-0.9014,1.7268,-77.9412,-0.1311
1627,600667,太极实业,42.8428,-72.2833,0.5013,36.7291,-79.0541,0.5772
1628,600583,海油工程,-49.6167,-72.6151,4.523,8.4315,-76.0,4.4722
